,src,true_meaning,literal_translation,predicted
1081,珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,<select the most relevant English idiom>
1082,班门弄斧,Show off in the presence of an old hand,Ban door axe,Don't try to teach your grandmother to suck eggs.
1083,瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,2) Don't let the perfect be the enemy of the good.
1084,瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,Beauty is only skin-deep.
1085,瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,"United we stand, divided we fall"
1086,璞玉浑金,Unadorned beauty,Raw jade and gold,OR
1087,瓜田李下,Be found in a suspicious position,Melon Field Lixia,Sycophant
1088,瓦釜雷鸣,An unworthy man in a high position,Wah Kettle Thunder,4) <optional other English idioms>
1089,瓮中之鳖,(like) a rat in a hole,Turtle in a urn,A bird in a gilded cage.  (Note: This is the stage-2 output)
1090,瓮中捉鳖,A sure catch,Catching turtle in urn,2)
1091,甘拜下风,Willingly acknowledge defeat,Gan Bai downwind,A clean slate
1092,甘之如饴,Gladly endure hardships,Sweet as candy,Bite the bullet
1093,甚嚣尘上,Making a lot of noise,All over the place,3) A lone wolf
1094,生米煮成熟饭,What's done can't be undone,Uncooked rice cooked rice,Stage-1 output (definition + candidates):
1095,生于忧患，死于安乐,"Life springs from sorrow and calamity, death comes from ease and pleasure","Born in trouble, die in peace",1) Don't count your chickens before they hatch.
1096,用兵如神,Be a superb military commander,Use soldiers like gods,To fight like a lion
1097,男盗女娼,Behave like thieves and whores,Male thief female prostitute,3) A leopard can't change its spots.
1098,留得青山在，不怕没柴烧,While there is life there is hope,"Where there is life, there is hope",Don't get caught in a web of deceit
1099,毕其功于一役,Accomplish the whole task at one stroke,Completed in one battle,To be in a state of denial
1100,画饼充饥,Feed on illusions,Painting cake to satisfy hunger,Sugarcoat the pill
1101,画虎类狗,Attempting more than one has ability for,Drawing tiger dog,To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类狗  Best: To judge a book by its cover.  OR  Definition: To inaccurately describe or attribute a quality to something or someone.  OR  Chinese idiom: 画虎类
1102,当机立断,Decide on the moment (or on the spot),Make a prompt decision,<select the most relevant English idiom>
1103,当局者迷，旁观者清,Those closely involved cannot see as clearly as those outside,"Father, like son",4) <optional other English idioms>
1104,当场出丑,Make a spectacle of oneself,Embarrassed on the spot,To shoot oneself in the foot
1105,当仁不让,Not decline to shoulder a responsibility,Do your part,<English idiom>
1106,当耳边风,Turn a deaf ear to,When the wind blows,A flash in the pan
1107,叠床架屋,Pile one bed upon another or build one house on top of another,Stacked bed frame house,Cut from the same cloth
1108,疾风知劲草,Adversity is the best testing ground for moral stamina,The wind knows the strong grass,A storm is a good test of a tree's strength
1109,疾恶如仇,Abhor (or hate) evils or evildoers as if they were personal enemies,Evil like hatred,4) <other English idioms>  (if available)
1110,病急乱投医,Try anything when in a desperate situation,Emergency medical treatment,Burning the candle at both ends
1111,病从口入,Illness finds its way in by the mouth,Disease from the mouth,Eating spoiled food
1112,癞蛤蟆想吃天鹅肉,Aspiring after something one is not worthy of,Toad wants to eat,A fish out of water
1113,登峰造极,Reach the summit,Reach the pinnacle,Note: Please select the best idiom that matches the definition of the Chinese idiom.
1114,登堂入室,Pass through the hall into the inner chamber,Entering the room,To make a grand entrance
1115,发愤忘食,Immersed in hard work (or study) one forgets to eat,Get angry and forget to eat,Burning the midnight oil
1116,白璧微瑕,A slight blemish (in man's good character),Slightly flawed white jade,A diamond in the rough.
1117,白头偕老,Remain a devoted couple to the end of their lives,Grow old together,To have arrived
1118,白日见鬼,"See demons in broad daylight - of a strange, absurd, impossible thing",Hell by day,To believe one's eyes
1119,百步穿杨,Shoot with great precision (or with pin-point accuracy),Shoot with great precision,To be on a mission
1120,百废俱兴,Full-scale reconstruction is under way,Everything is booming,4) A phoenix from the ashes
1121,百读不厌,Be worth reading a hundred times,Never tire of reading,A student is never too old to learn.
1122,百端待举,A thousand things wait to be done,Waiting for everything,On the brink of
1123,百年好合,A harmonious union lasting a hundred years,Hundred Years of Harmony,Stage-2 output (definition + candidates):
1124,百炼成钢,Be toughened and hardened into steel,Tempered into a steel,2) Toughen up
1125,百孔千疮,In a disastrous state,Riddled with gaping wounds,To be at the end of one's rope.
1126,百花齐放，百家争鸣,Let a hundred flowers blossom and a hundred schools of thought contend,"A hundred flowers bloom, a hundred schools of thought contend",<select the most relevant English idiom>
1127,百战百胜,Invincible,Win every battle,Winning a hundred battles is no guarantee of victory in the next one.
1128,百川归海,All things tend in one direction,A hundred rivers return to the sea,<select the most relevant English idiom>
1129,百足之虫，死而不僵,Old institutions die hard,"A hundred-footed worm, dead but not stiff",A dying ember
1130,百闻不如一见,Seeing is believing,Seeing is better than hearing,Seeing is believing.
1131,皆大欢喜,Everybody is happy,Everyone is happy,The party was a huge success.
1132,皮笑肉不笑,Put on a false smile,Skin laughing meat not laughing,<English idiom> (if it's a direct translation)
1133,皮之不存，毛将焉附,A thing cannot exist without its basis,"If the skin does not exist, the hair will be attached",Other: <list the other English idioms that are not as relevant>
1134,盛名难副,It is hard to live up to a great reputation,Famous is hard to match,To see the trees but not the forest.
1135,盛情难却,Be ungracious not to accept somebody's invitation,Kindness but hardship,4) <other possible English idioms>
1136,尽力而为,Do one's best,Do your best,Have a go at
1137,尽心竭力,(do something) with all one's heart,Do my best,A knife to the heart
1138,尽人事，听天命,Do one's level best and leave the rest to God's will,"Do your best, listen to destiny","When the going gets tough, the tough get going"
1139,目不转睛,Look with fixed eyes,Keep an eye on,Keep one's eyes glued to something.
1140,目光如炬,Farsighted,Eyes like torches,A shining star
1141,盲人摸象,One-sided view,Blind man touching elephant,A bird in the hand is worth two in the bush
1142,盲人瞎马,Rushing headlong to an immediate danger,Blind man blind horse,A blind man leading a blind man.
1143,直抒己见,Talk (or speak out) directly and simply,Express one's opinion,Gild the lily
1144,相辅相成,Supplement each other,Complement each other,Two heads are better than one
1145,相得益彰,Bring out the best in each other,Complement each other,Two peas in a pod
1146,相提并论,Put something (or somebody) on a par with,On a par,To put on the same footing
1147,相敬如宾,"(of couple) treat each other with respect (""like guests"")",Treat each other with respect,2) To give someone the royal treatment
1148,相知有素,Have known each other long,Know each other well,To eat a poisoned apple
1149,相安无事,Live in peace with each other,Everything is fine,Live and let live
1150,相依为命,Shore one's life together,Depend on each other,Alternatives: <list the other two English idioms with a brief explanation of why they are not the best match>
1151,相沿成习,Become a custom through long usage,Learn from each other,<select the most relevant English idiom>
1152,相映成趣,Set each other off,Comparing with each other,"United we stand, divided we fall"
1153,眉头一皱，计上心来,Knit the brows and a stratagem comes to mind,"Brows furrowed, thinking about it","<idiom>, <reason why it is the best match>"
1154,看菜吃饭，量体裁衣,Adapt oneself to circumstances,"See the dishes and eat, tailor the clothes",<idiom> (if there is a clear winner)
1155,真金不怕火,An honest person does not fear the light,Real gold is not afraid of fire,1) A picture is worth a thousand words
1156,真相大白,The whole truth has come out,The truth is revealed,3) All will be revealed. OR
1157,眼高手低,Have high ambition but no real ability,Eyes are high and hands are low,3) Talk the talk but can't walk the walk.
1158,睚眦必报,Seek revenge for the smallest grievance,Jairus must be reported,1) Can't see the forest for the trees
1159,睹物思人,The thing reminds one of its owner,See things and think people,Absence makes the heart grow fonder.
1160,瞎子摸鱼,Act blindly,Blind man fishing,To make a mountain out of a molehill
1161,瞎子点灯白费蜡,Absolutely useless,The blind man lights the lamp in vain,<select the most relevant English idiom>
1162,瞎子见钱眼睛开,"On seeing money, even a blind man would have his eyes wide open",The blind man sees money and his eyes open,Definition: <definition of the Chinese idiom>
1163,瞒天过海,Practice deception,Cross the sea,Explanation: <optional>
1164,知己知彼，百战百胜,To know one's own strength and the enemy's is the sure way to victory,"Know thyself, ever-victorious",Stage-1 output: <list all the candidates>
1165,知法犯法,Knowingly violate the low,Know the law and break the law,To drink poison
1166,知难而进,Press forward in the face of difficulties,Advancing in spite of difficulties,"3) Fall seven times, stand up eight."
1167,知过必改,Know one's faults and correct them,Knowing must change,One can't learn everything from books.
1168,知其一，不知其二,Have only a one-sided view,"I know one, don't know the other",To make a hash of things.
1169,知无不言，言无不尽,Speak unreservedly,"Know everything, speak everything",speak your mind
1170,短兵相接,Engage in hand-to-hand fight (or in close combat),Hand in hand,Clash of titans
1171,石沉大海,It disappears forever (or it has produced no reaction),Sinking into the sea,"Once bitten, twice shy"
1172,破釜沉舟,Cut off all means of retreat,Burn one's boats,4) <optional other English idioms>
1173,破涕为笑,(one's) tears melt into smiles (of face),Burst into laughter,Head over heels
1174,破旧立新,Destroy the old and establish the new,Break the old and build the new,To cut to the heart
1175,硕果仅存,One of the few still lest,Only fruit remains,The cream of the crop.
1176,磨杵成针,Perseverance will prevail,Grind the pestle into a needle,1) To turn a sow's ear into a silk purse.
1177,碍手碍脚,Be a hindrance,Get in the way,4) In the way
1178,神不知，鬼不觉,In great secrecy,"God does not know, ghost does not know",1)
1179,神采奕奕,Glowing with health and radiating vigor,In high spirits,A picture of elegance
1180,神色自若,Be perfectly calm and collected,Look at ease,4) <optional>
1181,祸不单行,It never rains but it pours,Misfortunes never come singly,Stage-1 output (definition + candidates):
1182,祸国殃民,Bring disaster (or calamity) to the country and the people,Harm the country and the people,2) <select the second most relevant English idiom>
1183,福无双至,Blessings never come in pairs,Fu Wushuang arrives,4) <optional fourth idiom>
1184,秀而不实,Flowering but producing no fruit,Show but not truth,A flash in the pan.
1185,私相授受,Make an illicit transfer,Give and receive privately,Between you and me
1186,秋风扫落叶,Wipe out the corrupt and the evil easily,Autumn wind sweeps leaves,To put the cart before the horse
1187,秋毫无犯,(of highly disciplined troops) not commit the slightest offence against the civilians,Autumn is innocent,Overelaborate
1188,种瓜得瓜，种豆得豆,"As you sow, so will you reap",You get what you sow,Definition: <one-sentence definition>
1189,称孤道寡,Act like an absolute ruler,Act like an absolute monarch,take the bull by the horns
1190,称兄道弟,Be on intimate terms,Call each other brothers,4) <optional additional idiom>  # if there is an additional idiom that is also relevant
1191,称王称霸,Act like an overlord,Lord it over,Rule with an iron fist
1192,积年累月,For months and years,Over the years,Definition: <one-sentence definition>
1193,积谷防饥,Accumulate grains against famine,Accumulate grain to prevent hunger,Store up for a rainy day.
1194,积重难返,Old habits are difficult to get rid of,Hard to return,"When you're in a hole, stop digging.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already in a hole.  # Stop digging when you're already"
1195,积羽沉舟,The awesome power of sheer numbers,Accumulate feathers sink the boat,To be drowning in a sea of troubles
1196,稳操胜券,Have full assurance of success,Be sure to win,Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive advantage. Chinese idiom: 稳操胜券.  or Best: Having the upper hand.  Definition: Having a firm grip on the winning situation or having a decisive
1197,空中楼阁,Daydream,Castle in the sky,2) Polishing a turd
1198,穿针引线,Act as a go-between,Thread the needle,To pull the cart before the horse
1199,突飞猛进,Make a spurt of progress,Advance by leaps and bounds,Other options: <list the other English idioms that are not the best match but still relevant>
1200,穷兵黩武,Adopt a warlike policy,Go to war,The butterfly effect
1201,穷途末路,Dead end,No way no money,4) <if available>
1202,穷山恶水,Barren mountains and unruly rivers,Poor mountains and bad waters,<select the most relevant English idiom>
1203,穷则思变,Poverty gives rise to a desire for change,Being poor is changing,<select the most relevant English idiom>
1204,窥测方向，以求一逞,Spy out the land in order to accomplish one's schemes,"Peep the direction, in order to succeed",4) <other English idioms>
1205,立锥之地,A tiny bit of land,The land of the cone,<English idiom>
1206,立身处世,How to get along with people,Live in the world,Stage-2 output (best idiom + explanation):
1207,立足之地,Standing-room,Gain a foothold,<select the most relevant English idiom>
1208,竭尽全力,To the best of one's ability,Make every effort,4) <optional other English idioms>
1209,端倪可察,Have found a due to something,Clues can be seen,Definition: <definition of the Chinese idiom>
1210,笑里藏刀,An iron hand in a velvet glove,Hidden knife in laughter,2) Wolf in sheep's clothing
1211,笨鸟先飞,The need to start early (used as a modest expression of one's need for caution),Stupid bird fly first,4) A journey of a thousand miles begins with a single step.
1212,管中窥豹，可见一斑,Conjure the whole thing through seeing a part of it,"Peeping the leopard in the tube, it can be seen","Alternatives: <list the other English idioms that are relevant, but not the best match>  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |"
1213,箭在弦上,A point of no return,Arrow on the string,Candidates: <list the other relevant English idioms>
1214,筚路蓝缕,The pioneering spirit,Bilu blue thread,4) To dot every i and cross every t
1215,箪食壶浆,Welcome (an army) with food and drink,Tanshi pot pulp,Live simply and be content with little
1216,米珠薪桂,Exorbitantly high cost of living,Mi Zhu Xin Gui,A flash in the pan.
1217,粗枝大叶,In a slipshod manner,Thick branches and large leaves,Get to the point
1218,粥少僧多,Not enough to go around,"Less porridge, more monks",None
1219,精兵简政,Streamlined administration,Efficient and streamlined administration,Give it your all
1220,约法三章,Make a few simple rules to be observed by all concerned,Three chapters of the covenant,4) Cut a deal with someone
1221,纷至沓来,Come in a continuous stream,One after another,4) <optional other English idiom>
1222,绝处逢生,Escape by the skin of one's teeth,Life in desperation,"United we stand, divided we fall."
1223,绞尽脑汁,Rack one's brains,Racking my brains,2) Brainstorm
1224,络绎不绝,Unending,An endless stream,Unable to see the wood for the trees
1225,经年累月,For years,Over the years,Definition: <briefly describe the Chinese idiom>
1226,绿林好汉,A band of bandits entrenched in a mountain stronghold,Green forest hero,Explanation: <briefly explain why the selected idiom is the best match>
1227,绰绰有余,More than sufficient,More than enough,4) <optional other English idioms>
1228,绵里藏针,A ruthless character behind a gentle appearance,Tibetan needles in cotton,To hide a thorn in a rose
1229,紧锣密鼓,Wildly beating gongs and drums,In full swing,4) <optional other English idioms>
1230,缘木求鱼,A useless search,Edge wood for fish,1
1231,缓不济急,Slow action cannot save a critical situation,In no hurry,A knife to the heart
1232,缩头缩脑,Shrink from responsibility,Shrink your head,To be chicken
1233,总而言之,To make a long story short,All in all,<select the most relevant English idiom>
1234,总角之交,Childhood friend,Turn of the total angle,<select the most relevant English idiom>
1235,绘声绘影,Vivid description,Picture sound and picture,1) Paint a picture with words
1236,罄竹难书,(of a man's sins) too numerous to record,Too many books to read,<English idiom>
1237,罪该万死,Hideous crime deserving the harshest punishment,Sin deserves death,To be guilty as sin
1238,罪责难逃,Cannot get away with it,Guilt is inevitable,1) The buck stops here.
1239,置之脑后,Put out of mind,Leave it behind,OR
1240,置身事外,Stay (keep or remain) aloof from the affair,Stay out of the way,Stay out of it
1241,美中不足,A blemish in an otherwise perfect thing,A fly in the ointment,None
1242,群龙无首,A group without a leader,Dragons without a leader,A bird in the hand is worth two in the bush.
1243,群起而攻之,Rally together to attack,Group to attack,"United we stand, divided we fall."
1244,习惯成自然,Habit (or custom) is a second nature,Habit is second nature,You are a product of your environment.
1245,翻山越岭,Travel (or tramp) over hill and dale,Over the mountains,Take the long road to success
1246,老马识途,(of experienced people) know the ropes,The old horse knows the way,3) You can't teach an old dog new tricks.
1247,老骥伏枥，志在千里,Old people may still cherish high aspirations,"Old Ji Fuzheng, aspiring to a thousand miles",A bird in the hand is worth two in the bush.
1248,耳食之谈,Accept readily without comprehending what is heard,Talking about ear food,2) Empty calories
1249,耳闻不如目见,Seeing for oneself is better than hearing from others,Hearing is worse than seeing,1) Seeing is believing.
1250,聊胜于无,Half a loaf is better than no bread,Better than nothing,<idiom>
1251,聊以自慰,Just to console oneself,Chat to masturbate,Talk to oneself
1252,聊以卒岁,Just to tide over the year,Talk about death,3) Waste time on a lost cause
1253,聚沙成塔,Many a little makes a mickle,Gather sand into a tower,To build a house of cards
1254,闻风而起,Go into action without delay,Up in the wind,OR
1255,闻名不如见面,Know a man by repute is not as good as meeting him face to face,Better to be famous than to meet,1) Don't judge a book by its cover
1256,闻过则喜,Be glad to have one's errors pointed out,Happy to hear it,"It's a life of champagne and caviar, but it's not a life at all."
1257,闻一知十,Infer the whole matter after hearing but one point,Hear one know ten,1) A bird in the hand is worth two in the bush.
1258,聪明反被聪明误,Cleverness may overreach itself,Smart is mistaken by smart,2) Being too clever by half.
1259,聪明一世，糊涂一时,"Smart as a rule, but this time a fool","Smart for a lifetime, confused for a while","4) A moment on the lips, a lifetime on the hips."
1260,声东击西,Make a feint,Sound east and west,Let's go ahead with the next idiom.
1261,耸入云霄,Rise above the clouds,Soaring into the sky,Reach the ears of the gods
