|src|true_meaning|literal_translation|predicted
51|आग उगलना|to speak harshly or aggressively|to spit/emit fire|fire breaking out
52|आग से खेलना|to invite danger knowingly|to play with fire|Playing with fire
53|आग लगाना|to instigate or provoke trouble|to set on fire|set on fire
54|आग दिखाना|to show anger or power|to show fire|show fire
55|आग लग जाना|to feel jealous or restless|for fire to get lit|fire
56|आग बन जाना|to become furious|to become fire|becoming a fire
57|आग पर तेल डालना|to intensify an argument or situation|to pour oil on the fire|Adding fuel to the fire
58|धूल चाटना|to face defeat or humiliation|to lick dust|licking dust
59|धूल फाँकना|to struggle in poverty or hardship|to gulp/eat dust|scattering of dust
60|धूल झाड़ना|to scold or reprimand strongly|to shake off dust|sweeping away dust
61|धूल में मिलाना|to destroy completely|to mix into dust|mixing in dust
62|धूल उड़ाना|to make a scene unnecessarily|to raise/fly dust|blowing dust
63|धूल झोंकना|to deceive or mislead someone|to throw dust (in the eyes)|dusting
64|हवा निकल जाना|to lose courage suddenly|for the air to go out|exhalation
65|हवा खा जाना|to run away secretly|to eat wind|breathing
66|हवा में उड़ाना|to waste money carelessly|to throw/waft in the air|flying in the air
67|हवा बन जाना|to disappear quickly|to become air|become air
68|हवा में बात करना|to speak without proof or sense|to speak into the air|Speaking in the Air
69|हवा लगना|to be influenced by others|to catch/get the wind|breathing
70|हवा देना|to encourage or instigate something|to give air|airing
71|हवा बदलना|to change situation or environment|to change the air|change of air
72|हवा चखना|to get a taste of something new (usually trouble)|to taste the air|taste of air
73|हवा बंद होना|to lose confidence completely|for the air to stop|closure of air
74|आँख में धूल झोंकना|to deceive or fool someone|to throw dust into the eye|Dust in the eye
75|आँखें फटी की फटी रह जाना|to be shocked or amazed|for the eyes to remain torn-open|Flattening of the eyes
76|आँखों में धूल झोंकना|to cheat someone cleverly|to throw dust into the eyes|Dust in the eyes
77|आँखों में बस जाना|to win someone’s heart|to come to reside in the eyes|settling in the eyes
78|आँखों से ओझल होना|to disappear from sight|to be hidden from the eyes|Blurred vision
79|आँख दिखाना|to threaten or scold harshly|to show the eye|eye showing
80|आँख तरेरना|to glare angrily|to glare with the eyes|winking
81|आँखें फाड़ना|to stare in surprise|to rip/tear the eyes open (goggle)|tearing out the eyes
82|आँखें मूँदना|to ignore intentionally|to shut/close the eyes|blinking of the eyes
83|आँखों में आँसू आना|to become emotional or sad|for tears to come into the eyes|Tears in the eyes
84|दिल लगाना|to fall in love|to attach the heart|heartbeat
85|दिल तोड़ना|to break someone's heart|to break the heart|heartbreak
86|दिल जीतना|to win someone's affection|to win the heart|winning hearts
87|दिल पर लेना|to take something personally|to take to the heart|take to heart
88|दिल लगाकर काम करना|to work wholeheartedly|to work with the heart attached|Working hard
89|दिल में बात रखना|to hide one’s feelings|to keep the matter in the heart|Speak from the heart
90|दिल पर पत्थर रखना|to act bravely despite pain|to place a stone on the heart|Putting a stone on the heart
91|दिल जलना|to feel jealous or envious|for the heart to burn|heartburn
92|दिल बहलाना|to distract from sadness|to amuse/console the heart|seduction of the heart
93|दिल धड़कना|to feel nervous or excited|for the heart to beat|heartbeat
94|दिल खोलकर देना|to be generous|to give with the heart open|openhearted giving
95|दिल में चोर होना|to have guilt or bad intentions|for there to be a thief in the heart|Being a Thief at Heart
96|दिल में बसना|to be deeply loved or remembered|to dwell in the heart|settling in the heart
97|दिल का हाल बताना|to express inner feelings|to tell the condition of the heart|Tell your heart condition
98|दिल टूट जाना|to feel heartbroken|for the heart to break|heartbreak
99|दिल खुश हो जाना|to become happy|for the heart to become happy|Happiness of heart
100|दिल में बात आना|to get an idea or feeling|for a thought to come into the heart|Speaking from the Heart
101|दिल से उतर जाना|to lose affection or trust|to descend/fall from the heart|coming from the heart
102|दिल से लगाना|to love or treat affectionately|to press/hold to the heart|from the heart
103|दिल लगा रहना|to stay interested or focused|to remain heart-attached|heartfelt attachment
104|दिमाग चलना|to think cleverly|for the mind/brain to run|walking the mind
105|दिमाग खराब होना|to lose temper or sanity|for the mind to go bad|mentally ill
106|दिमाग लगाना|to use intelligence or creativity|to apply the mind|brainstorming
107|दिमाग ठिकाने लगाना|to discipline or bring to senses|to put the mind in its place|Locating the Mind
108|दिमाग का दही होना|to get mentally exhausted|the brain to become curd|being a brain decoy
109|दिमाग घुमाना|to confuse or manipulate someone|to spin/turn someone’s mind|wandering of the mind
110|दिमाग का ताला खोलना|to start thinking or understanding|to open the lock of the mind|Unlocking the Mind
111|दिमाग खाना|to irritate by constant nagging|to eat the brain|eating brains
112|दिमाग लग जाना|to focus attention on something|for the mind to get engaged|bewildered
113|दिमाग में बात आना|to get a sudden idea|for an idea to come into the mind|Speaking to the Mind
114|पानी-पानी होना|to feel embarrassed or ashamed|to become water-water|being watery
115|पानी फिर जाना|to have plans fail suddenly|for water to go over (it)|return to water
116|पानी मांगना|to beg for mercy|to ask for water|asking for water
117|पानी उतारना|to humiliate someone publicly|to bring down/drain the water|unloading water
118|पानी सिर से गुजरना|to reach the limit of patience|for water to pass over the head|Water passing through the head
119|पानी में आग लगाना|to attempt the impossible|to set fire in water|lighting a fire in water
120|पानी पर लिखा|to be temporary or futile|written on water|Written on water
121|पानी बराबर होना|to be equal in strength or skill|to be equal like water|water equalization
122|पानी पीना|to feel comfortable after fear|to drink water|drinking water
123|पानी मांगना पड़ना|to be defeated badly|to have to ask for water|Asking for water
124|पानी लाना|to bring respect or reputation|to bring/fetch water|bring water
125|हाथ बँटाना|to help or assist someone|to share/divide the hand|handshake
126|हाथ धोकर पीछे पड़ना|to chase or target relentlessly|to wash one’s hands and go after|Hand washing and falling back
127|हाथ खड़े कर देना|to give up completely|to make (one) raise hands|Raising the hand
128|हाथ पाँव फूल जाना|to panic or get nervous|for hands and feet to bloom|thinning of the hands and feet
129|हाथ मलना|to regret something deeply|to rub the hands|hand washing
130|हाथ साफ़ होना|to be skilled or experienced|for the hand to be clean|hand washing
131|हाथ पर हाथ धरे रहना|to do nothing|to keep one hand resting on the other|Holding hands
132|हाथ की सफाई दिखाना|to show cleverness or skill|to show the hand’s cleanliness (sleight)|showing hand hygiene
133|हाथ में लेना|to take responsibility for something|to take in hand|take in hand
134|हाथ से निकल जाना|to miss an opportunity|to go out of the hand|getting out of hand
135|हाथ लगना|to get caught or succeed|to come to the hand|touching
136|हाथ धोना|to lose something completely|to wash hands|hand washing
137|हाथ मिलाना|to collaborate or agree|to join hands|shake hands
138|हाथ बाँधना|to restrict or tie someone’s ability|to tie/bind the hands|hand binding
139|हाथ ऊँचा होना|to be more powerful or dominant|for the hand to be higher|elevation of the hand
140|हाथ जलना|to learn by mistake|for the hand to be burned|burning of the hand
141|हाथ थामना|to support someone|to hold the hand|holding hands
142|हाथ पसारना|to beg or plead|to spread the hand (for alms)|extend the hand
143|हाथ काटना|to separate or break relation|to cut the hand|cutting off the hand
144|हाथ मोड़ना|to refuse or reject something|to twist the hand|folding hands
145|पैर पसारना|to spend or expand beyond means|to spread the feet|stretching legs
146|पैर जमाना|to settle firmly|to set the feet firm|footing
147|पैर पकड़ना|to beg for forgiveness|to hold the feet|grasping feet
148|पैर तले ज़मीन खिसकना|to be shocked or lose ground|for the ground to slip from under the feet|Sliding the ground underfoot
149|पैर पर कुल्हाड़ी मारना|to harm oneself by one’s own actions|to strike an axe on one’s foot|striking the foot with an ax
150|पैर पीछे खींचना|to withdraw from commitment|to pull the feet back|pulling the leg back
151|पैर फैलाना|to extend scope gradually|to spread the feet|spread legs
152|पैर रोकना|to restrain or hesitate|to stop the feet|stopping foot
153|पैर रखना|to begin something new|to place a foot|footing
154|पैर उठाना|to show disrespect or overconfidence|to lift the foot|lifting feet
155|मुँह बनाना|to show annoyance or sadness|to make a face|make a face
156|मुँह खोलना|to start speaking up|to open the mouth|opening the mouth
157|मुँह लटकाना|to look disappointed|to hang the face|hanging up
158|मुँह की खाना|to suffer humiliation|to eat of the mouth|mouth food
159|मुँह मोड़ना|to turn away or refuse help|to turn the face away|turning away
160|मुँह दिखाना|to appear shamelessly after wrongdoing|to show the face|show face
161|मुँह में राम बगल में छुरी|to be deceitful in nature|Ram in the mouth, knife in the armpit|Ram next to knife in mouth
162|मुँह माँगी मुराद मिलना|to get exactly what one wanted|to get the wish asked by mouth|What a blessing it is to be able to do that!
163|मुँह बंद रखना|to stay silent|to keep the mouth closed|keeping your mouth shut
164|मुँह खुलवाना|to make someone speak|to make (someone) open the mouth|opening the mouth
165|मुँह चुराना|to avoid facing someone|to hide/steal the face (avoid)|stealing
166|मुँह तोड़ जवाब देना|to give a fitting reply|to give a mouth-breaking reply|Responding in a Blatant Way
167|मुँह में घी शक्कर|used to bless or hope for good news|ghee and sugar in the mouth|Ghee sugar in the mouth
168|मुँह लगना|to act too familiar with elders|to get attached to the mouth|mouthing
169|मुँह में जुबान न होना|to be timid or unable to speak up|to not have a tongue in the mouth|No tongue in the mouth
170|मुँह से बात निकलना|to accidentally reveal something|for the words to come out of the mouth|word of mouth
171|हिम्मत हारना|to lose courage|to lose courage|discouragement
172|हिम्मत रखना|to stay strong and confident|to keep courage|be courageous
173|हिम्मत बाँधना|to encourage oneself|to tie/bind courage|courageous
174|हिम्मत जुटाना|to gather courage|to gather courage|mustering up courage
175|हिम्मत टूटना|to become hopeless|for courage to break|discouragement
176|हिम्मत दिखाना|to show bravery|to show courage|showing courage
177|हिम्मत बढ़ाना|to motivate or encourage someone|to increase courage|building up courage
178|जुबान चलाना|to talk disrespectfully|to run the tongue|tongue move
179|जुबान फिसलना|to say something by mistake|for the tongue to slip|slippery tongue
180|जुबान देना|to make a promise|to give one’s tongue (word)|tongue
181|जुबान रखना|to keep one’s word|to keep one’s tongue (word)|keeping the tongue
182|जुबान काटना|to regret saying something|to cut/bite the tongue|cutting out the tongue
183|जुबान पकड़ना|to hold someone to their words|to catch/hold the tongue|grasping the tongue
184|जुबान पर काबू रखना|to control speech|to keep control on the tongue|Control of the tongue
185|जुबान लगना|to get into an argument|to get on the tongue|tongue
186|जुबान बंद रखना|to stay silent intentionally|to keep the tongue shut|keeping the tongue closed
187|दाँत पीसना|to show silent anger|to grind the teeth|grinding of teeth
188|दाँत दिखाना|to laugh unnecessarily|to show the teeth|showing teeth
189|दाँत गिनाना|to mock or insult someone|to count the teeth|counting teeth
190|दाँत काटी रोटी|to have a close friendship|tooth-bitten bread|toothed bread
191|दाँत टूट जाना|to be defeated or embarrassed|for the teeth to break|tooth breakage
192|पसीना बहाना|to work hard|to make sweat flow|sweating
193|पसीना छुड़ाना|to frighten or exhaust|to make someone break into sweat|sweating
194|पसीना निकलना|to feel nervous or hot|for sweat to come out|sweating
195|पसीना-पसीना होना|to be drenched in sweat (from work or fear)|to become sweat-sweat (drenched)|sweating
196|खून पसीना एक करना|to work tirelessly|to make blood and sweat one|Blood Sweat One
197|खून खौलना|to feel extreme anger|for the blood to boil|coughing up blood
198|खून जलाना|to waste emotional energy|to burn blood|burning of blood
199|खून चूसना|to exploit someone harshly|to suck blood|sucking blood
200|खून में उबाल आना|to be fired up with passion|for the blood to come to a boil|Boiling in blood
201|खून पसीने की कमाई|hard-earned money|earnings of blood and sweat|The earnings of blood sweat
202|खून सफेद होना|to become heartless or selfish|for the blood to become white|blood white
203|खून चढ़ना|to feel energetic or brave|for the blood to rise|high blood pressure
204|खून उतरना|to lose courage suddenly|for the blood to descend|bleeding out
205|पसीने छूटना|to panic under pressure|for sweats to break out|sweating
206|खून जम जाना|to be terrified|for the blood to freeze/clot|clotting
207|खून देना|to sacrifice selflessly|to give blood|giving blood
208|खून का रिश्ता|blood relation|a relation of blood|blood relationship
209|खून बहाना|to fight fiercely|to make blood flow|to bleed
210|खून खराबा होना|to result in violence or bloodshed|for bloodshed/ruin to happen|blood clots
211|दिल थाम लेना|to feel suspense or fear|to hold the heart|restraining the heart
212|दिल लगा लेना|to fall in love deeply|to set/attach the heart|attachment
213|दिल में आग लगना|to feel jealousy or anger|for fire to ignite in the heart|Fire in the heart
214|दिल दहल जाना|to be terrified|for the heart to shudder|heart palpitations
215|दिल धकधक करना|to feel nervous or anxious|for the heart to throb ‘dhak-dhak’|heartbeat
216|दिल में उतरना|to become likable or close to heart|to descend into the heart|Going to the heart
217|दिल में ठंडक पड़ना|to feel relief or satisfaction|for coolness to fall in the heart|coldness in the heart
218|दिल को छू जाना|to touch emotionally|to go and touch the heart|touching the heart
219|दिल जीत लेना|to win affection|to win the heart|winning hearts
220|दिल में कसक रह जाना|to feel unfulfilled desire or regret|for a pang to remain in the heart|Righteousness in the Heart
221|दिल का चैन खोना|to lose peace due to love or worry|to lose the heart’s peace|Loss of peace of mind
222|दिल बहल जाना|to feel consoled|for the heart to be consoled/amused|being led astray
223|दिल कड़ा करना|to act firmly despite emotions|to make the heart hard|hardening of the heart
224|दिल बैठ जाना|to lose hope or courage|for the heart to sit/sink|heartbeat
225|दिल बदलना|to change one’s opinion or feelings|to change the heart|change of heart
226|साँप निकल गया, लकीर पीटते रह गए|to act after the damage is already done|the snake went out; (they) kept beating the line|The snake came out, and they kept beating the rope.
227|साँप सूँघ जाना|to become completely silent out of fear|for a snake to sniff (one)|snake sniffing
228|साँप और नेवले की लड़ाई|a fight between sworn enemies|a snake-and-mongoose fight|The Battle of the Snake and the Snakes
229|साँप के मुँह में छछूंदर|to be stuck in an impossible situation|a shrew in the snake’s mouth|The Snakes' Mouth is a Snakes' Mouth.
230|साँप को दूध पिलाना|to favor someone who will harm you later|to feed milk to a snake|Milking the Serpent
231|साँप की केंचुली बदलना|to change completely in nature or appearance|for a snake to change its slough/skin|Changing the Snake's Claw
232|साँप भी मर जाए और लाठी भी न टूटे|to solve a problem smartly without harm to anyone|the snake die too and the stick not break|Even the snake will die and the stick will not break.
233|साँप का बच्चा|a dangerous or deceitful person|a snake’s offspring|the snake child
234|साँप के बिल में हाथ डालना|to invite trouble knowingly|to put a hand into a snake’s burrow|Putting one's hand in a snake's bill
235|साँप निकलते ही लकीर पीटना|to regret after losing the opportunity|to beat the line once the snake has left|Striking the line as the snake comes out
236|शेर की सवारी करना|to take a dangerous or risky decision|to ride a lion|riding a lion
237|शेर बनना|to act bravely or arrogantly|to become a lion|Becoming a lion
238|शेर का दिल रखना|to be very courageous|to keep/have a lion’s heart|to have the heart of a lion
239|शेर के मुँह में हाथ डालना|to challenge danger directly|to put a hand in a lion’s mouth|Putting one's hand in the lion's mouth
240|शेर की तरह गरजना|to speak fearlessly or loudly|to roar like a lion|Roaring like a lion
241|शेर का शिकार करना|to achieve a big or risky goal|to hunt a lion|hunting a lion
242|लोमड़ी की तरह चालाक|to be extremely cunning|cunning like a fox|Clever as a fox
243|कुत्ते की तरह भौंकना|to shout without reason|to bark like a dog|Barking like a dog
244|कुत्ते की मौत मरना|to die miserably or without dignity|to die a dog’s death|Dying of the dog
245|कुत्ते की पूँछ टेढ़ी की टेढ़ी|bad habits never change|a dog’s tail—crooked remains crooked|The dog's tail is curved.
246|कुत्ते के भौंकने से हाथी नहीं रुकता|great people ignore petty criticism|by a dog’s barking the elephant doesn’t stop|A dog's barking does not stop an elephant
247|कुत्ते की दुम टेढ़ी की टेढ़ी|incorrigible by nature|a dog’s tail—crooked-crooked|The curve of the dog's curve.
248|कुत्ते की तरह पीछे पड़ना|to chase someone relentlessly|to get after (someone) like a dog|Leaving behind like a dog
249|बंदर क्या जाने अदरक का स्वाद|the unworthy cannot appreciate value|what would a monkey know of ginger’s taste|Monkey knows what ginger tastes like
250|बंदर के हाथ में उस्तरा|a dangerous thing in foolish hands|a razor in a monkey’s hand|A razor in the hand of a monkey
251|बंदर नाच देखना|to enjoy entertainment or drama|to watch a monkey dance|Watching a monkey dance
252|बंदर घुड़की देना|to make empty threats|to give a monkey-like browbeating|monkey twitching
253|बंदर के हाथ नारियल|valuable thing with an undeserving person|a coconut in a monkey’s hand|Monkey hand coconut
254|बिल्ली के गले में घंटी बाँधना|to take initiative in a dangerous task|to tie a bell on the cat’s neck|tying a bell around a cat 's neck
255|बिल्ली की तरह मुँह बनाना|to act innocent after wrongdoing|to make a face like a cat|Making a face like a cat
256|बिल्ली की तरह चुप रहना|to remain silent out of guilt or fear|to stay quiet like a cat|Quiet as a cat
257|बिल्ली के भाग्य से छींका टूटा|to get something valuable by pure luck|by the cat’s fortune the hanging rack broke|Sneezing broken by the cat 's fate
258|चूहे बिल्ली का खेल|a game of chase and evasion|a cat-and-mouse game|game of cat and mouse
259|चूहे दौड़ना|to feel hungry|mice to run (about)|mouse running
260|गधे के सिर से सींग गायब|something missing without a trace|horns gone from the donkey’s head|Horns missing from donkey's head
261|गधे पर बैठकर शेर की बात करना|to act proud without reason|to sit on a donkey and talk of a lion|Sitting on a donkey and talking to a lion.
262|गधे को घोड़ा बनाना|to exaggerate someone’s abilities|to make a donkey into a horse|making a donkey into a horse
263|गधे को फूलों की माला पहनाना|to honor an undeserving person|to put a garland of flowers on a donkey|Putting flowers on a donkey
264|गधे के कान में बांसुरी|to waste effort on someone ignorant|a flute in a donkey’s ear|A flute in a donkey 's ear
265|गाय का दूध पीना|to live peacefully and simply|to drink the cow’s milk|drinking cow 's milk
266|गाय बनना|to act innocent or submissive|to become a cow|being a cow
267|गाय के आगे बीन बजाना|to explain something to someone who won’t understand|to play a reed-pipe before a cow|Playing the bean in front of the cow
268|ऊँट के मुँह में जीरा|too little for a large need|cumin in a camel’s mouth|Giraffe in the Camel's Mouth
269|ऊँट पहाड़ के नीचे|to meet one’s superior or defeat|camel beneath the mountain|Under the Camel Mountain
270|ऊँट के मुँह में खजूर|tiny reward for great effort|a date in a camel’s mouth|Palm in the Camel's Mouth
271|ऊँट की चाल चलना|to act steadily but slowly|to walk with the camel’s gait|The Camel's Walk
272|ऊँट रेत में सिर छिपाना|to ignore reality or hide from truth|for the camel to hide its head in sand|The camel hides its head in the sand.
273|घोड़े बेचकर सोना|to sleep peacefully without worry|to sleep having sold the horses|Gold by selling horses
274|घोड़े पर सवार होना|to be in a hurry or overexcited|to be mounted on a horse|riding a horse
275|घोड़े का नाल पहनना|to try something superstitious for luck|to wear a horse’s horseshoe|wearing a horse saddle
276|घोड़े की लगाम कसना|to tighten control|to tighten the horse’s reins|tightening the bridle of the horse
277|घोड़े दौड़ाना|to act hastily without thinking|to run the horses|horse racing
278|मछली पानी से बाहर|to feel uncomfortable in a strange place|fish out of water|Fish out of water
279|मछली हाथ से निकलना|to miss an opportunity|for the fish to slip from the hand|fish out of hand
280|मछली पकड़ना|to manipulate a situation for gain|to catch fish|fishing
281|मछली मरना|to face downfall silently|for a fish to die|fish dying
282|मगरमच्छ के आँसू|false show of sympathy|crocodile’s tears|Crocodile tears
283|मगरमच्छ बनना|to act powerful or arrogant falsely|to become a crocodile|becoming a crocodile
284|मगरमच्छ का शिकार करना|to take on a huge challenge|to hunt a crocodile|hunting crocodiles
285|सांड बनना|to act angrily or uncontrollably|to become a bull|becoming a buffalo
286|सांड को लाल कपड़ा दिखाना|to provoke someone deliberately|to show a red cloth to a bull|Showing the calf a red cloth
287|सांड की तरह दौड़ना|to rush without thinking|to run like a bull|Running like a buffalo
288|सांड की तरह जिद्दी|to be very stubborn|stubborn like a bull|Stubborn as a calf
289|सांड की तरह ताकतवर|to be physically strong|strong like a bull|Strong as a buffalo
290|तेल देखो तेल की धार|to wait and watch patiently|look at the oil—the stream of the oil|Look at the oil stream
291|तेल लगाना|to flatter or please for benefit|to apply oil|oil
292|तेल निकलना|to get exhausted completely|for oil to come out|oil leakage
293|तेल पानी एक होना|to be completely incompatible|for oil and water to be one|Oil water being one
294|तेल जलाना|to work hard late into the night|to burn oil|burning oil
295|धन पानी की तरह बहाना|to waste money lavishly|to let wealth flow like water|Wealth is like water.
296|धन दौलत इकट्ठी करना|to accumulate wealth|to gather wealth and riches|Wealth is the accumulation of wealth.
297|धन का घमंड होना|to be arrogant about wealth|to have pride of wealth|Pride of wealth
298|धन के पीछे भागना|to be greedy for money|to run after wealth|Running after money
299|धन का नशा चढ़ना|to be blinded by riches|for the intoxication of wealth to rise|Addicted to Money
300|धन कमाना|to earn wealth|to earn wealth|earning money
301|धन की बरसात होना|to receive great fortune|for a rain of wealth to occur|Rain of money
302|धन को पानी समझना|to spend carelessly|to consider wealth as water|Understanding Money as Water
303|धन का दुरुपयोग करना|to misuse wealth|to misuse wealth|misuse of money
304|धन देना|to offer charity or contribution|to give wealth|giving money
305|नजर लगना|to be jinxed or affected by envy|for the (evil) eye to be cast|look
306|नजर उतारना|to remove the evil eye|to take off/ward off the eye|look away
307|नजर बचाना|to avoid eye contact|to save oneself from the eye|protecting the eye
308|नजर डालना|to glance or check|to cast a glance|look at
309|नजर चुराना|to avoid someone intentionally|to steal/avoid the eye|stealing eyes
310|नजर रखना|to keep watch on something|to keep an eye|keep watch
311|नजर मिलाना|to look straight and confidently|to meet the eyes|eye contact
312|नजर में आना|to get attention or recognition|to come into sight|be in sight
313|नजर से गिरना|to lose respect in someone’s eyes|to fall from (someone’s) eyes|falling out of sight
314|नजरों में बसना|to be deeply admired or loved|to dwell in (someone’s) eyes|settling in the eyes
315|मुँह की बात छीनना|to say what someone was about to say|to snatch the words from (someone’s) mouth|tearing out the mouth
316|रूठा मन मनाना|to reconcile after disagreement|to coax the sulking mind/heart|to celebrate a state of mind
317|मन बनना|to decide willingly|for the mind to be made|becoming mind
318|मन भरना|to lose interest or get satisfied|for the mind to fill/satiate|filling the mind
319|मन लगाना|to stay focused|to set the mind (on)|mindfulness
320|मन मारना|to suppress one’s desires|to kill/suppress the mind|bewildered
321|मन में बैठना|to be convinced deeply|to sit in the mind|sitting in the mind
322|मन में बात रखना|to keep things inside|to keep the matter in the mind|Keeping the Word in Mind
323|मन बहलाना|to divert oneself pleasantly|to amuse/entertain the mind|seducing
324|मन से उतरना|to lose affection for someone|to come down from the heart/mind (lose favor)|get out of mind
325|मनमानी करना|to act selfishly or on one’s own terms|to do according to one’s own mind|arbitrary
326|दो नावों पर सवार होना|to try doing two opposite things at once|to ride on two boats|Riding on two boats
327|दूध का जला छाछ भी फूंककर पीता है|once bitten, twice shy|one burned by milk even blows on buttermilk before drinking|The burning milk is also blown.
328|दूध का दूध, पानी का पानी करना|to reveal the truth or clarify everything|to make milk (be) milk and water (be) water|Milk to milk, water to water
329|दूध में मक्खी की तरह|an unwanted person in a good place|like a fly in milk|Like a fly in milk
330|दूध का कर्ज चुकाना|to repay parents' love and care|to repay the debt of milk|Paying off a milk debt
331|दूध में नीम का पत्ता|something that ruins a good thing|a neem leaf in milk|lime leaf in milk
332|दूध का दूध अलग करना|to identify right and wrong clearly|to separate milk as milk|separating milk from milk
333|दूध की धार बनना|to prosper or flourish|to become a stream/jet of milk|becoming a milk stream
334|दूध पीता बच्चा नहीं हूँ|I’m not naive anymore|I am not a milk-drinking child|I'm not a milk-sucking baby.
335|दूध की नदियाँ बहाना|to dream of prosperity|to make rivers of milk flow|flowing rivers of milk
336|घर की मुर्गी दाल बराबर|to undervalue what one has|the chicken of the house equals lentils|The chicken in the house is equal to the pulses.
337|घर फूँक तमाशा देखना|to risk everything for curiosity|to burn the house and watch the show|Watching a home-show
338|घर का भेदी लंका ढाए|an insider can cause great harm|the insider of the house topples Lanka|The house pierced.
339|घर की बात बाहर निकलना|to leak private matters|the house’s talk to go outside|getting out of the house
340|घर बसाना|to settle down or start a family|to set up/build a home|settling down
341|घर उजड़ना|to lose everything|the home to be ruined|desolation of the house
342|घर में घुसकर मारना|to attack boldly|to enter the house and beat|Breaking and entering
343|घर का रास्ता भूल जाना|to wander aimlessly or forget priorities|to forget the way home|Forgetting the Way Home
