src,true_meaning,literal_translation,mt_1,mt_2,mt_3,QE_mt_1,QE_mt_2,QE_mt_3,QE_true,QE_literal,QE_dataset_mt,DA_mt_1,DA_mt_2,DA_mt_3,DA_true,DA_literal,mt_best,QE_mt_best,mt_best_from,mt_best_DA_from,DA_mt_best,literal_gt_ref
आसमान पर चढ़ना,to be proud or overconfident,to climb onto the sky,To climb up into the sky,To climb to the sky,To climb to the sky,0.23327340185642242,0.14953163266181946,0.14953163266181946,-0.5302188396453857,0.2496163249015808,,0.4654025137424469,0.46386203169822693,0.46386203169822693,0.9769236445426941,0.46542593836784363,To climb up into the sky,0.23327340185642242,mt_1,mt_1,0.4654025137424469,True
आकाश पाताल का अंतर,to be vastly different,difference between sky and netherworld,The boundary between heaven and hell,The Boundary Between Heaven and Hell,The boundary between heaven and hell,0.025141144171357155,-0.18030209839344025,0.025141144171357155,-0.453917533159256,-0.20092716813087463,,0.5128951668739319,0.44211819767951965,0.5128951668739319,0.9748902916908264,0.523488461971283,The boundary between heaven and hell,0.025141144171357155,mt_1,mt_1,0.5128951668739319,True
हवा से बातें करना,to move very fast,to talk with the wind,Talking about the weather,Talking about the weather,Speaking to the air,0.21537579596042633,0.21537543833255768,0.2892663776874542,-0.22776028513908386,0.31550654768943787,,0.4855317175388336,0.4855314791202545,0.48126012086868286,0.9771395325660706,0.5222960114479065,Speaking to the air,0.2892663776874542,mt_3,mt_1,0.4855317175388336,True
पत्थर की लकीर,to be firm on one’s word or decision,a line of stone,The Stone Song,The stone song,Riddle of the Rock,-0.36985763907432556,-0.3902752995491028,-0.3155556619167328,-0.1493927240371704,-0.11304450035095215,,0.38949164748191833,0.41911783814430237,0.3764297664165497,0.9690161347389221,0.416749507188797,Riddle of the Rock,-0.3155556619167328,mt_3,mt_2,0.41911783814430237,True
पहाड़ टूट पड़ना,to face a huge problem or calamity,a mountain breaking and falling (upon),Rocking back and forth,Trees falling,Rocking back and forth,-0.361619234085083,0.12533318996429443,-0.3616187870502472,-0.44599446654319763,-0.4133124053478241,,0.3733237087726593,0.42600002884864807,0.3733237087726593,0.9669834971427917,0.47983822226524353,Trees falling,0.12533318996429443,mt_2,mt_2,0.42600002884864807,True
ईद का चाँद होना,to appear after a long time (a rare person),to be the moon of Eid,The moon for Eid,The moon for Eid,The moon for Eid,-0.0798991322517395,-0.0798991322517395,-0.0798991322517395,-0.7825497388839722,-0.3651217520236969,,0.42966756224632263,0.42966756224632263,0.42966756224632263,0.9537767767906189,0.48045703768730164,The moon for Eid,-0.0798991322517395,mt_1,mt_1,0.42966756224632263,True
चकमा देना,to deceive or trick someone,to give a dodge/trick,Giving a verdict,Giving a ruling,Giving a verdict,-0.573020339012146,-0.6792542338371277,-0.573020339012146,-0.4174865484237671,-0.7697710394859314,,0.3740966320037842,0.34005120396614075,0.3740966320037842,0.9786112904548645,0.4784829914569855,Giving a verdict,-0.573020339012146,mt_1,mt_1,0.3740966320037842,False
उल्टी गंगा बहना,something unusual or against norms happening,the Ganga to flow in reverse,Turn the Ganges upside down,Turn the Ganges upside down,Turn the Ganges backward,-0.07823090255260468,-0.07823061943054199,-0.2012312114238739,-0.05673503503203392,0.06576951593160629,,0.445415735244751,0.44541558623313904,0.4579078257083893,0.9766804575920105,0.4742414057254791,Turn the Ganges upside down,-0.07823061943054199,mt_2,mt_3,0.4579078257083893,True
छक्के छुड़ाना,to defeat completely,to make someone’s sixes come out,Removing the dice,Removing the spins,Popping the beans,-0.5685010552406311,-0.680980384349823,-0.8171877861022949,-0.7672175765037537,-0.8033920526504517,,0.5129857659339905,0.5131633281707764,0.3364938795566559,0.9744216799736023,0.3796386420726776,Removing the dice,-0.5685010552406311,mt_1,mt_2,0.5131633281707764,False
फूँक-फूँक कर कदम रखना,to act very cautiously,to place steps after blowing (carefully),Stomp your feet and take a step,Stomp your feet and take a step,Stomp your feet and take a step,-0.45968201756477356,-0.45968201756477356,-0.45968201756477356,-0.6272658705711365,-0.7735559940338135,,0.40145543217658997,0.40145543217658997,0.40145543217658997,0.9696840643882751,0.4559357166290283,Stomp your feet and take a step,-0.45968201756477356,mt_1,mt_1,0.40145543217658997,False
दम में दम आना,to regain courage or relief after fear,breath to come into one’s breath,Pounding in one's heart,Toil and toil,Toil and Toil,-0.6763802766799927,-0.8130742907524109,-0.8589416146278381,-0.6314590573310852,-1.094452977180481,,0.35071268677711487,0.3218342363834381,0.3084677755832672,0.9632671475410461,0.3968430459499359,Pounding in one's heart,-0.6763802766799927,mt_1,mt_1,0.35071268677711487,False
दाँत से दाँत बजाना,to shiver from cold,to make tooth strike tooth (chatter),Tooth for tooth,Tooth for tooth,Crowding teeth,-0.44791120290756226,-0.44791120290756226,-0.7388532161712646,-0.7615214586257935,-0.7399916648864746,,0.3727860748767853,0.3727860748767853,0.37090161442756653,0.9684345126152039,0.4134189188480377,Tooth for tooth,-0.44791120290756226,mt_1,mt_1,0.3727860748767853,True
मुँह में पानी आना,to be tempted by delicious food,water to come into the mouth,Water in my mouth,Water in my mouth,Water in my mouth,0.35609886050224304,0.35609886050224304,0.35609886050224304,-0.5605624914169312,0.3058147430419922,,0.4459562599658966,0.4459562599658966,0.4459562599658966,0.9571572542190552,0.4945252239704132,Water in my mouth,0.35609886050224304,mt_1,mt_1,0.4459562599658966,True
नाक काटना,to disgrace or embarrass someone,to cut the nose,Cutting the nose,Cutting the nose,Nose piercing,-0.3595135509967804,-0.3595135509967804,0.30080467462539673,-0.7324631810188293,-0.49284687638282776,,0.3554792106151581,0.3554792106151581,0.32216277718544006,0.9674850106239319,0.40748700499534607,Nose piercing,0.30080467462539673,mt_3,mt_1,0.3554792106151581,True
कमर टूटना,to feel exhausted or discouraged,the waist to break,The door is creaking/opening/starting to come loose/cracking open.,To crumple up,The wall is cracking.,-0.34778091311454773,-0.7401812076568604,-0.16924068331718445,-0.4252950847148895,-0.6516852974891663,,0.36254337430000305,0.4120549261569977,0.40371620655059814,0.9712029695510864,0.3602386713027954,The wall is cracking.,-0.16924068331718445,mt_3,mt_2,0.4120549261569977,False
कमर कसना,to prepare oneself for a challenge,to tighten the waist (belt),To knock on (a) door,To knock on (a) door,Poking holes,-1.1879030466079712,-1.1879030466079712,-0.8127456307411194,-0.5003687143325806,-0.4524942934513092,,0.4315221607685089,0.4315221607685089,0.4228731095790863,0.9750674962997437,0.4558929204940796,Poking holes,-0.8127456307411194,mt_3,mt_1,0.4315221607685089,True
कलेजा पत्थर का होना,to be mentally or emotionally very strong,the liver/heart to be of stone,The stone of the college,The stone of the college,The stone of the college,-0.5504857897758484,-0.5504857897758484,-0.5504857897758484,-0.25868120789527893,-0.6056388020515442,,0.36101141571998596,0.36101141571998596,0.36101141571998596,0.9762024879455566,0.47795364260673523,The stone of the college,-0.5504857897758484,mt_1,mt_1,0.36101141571998596,False
दाँत खट्टे करना,to defeat someone badly,to make the teeth sour,Toothache,To have teeth drilled,Tearing the tooth,-0.3234659731388092,-0.40422680974006653,0.022150356322526932,-0.900212824344635,-0.29881542921066284,,0.4706345498561859,0.43410322070121765,0.4385511875152588,0.9589617848396301,0.46906712651252747,Tearing the tooth,0.022150356322526932,mt_3,mt_1,0.4706345498561859,True
ईंट से ईंट बजाना,to completely destroy or demolish someone,to make brick strike brick,Bell ringing from house to house,Ring-ding-dong,Bell ringing from tree to tree,-0.28120696544647217,-0.6773582100868225,-0.2050749957561493,-0.8255893588066101,-0.7131627798080444,,0.29510506987571716,0.280735045671463,0.2848908007144928,0.972443163394928,0.39153361320495605,Bell ringing from tree to tree,-0.2050749957561493,mt_3,mt_1,0.29510506987571716,True
नाक में दम करना,to annoy someone constantly,to put breath in the nose,To punch in the nose,To punch in the nose,Pinching one's nose,-0.5876762866973877,-0.5876750946044922,-0.3551725745201111,-0.7533828616142273,-0.6316611170768738,,0.43954727053642273,0.43954703211784363,0.4241221249103546,0.9795461893081665,0.4104163944721222,Pinching one's nose,-0.3551725745201111,mt_3,mt_1,0.43954727053642273,True
नाक पर मक्खी न बैठने देना,to be strict or disciplined,to not let a fly sit on the nose,Not letting cheese stick to your nose,Not letting cheese stick to your nose,Not letting cheese stick to your nose,-0.07004565000534058,-0.07004565000534058,-0.07004565000534058,-0.7151356339454651,-0.33153629302978516,,0.42181429266929626,0.42181429266929626,0.42181429266929626,0.9705486297607422,0.4372909665107727,Not letting cheese stick to your nose,-0.07004565000534058,mt_1,mt_1,0.42181429266929626,True
नाक कट जाना,to lose one's honor or respect,the nose to get cut,To cut one's nose off,To cut one's nose off,Coughing,-0.5257092118263245,-0.5257092118263245,-1.0084211826324463,-0.7891919016838074,-0.4156663119792938,,0.5271398425102234,0.5271398425102234,0.3453502357006073,0.970136821269989,0.42797237634658813,To cut one's nose off,-0.5257092118263245,mt_1,mt_1,0.5271398425102234,True
नाक में तेल डालकर सोना,to sleep carefreely without worries,to sleep after putting oil in the nose,Sleeping with oil in your nose,Sleeping with oil in my nose,Sipping oil in your nose before sleeping,0.2815990149974823,0.22700393199920654,0.36346665024757385,-0.42254045605659485,-0.0052265748381614685,,0.42595893144607544,0.42249080538749695,0.4226304888725281,0.9561648964881897,0.43253764510154724,Sipping oil in your nose before sleeping,0.36346665024757385,mt_3,mt_1,0.42595893144607544,True
नाक का सवाल होना,to be a matter of pride or ego,to be a question of the nose (honor),Having a nose problem,Having a nose problem,Having a nose problem,0.41136762499809265,0.41136735677719116,0.41136735677719116,-0.44748547673225403,-0.6445714831352234,,0.5416971445083618,0.541697084903717,0.541697084903717,0.9677165150642395,0.5712843537330627,Having a nose problem,0.41136762499809265,mt_1,mt_1,0.5416971445083618,False
नाक भौं सिकोड़ना,to show disapproval,to wrinkle the nose and brows,Took the nose out,Took the nose out,To stick one's nose in,-0.5566224455833435,-0.5566224455833435,-0.6541097164154053,-0.7020847797393799,-0.47819164395332336,,0.45818522572517395,0.45818522572517395,0.4087069630622864,0.9780864715576172,0.37686994671821594,Took the nose out,-0.5566224455833435,mt_1,mt_1,0.45818522572517395,True
नाक नीची करना,to humiliate publicly,to make the nose low,To purse one's nose,To purse one's nose,To pinch the nose,-0.6301061511039734,-0.6301061511039734,-0.5317409038543701,-0.6578519940376282,-0.36392584443092346,,0.41864702105522156,0.41864702105522156,0.4708808362483978,0.9649839997291565,0.4701307713985443,To pinch the nose,-0.5317409038543701,mt_3,mt_3,0.4708808362483978,True
कान खड़े होना,to become alert or suspicious,for the ears to stand up,Having ears protrude,Having ears protruding,Having ears protrude,-0.07905760407447815,-0.3831424415111542,-0.07905760407447815,-0.08314844965934753,-0.21059593558311462,,0.450621634721756,0.4783952832221985,0.450621634721756,0.9737952351570129,0.501968264579773,Having ears protrude,-0.07905760407447815,mt_1,mt_2,0.4783952832221985,False
कान पर जूँ न रेंगना,to remain unaffected or unmoved,for not even a louse to crawl on the ear,Don't let your ears get cold,Don't scratch your ears,Don't make my ears ring,-0.29749301075935364,-0.4979701340198517,-0.8273771405220032,-0.5719581246376038,-0.7487251162528992,,0.40760812163352966,0.39917609095573425,0.34420377016067505,0.9633671641349792,0.3590615689754486,Don't let your ears get cold,-0.29749301075935364,mt_1,mt_1,0.40760812163352966,False
कान में तेल डालना,to ignore someone's words,to pour oil into the ear,Putting oil in the ear,Putting oil in the ear,Putting oil in the ear,0.3445373773574829,0.3445374071598053,0.3445373773574829,-0.09062665700912476,0.07227447628974915,,0.44527801871299744,0.44527801871299744,0.44527801871299744,0.9715638756752014,0.476606160402298,Putting oil in the ear,0.3445374071598053,mt_2,mt_1,0.44527801871299744,True
कान में फूंक मारना,to influence or manipulate someone secretly,to blow a puff into the ear,To poke in the ear,To poke in the ear,Beating on the ear,-0.47649863362312317,-0.47649863362312317,-0.33150020241737366,-0.4207170009613037,-0.15572835505008698,,0.380353182554245,0.380353182554245,0.39054176211357117,0.9691144227981567,0.4322541654109955,Beating on the ear,-0.33150020241737366,mt_3,mt_3,0.39054176211357117,True
कान पकड़ना,to vow never to repeat a mistake,to hold the ears,To grab the ear,To grab the ear,To grab the ear,-0.6419907808303833,-0.6419907808303833,-0.6419909596443176,-0.05175861343741417,-0.10311901569366455,,0.40037423372268677,0.40037423372268677,0.40037432312965393,0.976539134979248,0.3928488790988922,To grab the ear,-0.6419907808303833,mt_1,mt_3,0.40037432312965393,False
कान भरना,to manipulate someone against another,to fill the ears,Sound in the ears,Sound in the ears,Sound in the ear,-0.3554540276527405,-0.3554540276527405,-0.3188738524913788,-0.5972062945365906,-0.3622988164424896,,0.375762939453125,0.375762939453125,0.39019882678985596,0.9761717915534973,0.39099618792533875,Sound in the ear,-0.3188738524913788,mt_3,mt_3,0.39019882678985596,True
कान काटना,to outsmart completely,to cut the ear,Ear cutting,Ear removal,Ear cutting,-0.044609613716602325,0.16242030262947083,-0.044609613716602325,-1.0227288007736206,-0.406988263130188,,0.3769111633300781,0.46814343333244324,0.3769111633300781,0.9795293211936951,0.5175538659095764,Ear removal,0.16242030262947083,mt_2,mt_2,0.46814343333244324,True
आसमान सिर पर उठाना,to create a big commotion or panic,to lift the sky onto one’s head,To lift one's head up,To lift one's head up,To lift one's spirit/to raise one's spirits,-0.12217843532562256,-0.12217843532562256,-0.39154359698295593,-0.3153019845485687,-0.0582844577729702,,0.4527120292186737,0.4527120292186737,0.44360440969467163,0.9716535210609436,0.4486587643623352,To lift one's head up,-0.12217843532562256,mt_1,mt_1,0.4527120292186737,True
आसमान से बातें करना,to reach great heights or success,to talk with the sky,Talking to the sky,Talking to the sky,Talking about things from the sky,-0.23293673992156982,-0.23293671011924744,-0.21839241683483124,-0.25151458382606506,-0.28677603602409363,,0.4637395441532135,0.46373942494392395,0.5039257407188416,0.9732430577278137,0.5062466859817505,Talking about things from the sky,-0.21839241683483124,mt_3,mt_3,0.5039257407188416,False
आसमान से गिरे खजूर में अटके,to fall from one trouble into another,"having fallen from the sky, stuck in a date-palm",Pomegranates that fell from the sky and rotted,Wilted jackfruit hanging from the sky,Pomegranates that fell from the sky and rotted,-0.14867818355560303,-0.2737438976764679,-0.14867818355560303,-0.6288418769836426,-0.5590160489082336,,0.46300509572029114,0.3781101703643799,0.46300509572029114,0.9726396203041077,0.47136613726615906,Pomegranates that fell from the sky and rotted,-0.14867818355560303,mt_1,mt_1,0.46300509572029114,True
आग बबूला होना,to become extremely angry,to become fire-foaming (blazing angry),The cotton is burning.,The cotton is burning.,The cotton is burning.,-0.3783036172389984,-0.3783014714717865,-0.37830302119255066,-0.5222880244255066,-0.5080304741859436,,0.4268927276134491,0.4268927276134491,0.4268927574157715,0.9817957282066345,0.5937746167182922,The cotton is burning.,-0.3783014714717865,mt_2,mt_3,0.4268927574157715,True
आग में घी डालना,to worsen an already bad situation,to pour ghee into the fire,Adding ghee to the fire,Put ghee into the fire,Adding ghee to the fire,0.41526034474372864,0.5412707924842834,0.41526085138320923,-0.30516648292541504,-0.18990933895111084,,0.5285599231719971,0.5335896015167236,0.5285598635673523,0.9712200164794922,0.528633713722229,Put ghee into the fire,0.5412707924842834,mt_2,mt_2,0.5335896015167236,True
आग में कूदना,to take a dangerous risk,to jump into the fire,Burnin',Burnin',To dance in the flames,-1.050085425376892,-1.050085425376892,-0.20427602529525757,-0.42068368196487427,-0.2637116014957428,,0.35754087567329407,0.35754087567329407,0.5048121213912964,0.9745399951934814,0.5732035040855408,To dance in the flames,-0.20427602529525757,mt_3,mt_3,0.5048121213912964,True
आग लगना,to become furious or jealous,for fire to catch,Fire starting,Fire starting,Fire starting,0.1104847639799118,0.1104847639799118,0.1104847639799118,-0.507174551486969,-0.7907373905181885,,0.4637913405895233,0.4637913405895233,0.4637913405895233,0.9774306416511536,0.3589053153991699,Fire starting,0.1104847639799118,mt_1,mt_1,0.4637913405895233,False
आग ठंडी होना,to calm down after anger,for the fire to cool,Fire getting cold,Fire getting cold,Fire getting cold,0.21737104654312134,0.21737104654312134,0.21737104654312134,-0.20307911932468414,0.13447047770023346,,0.572073757648468,0.572073757648468,0.572073757648468,0.977574348449707,0.6879724860191345,Fire getting cold,0.21737104654312134,mt_1,mt_1,0.572073757648468,True
आग उगलना,to speak harshly or aggressively,to spit/emit fire,To ignite/fire/explore,To ignite/fire/burn,To ignite/fan the flames,-0.5810273289680481,-0.5527790784835815,-0.10821032524108887,-0.3842526376247406,-0.2096642106771469,,0.4120253622531891,0.4155970513820648,0.4253820478916168,0.9725264310836792,0.4785902202129364,To ignite/fan the flames,-0.10821032524108887,mt_3,mt_3,0.4253820478916168,True
आग से खेलना,to invite danger knowingly,to play with fire,Playing with fire,Playing with fire,Playing with fire,0.5649197697639465,0.5649197697639465,0.5649197697639465,-0.34608691930770874,0.21610009670257568,,0.5742177367210388,0.5742177367210388,0.5742177367210388,0.9790443778038025,0.6136189103126526,Playing with fire,0.5649197697639465,mt_1,mt_1,0.5742177367210388,True
आग लगाना,to instigate or provoke trouble,to set on fire,To light a fire/fire up,To light a fire/fire up,Lighting a fire/firecracker,-0.3091023862361908,-0.3091023862361908,-0.19619601964950562,-0.1809999644756317,-0.1272202879190445,,0.4391602575778961,0.4391602575778961,0.3899795711040497,0.9763818979263306,0.45085409283638,Lighting a fire/firecracker,-0.19619601964950562,mt_3,mt_1,0.4391602575778961,True
आग दिखाना,to show anger or power,to show fire,To show the fire/fire burning,To show fire/lightning,To show the fire/fire burning,-0.3289192318916321,-0.05734066292643547,-0.3289192318916321,-0.26175346970558167,-0.192886620759964,,0.52875816822052,0.6583011746406555,0.52875816822052,0.9808473587036133,0.6303011178970337,To show fire/lightning,-0.05734066292643547,mt_2,mt_2,0.6583011746406555,True
आग लग जाना,to feel jealous or restless,for fire to get lit,Fire starts/fire begins,Fire starts/fire begins,Fire starts/big flames appear,-0.5486714243888855,-0.5486714243888855,0.10088774561882019,-0.7372646927833557,-0.5399577021598816,,0.36167633533477783,0.36167633533477783,0.4310357868671417,0.9727187156677246,0.399026483297348,Fire starts/big flames appear,0.10088774561882019,mt_3,mt_3,0.4310357868671417,True
आग बन जाना,to become furious,to become fire,Fire starts/took place,Fire starts/fire begins,Fire starts/smolders/fire begins,-0.24107077717781067,-0.5748266577720642,-0.5816845893859863,-0.4375212490558624,-0.3504423201084137,,0.5262005925178528,0.45310357213020325,0.468672513961792,0.9838050007820129,0.7069448232650757,Fire starts/took place,-0.24107077717781067,mt_1,mt_1,0.5262005925178528,True
आग पर तेल डालना,to intensify an argument or situation,to pour oil on the fire,Adding oil to the fire,Pouring oil on the fire,Putting oil on the fire,0.44894808530807495,0.2910779118537903,0.5115413069725037,-0.011688455939292908,0.013333626091480255,,0.5620131492614746,0.5029474496841431,0.5645352602005005,0.975247859954834,0.5535071492195129,Putting oil on the fire,0.5115413069725037,mt_3,mt_3,0.5645352602005005,True
धूल चाटना,to face defeat or humiliation,to lick dust,Scattering ashes,Toiling (or Threshing) Wheat,Scraping the ashes,-0.09566091001033783,-0.6348528265953064,-0.2746795415878296,-0.23865348100662231,-0.4405524432659149,,0.43295201659202576,0.44669875502586365,0.4281506836414337,0.9722623229026794,0.4900094270706177,Scattering ashes,-0.09566091001033783,mt_1,mt_2,0.44669875502586365,False
धूल फाँकना,to struggle in poverty or hardship,to gulp/eat dust,Raking the ashes,Raking the ashes,Raking the hay,-0.2327430546283722,-0.2327430546283722,-0.5036904811859131,-0.7102745771408081,-0.6541711688041687,,0.3904479444026947,0.3904479444026947,0.41186338663101196,0.9607710838317871,0.416647344827652,Raking the ashes,-0.2327430546283722,mt_1,mt_3,0.41186338663101196,True
धूल झाड़ना,to scold or reprimand strongly,to shake off dust,Raking the ashes,Raking the ashes,Tooting/smearing ashes,0.07939793169498444,0.07939793169498444,-0.553112804889679,-0.7754626870155334,0.10774941742420197,,0.4097703695297241,0.4097703695297241,0.48915883898735046,0.9644016623497009,0.4184861481189728,Raking the ashes,0.07939793169498444,mt_1,mt_3,0.48915883898735046,True
धूल में मिलाना,to destroy completely,to mix into dust,Dancing in the dust,Getting tangled,Bundling up,-0.09925772249698639,-0.34316378831863403,-0.5489255785942078,-0.8215983510017395,-0.4274229407310486,,0.4277176260948181,0.3901948630809784,0.29722827672958374,0.9827468991279602,0.48770275712013245,Dancing in the dust,-0.09925772249698639,mt_1,mt_1,0.4277176260948181,True
धूल उड़ाना,to make a scene unnecessarily,to raise/fly dust,Dancing with dust,Flying the dust,Flying dust,0.24329861998558044,0.005480390042066574,-0.03724280372262001,-0.6345464587211609,-0.11731994152069092,,0.4875712990760803,0.4236237704753876,0.43280377984046936,0.9601505994796753,0.4286722242832184,Dancing with dust,0.24329861998558044,mt_1,mt_1,0.4875712990760803,True
धूल झोंकना,to deceive or mislead someone,to throw dust (in the eyes),Dancing in the dust,Dancing in the dust,To dance in the dust,-0.16167044639587402,-0.16167044639587402,-0.5547013878822327,-0.3934360444545746,-0.38243937492370605,,0.36174455285072327,0.36174455285072327,0.38722971081733704,0.9729976058006287,0.3989182412624359,Dancing in the dust,-0.16167044639587402,mt_1,mt_3,0.38722971081733704,True
हवा निकल जाना,to lose courage suddenly,for the air to go out,Air blowing out,Air escaping,Air blowing out/away,0.03273572772741318,-0.5082781910896301,0.038974788039922714,-0.5828889608383179,-0.12246495485305786,,0.40441665053367615,0.41358473896980286,0.3992794156074524,0.9770075678825378,0.4874112904071808,Air blowing out/away,0.038974788039922714,mt_3,mt_2,0.41358473896980286,True
हवा खा जाना,to run away secretly,to eat wind,Breathing in the air,Breathing in the air,Breathing in the air,-0.16787394881248474,-0.16787394881248474,-0.16787394881248474,-0.6674895882606506,-0.47782066464424133,,0.4807181656360626,0.4807181656360626,0.4807181656360626,0.9768969416618347,0.4985125958919525,Breathing in the air,-0.16787394881248474,mt_1,mt_1,0.4807181656360626,True
हवा में उड़ाना,to waste money carelessly,to throw/waft in the air,Flying in the air,Flying in the air,Flying in the air,0.01944844424724579,0.019448470324277878,0.01944844424724579,-0.673167884349823,-0.45960506796836853,,0.3469218909740448,0.3469218909740448,0.3469218909740448,0.9678940176963806,0.42103061079978943,Flying in the air,0.019448470324277878,mt_2,mt_1,0.3469218909740448,True
हवा बन जाना,to disappear quickly,to become air,Air turns into,Air turns into,Air turns or becomes,-0.6609538793563843,-0.6609774231910706,-0.6926454901695251,-0.6078354120254517,-0.6481713056564331,,0.5230795741081238,0.5230798125267029,0.4243714511394501,0.9805391430854797,0.6049901247024536,Air turns into,-0.6609538793563843,mt_1,mt_2,0.5230798125267029,False
हवा में बात करना,to speak without proof or sense,to speak into the air,Talking in the air,Talking in the air,Talking in the air,0.3963746130466461,0.3963746130466461,0.3963746130466461,-0.3433656394481659,0.15496207773685455,,0.44416481256484985,0.44416481256484985,0.44416481256484985,0.9731787443161011,0.5389570593833923,Talking in the air,0.3963746130466461,mt_1,mt_1,0.44416481256484985,True
