src,true_meaning,literal_translation
事半功倍,Get twice the result with half the effort,Do more with less
事不关己，高高挂起,Let things drift if they do not affect one personally,"It's none of your business, hang up"
事不宜迟,We must attend to the matter immediately,Without further ado
事非经过不知难,You never know how hard a task is until you have done it yourself,No matter what happens
事过境迁,The incident is over and the circumstances are different,Things have changed
事后诸葛亮,Claim wisdom after the event,"After the fact, Zhuge Liang"
事出有因,It is by no means accident al,It happened for a reason
五湖四海,The five lakes and four seas,All over the world
五十步笑百步,The pot calling the kettle black,Fifty steps with a hundred steps
井底之蛙,A man of very limited experience,Frog in the well
井水不犯河水,"I'll mind my own business, you mind yours",Well water does not make river water
亡羊补牢,Mend the fold after a sheep is lost,Remedy for a dead sheep
亡羊得牛,The gain is greater than the loss,Dead sheep get cows
亦步亦趋,Follow in one's steps,Dance to tune
人不知，鬼不觉,Do in complete secrecy,"People don't know, ghosts don't know"
人不为己，天诛地灭,Everyone for himself and let the devil take the hindmost,"People are not for themselves, they will be destroyed"
人怕出名猪怕肥,Fame portends trouble for men just as fattening does for pigs,"People are afraid of fame, pigs are afraid of fat"
人莫予毒,"""no one dare harm me""",Don't be poisoned
人命危浅,One's days (or hours) are numbered,Life in danger
人浮于事,Superfluous staff,People are overwhelmed
人定胜天,"It is man's will, not heaven's, that decides",Man will conquer the sky
人同此心，心同此理,Everybody feels the same about this,"People have the same heart, the same heart"
人欢马叫,"A busy, prosperous country scene",People cheering horses
人尽其才,Bring everyone's ability (or talent) into full play,People do their best
人弃我取,I will take whatever others don't want,People abandon me
人琴俱亡,Mourn (or grieve) over the dead at sight of his things left,Everyone is dead
人心向背,The will of the people,Heart to back
人心所向,The direction of popular sentiment (or feeling),What people want
人而无信，不知其可,"If a man does not keep his word, what is he good for","People don't believe, don't know what to do"
人无廉耻，百事可为,"If a man is dead to shame, he can do all sorts of evils","People are shameless, Pepsi can be"
人为刀俎，我为鱼肉,Be meat on somebody's chopping block - be at somebody's mercy,"People are knives, I am fish"
人微言轻,The words of the lowly carry little (or no) weight,People speak lightly
人云亦云,Parrot,Echo what others say
仁者见仁，智者见智,Different people have different views,"The benevolent sees benevolence, the wise sees wisdom"
今非昔比,Times have changed,Not what it used to be
今是昨非,Wake up to one's past folly after realizing what is right today,Today is yesterday
他山攻错,Advice from others may help one overcome one's shortcomings,He attacked the wrong mountain
付之一炬,Set something on fire,Burn it down
以貌取人,Judge by outward looks,Judging people by their appearance
以德报怨,Return good for evil,Retaliate with virtue
以退为进,Mane concessions in order to gain advantages,Advance by retreat
以理服人,Convince people by sound argument,Convince people with reason
以蠡测海,Have a shallow understanding of a person or subject,Measure the sea with Li
以卵击石,Grossly overestimate one's own strength,Hit stone with egg
以观后效,(lighten a punishment and) see how the offender behaves,Watch the aftermath
以攻为守,Attack in order to defend,Offense as defense
以己度人,Judge others by oneself,Save others by yourself
以小人之心，度君子之腹,Measure the stature of great men by the yardstick of small men,Belly sinister heart of a gentleman
以血还血,Demand (or pay) blood for blood,Blood for blood
以手加额,Place hand over one's forehead - in greeting,Top up by hand
以身殉职,Die a martyr at one's post,Die in the line of duty
以身作则,Set a good example to others,Lead by example
以子之矛，攻子之盾,Turn somebody's battery against himself,"With the spear of the son, the shield of the son"
以讹传讹,"Pass on rumours, incorrect readings, etc",To spread falsehoods
以耳代目,Rely upon hearsay instead of seeing for oneself,Ears instead of eyes
以一当十,Pit one against ten,One to ten
以一警百,Punish one as a warning to others,One police one hundred
以逸待劳,Hold one's position awaiting enemy attack after a long march,Wait for work
以眼还眼，以牙还牙,Blow for blow,"An eye for an eye, a tooth for a tooth"
以怨报德,Repay good with evil,Repay kindness with resentment
任凭风浪起，稳坐钓鱼船,Hold one's ground despite pressure or opposition,"Let the wind and waves rise, sit firmly on the fishing boat"
任其自流,Let things run their course,Let it run its course
任重道远,Shoulder a heavy responsibility,A long way to go
休戚与共,Stand (or go) together through thick and thin,Share weal and woe
你追我赶,Try to overtake each other in friendly emulation,You chase me
你死我活,Life-and-death,You die and I live
何其相似乃尔,What a striking likeness (or similarity),How similar nell
何去何从,What course to follow,Where to go
何足挂齿,Not worth bothering about,He Zu hang teeth
作威作福,Lord it over (others),To make a fortune
来者不善，善者不来,"Those who have come are not friendly, these who are friendly have not come","Those who come are not good, those who are good do not come"
来日方长,There will be ample time,Come to Japan for a long time
来而不往非礼也,It is impolite not to reciprocate,Come and go without being rude
供不应求,Supply falls short of demand,In short supply
依然如故,Remain unchanged (or the same),Still the same
依样画葫芦,Follow the beaten track,Draw a gourd
依违两可,Be undecided,Both can be violated
信马由缰,Let things take their natural course,The horse is reined
信赏必罚,Due rewards and punishments will be meted out without fail,Faith and reward must be punished
修旧利废,Repair and utilize old or discarded things,Repair the old and make use of the waste
俯仰由人,Be at somebody's beck and call,Pitched by man
倚老卖老,Flaunt one's seniority,Rely on the old and sell the old
倚官仗势,Count on one's powerful connections,Rely on officials
借刀杀人,Do harm to somebody through the hands of another,Borrow a knife to kill
借题发挥,"Seize on some pretext (or other) to distort (the features, motives, truth, etc.)",Take advantage of the topic
借古讽今,Use the past to disparage the present,Borrow the past to satirize the present
借花献佛,Borrow flowers to offer Buddha - offer somebody favors at the expense of another,Borrowing flowers to offer Buddha
偃武修文,Leave military pursuits and promote culture,Yan Wu Xiuwen
假公济私,Use public office for private gain,Fake public service
做一天和尚撞一天钟,Follow a routine,Be a monk for a day and hit the clock
偷天换日,Audacious scheme of cheating people,Steal the day
偷梁换柱,Resort to fraudulence,Stealing the beam and changing the column
偷鸡不成蚀把米,Try to steal a chicken only to end up losing the rice,Stealing chicken will not lose rice
偷鸡摸狗,Crooked dealings,Stalking the dog
侥幸取胜,Win by a fluke,Get away with it
价廉物美,Low prices and fine quality,Inexpensive and good quality
优哉游哉,Living a life of case and leisure,Yu Zai Yu Zai
兄弟阋于墙,Quarrel between brothers,Brothers against the wall
兄弟阋于墙，外御其侮,Internal disunity dissolves at the threat of external invasion,"Brothers are separated from the wall, and they are defended from outside"
先天下之忧而忧，后天下之乐而乐,The first to show concern and the last to enjoy himself,"The world's worries and worries first, and the world's joys and joys later"
先斩后奏,(ancient general) empowered to kill first then report later,Cut before play
光复旧物,Recover lost territory,Restoring the old
光阴似箭,How time flies,Time flies like an arrow
克敌制胜,Conquer the enemy,Overcome the enemy and win
兔子不吃窝边草,A rabbit doesn't eat the grass near its hole (so that it will be protected),Rabbits don't eat nest grass
兔子尾巴长不了,Won't last long,Rabbit tail doesn't grow
兔死狗烹,The hounds are killed for food once all the hares are bagged,Rabbit dead dog cooking
兔死狐悲,Like mourns over the death of like,Rabbit dead fox sad
入不敷出,Unable to make ends meet,Make ends meet
入国问俗,Learn about customs and habits of the country one goes to,Entering the country to ask about customs
入乡随俗,When in Rome do as the Romans do,Do as the Romans do
内忧外患,Domestic trouble and foreign invasion,Internal and external troubles
内外交困,Be in dire straits at home and abroad,Internal and external difficulties
全力以赴,Strain every nerve,Go all out
两面讨好,Try to keep the favor of both sides in a dispute,Pleasing on both sides
两面三刀,Double-faced tactics,Three swords on both sides
两全其美,Serve a twofold purpose,Best of both worlds
两小无猜,(of a boy and a girl) be innocent playmates,Two little guesses
两袖清风,(of an official) have clean hands,Two Sleeves Breeze
八仙过海，各显神通,Try to outshine each other,"The Eight Immortals cross the sea, each showing their magical powers"
公说公有理，婆说婆有理,Both parties claim to be in the right,"The public said the public was reasonable, the mother said the mother was reasonable"
公而忘私,Selfless,Public but private
六亲不认,Turn one's back on ones own flesh and blood,Six parents do not recognize
六神无主,In a state of utter stupefaction,Six gods without masters
兵不厌诈,All is fair in war,Soldiers never tire of deceit
兵临城下,The city is under siege,Soldiers approaching the city
兵贵神速,Speed is precious in war,Soldiers are very fast
兵戎相见,Resort (or appeal) to arms,See each other
其味无穷,A lasting pleasant taste,Its taste is endless
兼听则明，偏信则暗,Listen to both sides and you will be enlightened,"Listening at the same time is bright, partial believing is dark"
再接再厉,Intensify (or redouble) one's efforts,Make persistent efforts
冒天下之大不韪,Be against the world,Risk the world
冤家路窄,Inevitable confrontation,Enemy road is narrow
冰冻三尺，非一日之寒,The trouble has been brewing for quite some time,"Frozen three feet, not a day's cold"
冰炭不相容,As incompatible (or irreconcilable) as ice and hot coals,Charcoal is not compatible
冷眼旁观,Stand aloof and look on with cold indifference,Sit on the sidelines
凡事预则立，不预则废,Preparedness ensures success and unpreparedness spells failure,"Forewarned is forearmed, without prejudging the waste"
凯旋归来,Return with flying colors,Return with glory
出头露面,(be) in the limelight,Make an appearance
出生入死,(be) through thick and thin,Go through fire and water
刀山火海,A mountain of swords and a sea of flames,Knife mountain and sea of fire
切磋琢磨,Compare notes,Learn from each other
初生之犊不怕虎,Young people are fearless,Newborn calves are not afraid of tigers
别久情疏,"Out of sight, out of mind",Don't be shy
利令智昏,Be mesmerized by money,Li Lingzhi faints
到什么山唱什么歌,When in Rome do as the Romans do,What mountain to sing what song
刻舟求剑,Ridiculous stupidity,Carving a boat for a sword
刻意求工,Try to do one's very best to achieve perfection,Deliberately seeking work
削足适履,Cut the feet to fit the shoes,Cut to fit
前怕狼，后怕虎,Be plagued by all sorts of fears,"Fear of wolves before, fear of tigers"
前仆后继,With fresh forces always stepping forward as others fell,One after another
前门拒虎，后门进狼,Fend off one danger only to fall prey to another,"The front door rejects the tiger, the back door enters the wolf"
前倨后恭,Change from arrogance to humility,The front and the back are respectful
前车之覆，后车之鉴,One should take warning from another's mistake,"Overlap from the previous car, learn from the future car"
前事不忘，后事之师,"Past experience, if not forgotten, is a guide for the future",Past experience guide for the future
前人栽树，后人乘凉,Profiting by the labor of one's forefathers,"The predecessors planted the trees, the later generations enjoyed the shade"
前思后想,Turn over in one's mind,Think before and after
剜肉补疮,Resort to a remedy worse than the ailment,Gouging out sore
劈头盖脸,(blow) direct in the face,Cover your face
力排众议,Prevail over all dissenting views,Against the odds
力所不及,Above (beyond or out of) one's reach,Beyond the power
力所能及,Do everything in one's power,Do your best
力挽狂澜,Make vigorous efforts to turn the tide,Turn the tide
功败垂成,Fail when success is already in sight,Success or failure
功到自然成,Constant effort yields sure success,Success comes naturally
助纣为虐,Encourage oppression,Help Zhou to abuse
勇冠三军,Distinguish oneself by peerless valor in battle,Brave Champions and Three Armies
动辄得咎,Be blamed for every move (or for whatever one does),Blame at every turn
胜败乃兵家之常,Defeats or victories are ordinary things to a general,Victory and defeat are the norm in the military
胜不骄，败不馁,"Not puffed up by success, undismayed by failure","Victory is not proud, defeat is not discouraged"
劳民伤财,Waste of manpower and public funds,Laboring people and hurting wealth
劳而无功,Work fruitlessly,Toil in vain
势成骑虎,In the position of one riding a tiger,Riding a tiger
势如破竹,With irresistible force,Like a broken bamboo
勿谓言之不预也,Don't say that I didn't warn you,Don't say unpredictable
包藏祸心,Harbor evil (or malicious) intentions,Hide evil intentions
化整为零,Break up the whole into parts,Rounded up to zero
化为灰烬,Reduced to ashes,Turn to ashes
化为乌有,Be reduced to zero,Turn into nothing
匹夫有责,Every man has a share of responsibility for the fate of his country,Everyone is responsible
十目所视，十手所指,One cannot do wrong without being seen,"What ten eyes see, what ten hands point to"
十年寒窗,Persevere in one's long-term studies in spite of hardships,Ten years of cold window
十室九空,Almost all (nine-tenths) houses were empty after the raid,Ten rooms and nine empty spaces
千方百计,Leave no stone unturned,Do everything possible
千夫所指,Be universally condemned,Thousands of people refer to
千难万险,Numerous dangers and hazards,In all dangers
千里之堤，溃于蚁穴,Slight negligence may lead to a great disaster,The embankment of a thousand miles collapses in the ant's nest
千里之行，始于足下,A thousand-li journey starts with the first step,A thousand miles begins with a single step
千里送鹅毛,"But sent from afar, it conveys deep feeling",Send goose feathers for thousands of miles
千虑一得,Even a fool occasionally hits on a good idea,All things considered
千古奇谈,Strange stories of the ages,Legends through the ages
千奇百怪,All sorts (or kinds) of strange things,All kinds of strange
千锤百炼,Be revised and rewritten many times,Thousands of trials and hardships
千山万水,A long and arduous journey,Thousands of mountains and rivers
千载难逢,The chance of a lifetime,Once in a lifetime
千载一时,An extremely rare chance,A thousand years
千言万语,Countless words,A thousand words
升堂入室,Become highly proficient in one's profession,Ascension into the room
半途而废,"Stop (abandon, collapse, leave off, or give up) halfway",Give up halfway
半斤八两,Much of a muchness,Half a catty
南征北战,Fight south and north on many fronts,South and North War
南辕北辙,(as) wide as the poles are apart,The opposite is true
博而不精,Know something about everything,Possessed but not refined
博闻强记,Have an encyclopedic knowledge,UBM Strong Kee
卸磨杀驴,Slaughter the donkey after it had done its job at the mill,Kill the donkey
却以其人之道，还治其人之身,Give somebody a dose of his own medicine,"But with the way of the people, he also treats the body of the people"
厚此薄彼,Discriminate against some and favor others,Favor one over another
厝火积薪,Put fire under piles of fuel (or firewood),House fire accumulated salary
励兵秣马,Get ready for battle,Fighting for horses
去粗取精,Discard the dross and select the essential,To rough sperm extraction
去伪存真,Winnow truth from falsehood,Remove the false and preserve the true
取长补短,Overcome one's own shortcomings by learning from others' strong points,Learn from each other
口蜜腹剑,Hypocritical and malignant,Honey belly sword
口惠而实不至,Empty promise without substance,Lip service but unrealistic
古为今用,Make the past serve the present (and foreign things serve China),Past for present
古往今来,Since time immemorial,Through the ages
另请高明,Get (find) oneself a more qualified person,Please also Gao Ming
另眼相看,See somebody in a new light,Look at it differently
只可意会，不可言传,"Can be subtly appreciated, but not put into words","It can only be understood, not spoken"
只见树木，不见森林,Cannot (or fail to) see the woods (forest) for the trees,Only trees but no forest
只争朝夕,Race against time,Just fight for the day
只此一家，别无分店,Have a monopoly,"Only this one, no other branches"
只要功夫深，铁杵磨成针,Perseverance spells success,"As long as you try very hard, you can achieve anything"
可歌可泣,Heroic and moving,Can sing and cry
可遇而不可求,"May come by (something) with luck, but not by searching for it",Available but not available
司马昭之心，路人皆知,All too evident,Sima Zhao's heart is known to all
吃里扒外,Live off one person while secretly helping another,Eat inside and out
吃软不吃硬,"Be open to persuasion, but not to coercion",Eat soft not hard
吃一堑，长一智,In doing we learn,Learn from mistakes
各奔前程,Each goes his own way,Go their separate ways
各得其所,Each is properly provided for,Get what they want
各行其是,Act as one pleases,Do their own thing
各抒己见,Each airs his own views,Express their opinions
各有千秋,Each has his strong points,Each has its own merits
同病相怜,Fellow sufferers sympathize (or commiserate) with one another (or with each other),Pity each other
同甘共苦,"(fellow fighters, etc.) through thick and thin",Share weal and woe
同舟共济,Pull together to tide over difficulties,Together in the same boat
同仇敌忾,Share a bitter hatred of the enemy,Share the same hatred
同床异梦,Have different dreams in the same bed,Same Bed Different Dreams
同声相应，同气相求,Like attracts like,Corresponding with the same voice
同恶相求,Aid and abet each other in wrong doings,Seek the same evil
名落孙山,Fail in a civil examination,Name Luosun Mountain
吐故纳新,Get rid of the stale and take in the fresh,Revive the old
向隅而泣,Weep all alone in a corner,Cry to the corner
吠影吠声,Slavishly echo others,Bark shadow bark
吮痈舐痔,Suck (or lick) ulcers and piles of another person,Sucking carbuncle hemorrhoids
周而复始,Go round and round,Week after week
味同嚼蜡,It tastes no better than tallow,Taste like wax
呼风唤雨,Control the forces of nature,Call the wind and call the rain
呼之即来，挥之即去,Have somebody at one's beck and call,"Come on call, come on call"
呼之欲出,Very vividly portrayed,Ready to come out
命在旦夕,Be on the verge of death,Life is on the verge of
咆哮如雷,Be a thundering rage,Roar like thunder
和盘托出,Tell all the truth,And tell the truth
和睦相处,Be happy together,Get along in harmony
哀兵必胜,An army burning with righteous indignation is bound to win,Underdog will win
哀鸿遍野,A land swarming with famished refugees,Sadness is everywhere
哀而不伤,Deeply felt but not sentimental,Sad but not sad
哄堂大笑,The whole room rocking with laughter,Laugh out loud
唱独角戏,Go it alone,Sing a one-man show
唾手可得,Extremely easy to obtain,Within easy reach
问道于盲,Blind leading the blind,Ask the blind
问寒问暖,Ask after somebody's health with deep concern,Ask for warmth
问长问短,Take the trouble to make detailed inquiries,Ask long ask short
哑然失笑,Can't help laughing,Laugh out loud
啼饥号寒,Cry from hunger and cold,Cry of hunger and cold
善始善终,See something through,Good start and good end
善自为谋,Good at taking care of oneself,Good for oneself
善有善报，恶有恶报,Good has its reward and evil has its recompense,What goes around comes around
喜新厌旧,Love (or pleased with) the new and loathe the old,Love the new and hate the old
喜形于色,Light up with pleasure,Happy with color
喜从天降,A sudden unexpected happy event,Joy falls from the sky
喜闻乐见,Love to see and hear,Happy to hear
丧权辱国,Surrender a country's sovereign rights under humiliating terms,Humiliate the country
嗟来之食,A handout,Food that comes
嗷嗷待哺,Cry piteously for food,Wailing to be fed
嘉言懿行,Good words and admirable conduct,Jia Yan Yi Xing
嘘寒问暖,Inquire after somebody's well-being,Ask for warmth
嘻嘻哈哈,Laughing and joking,Hee hee ha ha
噤若寒蝉,Keep mum about,Silent as a cicada
噬脐莫及,It's too late to repent,The umbilical cord is out of reach
严阵以待,Stand ready in battle array,Ready for battle
嘤鸣求友,A bird sings to call forth a friend's response,Begging for friends
四平八稳,Well organized,All in all
四面八方,On every side,In all directions
四体不勤，五谷不分,Can neither do physical work nor distinguish rice from wheat,"The four bodies are not diligent, and the five grains are not divided"
四通八达,Extend (lead or communicate) in all directions,Extending in all directions
四海之内皆兄弟,"""all the people of the world are brothers""",All Men Are Brothers
回头是岸,It is never too late to mend,Back to shore
回心转意,Change one's mind (or views),Change your mind
因地制宜,Bear in mind local needs and possibilities,Adapt to local conditions
因陋就简,Make do with whatever is available,Simple because of the shabby
因小失大,Try to save a little only to lose a lot,Lose big by small
因循守旧,Follow the beaten track (or path),Follow the beaten path
因循自误,Procrastinate until it is too late,Follow one's own mistakes
因势利导,Give proper guidance as the situation requires,Make the most of the situation
因时制宜,Do the right thing at the right time,According to the time
因人成事,Rely on others for success in work,It's because of people
因材施教,Teach students in accordance with their aptitude,Teaching students according to their aptitude
因噎废食,Throw away the apple because of the core,Give up food due to choking
困兽犹斗,One fights to the death in desperation,Trapped beast still fighting
囫囵吞枣,Gulp down without thought,Swallow the dates whole
围魏救赵,Relieve the besieged by besieging the base of the besiegers,Surround Wei to save Zhao
圆凿方枘,At variance with each other,Round chisel square
图穷匕见,The real intention is revealed in the end,See the picture
土洋结合,Combine indigenous and foreign methods,Combination of soil and ocean
在所不惜,Will never balk at,At all costs
地大物博,A big country abounding in natural wealth,Great land and abundant resources
坐地分赃,Divide the booty on the spot,Divide the spoils on the ground
坐观成败,Sit and watch the results of,Sit back and watch
坐困愁城,Wallow in a slough of despondency,Sitting in troubled city
坐井观天,Have (or take) a very narrow view (of things),Sitting well and watching the sky
坐享其成,Without striking a blow,Sit back and enjoy
坐视不救,Sit back and watch without going to the rescue,Sit back and watch
坐收渔利,Have victory (or an advantage) fall into one's lap,Reap the benefits
坐山观虎斗,"Watch in safety while others fight, then reap the spoils when both sides are exhausted",Sitting on the mountain and watching the tiger fight
坐以待旦,Sit up and wait for daybreak,Sit back and wait
