,src,true_meaning
24,23. 国际人权联盟联合会（人权联会）、人权监察站、国际法学家委员会和国际妇女权利行动观察-亚洲/太平洋（妇女权利观察-亚太）的代表向委员会间会议提出关于加强人权条约机构系统的看法，人权联会、人权检查站和国际法学家委员会并就此事提出一份联合文件，这份文件也得到其它非政府组织的支持。,"Representatives of the International Federation of Human Rights Leagues (FIDH), Human Rights Watch (HRW), the International Commission of Jurists (ICJ) and International Women's Rights Action Watch-Asia Pacific (IWRAW-AP) presented their views to the inter-committee meeting with regard to the strengthening of the human rights treaty body system, with FIDH, HRW and ICJ providing a joint paper on the matter that was also supported by other NGOs."
25,17 《维尔京群岛每日新闻》，2005年1月7日。,"17 The Virgin Islands Daily News, 7 January 2005."
26,in just the right light.,in just the right light.
27,我也是人类啊 赛巴斯酱,"I am human, Sebastian!"
28,但你還是不能開我的車,You still can't drive my car.
29,另一个规划干事（P-3）将重点关注执行情况跟踪和评价，包括关于成果预算编制框架的执行情况报告、合并关于特派团执行计划的定期报告以及关于特派团里程碑、基准和逐渐缩编时间表。,"The second Planning Officer (P-3) would focus on implementation tracking and evaluation, including performance reporting on the results-based-budgeting frameworks, consolidation of periodic reports on the mission implementation plan and on milestones, benchmarks and timelines for the gradual drawdown of the Mission."
30,牙买加医学理事会（MCJ）建议，目前关于堕胎的政策声明应该促进修订现行立法，以便减少或防止因为不安全堕胎而导致产妇死亡或致残。,The Medical Council of Jamaica (MCJ) has proposed that the present policy statement on abortion should facilitate the amendment of current legislation in order to reduce or prevent maternal deaths and disability linked to unsafe abortions.
31,我载你,I'll take you to Spain.
32,调查以色列侵害占领区巴勒斯坦人民和其他阿拉伯人人权的行为特别委员会的平衡的报告（A/63/273）列举了多项以色列违反《公民及政治权利国际公约》的行为，特别是侵犯当地人民的言论自由权、集会自由权、身心健康权等的行为。,"The balanced report of the Special Committee to Investigate Israeli Practices Affecting the Human Rights of the Palestinian People and Other Arabs of the Occupied Territories (A/63/273) had identified numerous Israeli violations of the International Covenant on Civil and Political Rights, particularly the rights to freedom of expression and assembly and the right to mental and physical health."
33,B．生命权、人身自由、安全权和人身致残,"The right to life, liberty, security and physical integrity"
34,与其说是喜欢 不想在我这一代结束,"It's not about preferences, this new generation is so different."
35,35. 自2004年4月以来，丹麦包机一直从欧洲飞抵圣克罗伊。,"Since April 2004, Danish charter flights from Europe have been arriving in St. Croix."
36,遛狗，有问题吗?,I'm taking the dog for a walk. What's the problem?
37,那是你的螺旋槳 你還能贏得比賽,"Wait, that's your propeller. You could still win the race."
38,将根据这一请求印发一份会议室文件，载列实施计划并提供自协定签署以来的最新情况。,"In compliance with that request, a conference room paper will be issued containing the implementation plan and providing updated information on developments since the signing of the agreement."
39,无论是什么挑衅导致了齐达内的行为（可能是种族言论），他的暴力行为被全世界所看到，玷污了他的形象。这一难过的矛盾是，尽管世界都在了解和敬仰他作为一个人的传奇般的善良，现在，它将由于一次侵犯行为而令人永志难忘。,"Whatever the provocation that led to Zidane’s behavior (probably a racial comment), his violent act, seen around the world, has tarnished his image. The sad paradox is that while the world had been learning of and celebrating his legendary kindness as a person, he will now be distinguished for all time by an act of aggression."
40,最后，我们不能使依法渴望自决的人失望。,"Lastly, we cannot disappoint those who aspire to self-determination if they have the law on their side."
41,已登记的伙伴关系正在拟订的管理工具包括最佳做法汇编、案例研究和持续承受能力指标的制定。,"Management tools being developed by the registered partnerships included compilations of best practices, case studies and development of sustainability indicators."
42,特别委员会决定接受这些请求。,The Special Committee decided to accede to those requests.
43,由于几个原因，风险资本更合适。 第一，风险资本资金提供的是灵活的长期产权资本，它是根据每个企业的独特需要确定的。,"Venture capital is more appropriate for several reasons. First, venture capital funds provide flexible, long-term equity capital which is customized according to the unique needs of each enterprise."
44,这些地区仍然处在人道主义紧急状态之中。,These areas continue to be in a state of humanitarian emergency.
45,5. 秘书处对索赔作了初步评估，以确定是否符合理事会在《规则》第14条中规定的格式要求。,The secretariat made a preliminary assessment of the claims in order to determine whether each claim met the formal requirements established by the Governing Council in article 14 of the Rules.
46,3. 委员会第六届常会所作决定的执行和进展情况,Implementation of and progress made on decisions taken at the sixth regular session of the Commission
47,其理由完全可能是，随着市场规模扩大，规模经济和协调经济使得生产制成品所需的中间部件和工序能够分离出来并委托给专业生产商。,"The explanation may well be that, as the extent of the market increases, economies of scale and of coordination allow the intermediate parts and processes required in the production of manufactured goods to be separated and entrusted to specialized producers."
48,让伴侣引导你的手 去刺激她最喜欢的地方是很有效的,(Man) It helps if you let your lover show you by guiding your hand how best she likes to be stimulated.
49,无论它们是以单方面、双边或多边形式采取的措施，它们都有助于创造一种有利于信心和信任的气候。,"They can contribute to creating a climate conducive to trust and confidence, whether they are taken unilaterally, bilaterally or multilaterally."
50,该委员会从提高妇女地位部获得的预算很少，但收到了世界银行、联合国儿童基金会和其他机构提供的资金。,"Its budget allocation from the Ministry was small, but it also received funding from the World Bank, the United Nations Children's Fund (UNICEF), and other bodies."
51,8.1 人权事务委员会根据当事各方依《任择议定书》第五条第1款规定提交的一切现有资料审议了来文。,"8.1 The Committee has considered this communication in the light of all the information made available to it by the parties, as required by article 5, paragraph 1, of the Optional Protocol."
52,41．在一个像联合国这样规模的组织中，监督是改进管理、防止欺诈和评估方案执行情况的一个重要手段。,"In an organization the size of the United Nations, oversight was a crucial tool for improving management, preventing fraud and evaluating programme delivery."
53,"若她意愿,还可安排见面...","And then if she's into it, we can have like... a meeting."
54,嗨，服務員，再來兩杯,"Hey, sir! Two more please!"
55,56. 谅解备忘录和服务级协议有一大好处：既可巩固供应者组织之间的合作，又可使之更具可预测性。,An important benefit of memorandums of understanding and service level agreements is that they can consolidate and make cooperation with supplier organizations more predictable.
56,土著人民人权和基本自由情况特别报告员自从编写并向人权委员会提交了首次年度报告以来，正式访问了危地马拉(2002年9月)和菲律宾(2002年12月)，考察了土著的人权状况。,"Since the preparation of his first annual report to the Commission on Human Rights, the Special Rapporteur on the situation of human rights and fundamental freedoms of indigenous people has carried out two official country missions to Guatemala (September 2002) and the Philippines (December 2002) to observe the human rights situation of indigenous peoples."
57,39. 在同一天举行的第61次会议上，美利坚合众国代表口头提议修正决定草案，在原第3段后面新增加一段，并修改第9段。,"At the 61st meeting, on the same day, the representative of the United States of America orally proposed to amend the draft decision by adding a new paragraph after the current paragraph 3 and by modifying paragraph 9."
58,1964. 调查团认为，在当前形势下，几乎不可能通过以色列更不用说加沙的内部机构追究严重违反国际人道主义法和人权法的责任。,"The Mission believes that, in the circumstances, there is little potential for accountability for serious violations of international humanitarian and human rights law through domestic institutions in Israel and even less in Gaza."
59,-以后再说。,- Talk to you guys later.
60,85. 新总理的任命可以为海地提供一个向前迈进的新机会。,"Within Haiti, the appointment of a new Prime Minister could offer a fresh opportunity to move forward."
61,的确，在国家进入城市化和教育普及的快速发展时代之后，大家庭也在向小家庭转变。,"Indeed, there has been a transformation from the extended family to the nuclear family in the wake of the country's entry into a phase of rapid urbanization and the spread of education."
62,化管大会同意成立一个全权证书事项委员会来审查与会代表的全权证书。,The Conference agreed to establish a credentials committee to examine the credentials of Conference representatives.
63,你干的很好，卡米拉,"Good work, Carmela."
64,同时成功实施了内部和外部改革，导致司法活动明显增加，一个相当重要的原因是新增九名审案法庭。,"Both internal and external reforms have been successfully implemented, leading to a remarkable increase in its judicial activity, thanks not in the least to the additional nine ad litem judges."
65,琌ぃ琌gay闽иぐ或ㄆ摆,It's none of my business if he's gay or not
66,在300多万索马里人急需援助的情况下，提供人道主义援助应当继续作为整个国际社会的优先事项。,"In a situation in which more than 3 million Somalis are in dire need of assistance, humanitarian access should continue to be a priority for the international community as a whole."
67,12 同上，第一节；又见A/Conf.164/37。,"12 Ibid., sect. I; see also A/CONF.164/37."
68,我们欢迎指定迈克·史密斯大使为新任执行主任，他将担负重大责任，处理反恐怖主义委员会执行局（反恐执行局）任务规定中的许多工作。,"We hail the designation of the new Executive Director, Ambassador Mike Smith, who will bear the huge responsibility deriving from the many tasks of the Counter-Terrorism Committee Executive Directorate (CTED) mandate."
69,女孩举报了性骚扰或强奸事件。,Girls reported sexual harassment or incidents of rape.
70,奎恩先生，哟呵,"Mr. Quinn, yoo-hoo."
71,第三世界研究所,Third World Institute
72,将在外地特派团后勤系统数据库里必不可少的数据从持有生产数据的中心服务机下载进数据仓库。,The requisite data in the field mission logistics system databases is downloaded into a data warehouse from the hub-servers containing the production data.
73,受害者的大多数是无辜和手无寸铁的妇女与儿童。,The majority of victims have been innocent and defenceless women and children.
74,c) 难民署+伙伴捐款-,Posts funded under the Regular Budget are presented in Table II.8.
75,26. 长期存在的问题和目前计划期间查明的日后挑战将继续存在并在今后四年期间与联合国有关。,The persistent problems and challenges of the future identified in the current plan period will continue to be both valid and relevant to the Organization over the next four-year period.
76,集团欢迎原子能机构努力协助那些在自愿的基础上主动采取步骤尽量减少民用核设施高浓缩铀用量的国家。,"The group welcomes the efforts of the IAEA to assist countries which, on a voluntary basis, have chosen to take steps to minimise the use of HEU in civilian nuclear applications."
77,- 我想我只是在做梦而已吧！,Unbelievable!
78,你丈夫说的... 要是哥伦布没发现美洲，我们现在就都是印第安人了,"And what your husband said... if Columbus had done it, we'd all be Indians."
79,5. 宣传有关基金的情况,Dissemination of information about the Fund
80,安理会还通过了第1402（2002）号决议，要求立即停止暴力，并要求实行有意义的停火，以及以色列军队撤出巴勒斯坦城镇。,"The Council has also adopted resolution 1402 (2002), demanding the immediate cessation of violence and calling for the implementation of a meaningful ceasefire and the withdrawal of Israeli troops from Palestinian cities."
81,这些网络主要利用家庭调查数据。,The networks use primarily household survey data.
82,我们用光环来绑架大脑的杏仁体,How about we scare the shit out of them?
83,6. 关于2008-2012年哈萨克斯坦自愿数量承诺的信息。,Information on voluntary quantitative commitments for Kazakhstan for the period of 2008-2012.
84,4. 关于民间组织的作用，据认为与贸发会议发生相互作用具有极大的价值，要求在贸发会议工作中更多地让民间组织参与，特别是在实质性的讨论中。,"With regard to the role of civil society, interaction with UNCTAD was considered of great value, and deeper involvement in its work was requested, particularly in substantive discussions."
85,二、选定指标衡量方法述评 6,It provides an overview of the selected core social and economic indicators and then details the methodology for compiling and reporting these indicators.
86,"- 什么有""E",- Is what with an...
87,参议院怎能接纳 一位毫无经验的成员... 一位不能自欺欺人... 没能力指导他人的成员？,"What would the Senate do with me, an inexperienced legislator who lacks self-deception, which is essential when seeking to guide others?"
88,关于科索沃特派团，欧洲人权法院指出，该特派团是“按照《宪章》第七章成立的一个联合国附属机构，因此，被质疑的不行为按同样含义在原则上`可归于'联合国”。,"With regard to UNMIK, the Court stated that it was “a subsidiary organ of the UN created under Chapter VII of the Charter so that the impugned inaction was, in principle, `attributable' to the UN in the same sense”."
89,评估采用的方法包括：案头审查；考察项目点；重点小组讨论；与儿童、教师及其他关键知情者进行面谈。,"Evaluation methodologies included desk reviews; observations at project sites; focus group discussions; and interviews with children, teachers and other key informants."
90,有了共同的费用结构以后，港口用户在本区域所有港口碰到的计费手续将是同样的或至少是类似的，这对于在几家港口作停靠的航运公司特别有用。,"With a common tariff structure, port users will experience common or at least similar billing procedures from all ports within the region, which may be particularly useful for shipping lines calling at several ports."
91,非政治性和非宗教的本组织在北美、加勒比、南美、欧洲国家以及澳大利亚等23个国家开展活动。,"The non-political and non-religious organization has activities in 23 countries in North America, the Caribbean, South America, Europe and Australia."
92,"几乎所有做出答复的国家都认为,中期战略计划的设计方式有助于使人们更清楚地看到儿童基金会在支持各国发展方面的作用以及相对其它伙伴而言发挥的作用。",Almost all respondents felt that the design of the MTSP helped bring greater clarity to the roles that UNICEF plays in support of national development and in relation to other partners.
93,例如，没有一个可以探讨关于国际组织责任的实质性规则的机构论坛。,"For example, there was no institutional forum at which substantive rules on the responsibility of international organizations could be addressed."
94,自由化可以安全而按步就班地随着国内金融系统能力的增加来逐步进行，并且必须没有严重的宏观经济失衡的情况，金融机构有充裕的资金，并且具备有效的周密监督制度。,"Liberalization can safely proceed only gradually in pace with the capacity of the domestic financial system and when there is no serious macroeconomic disequilibrium, financial institutions are solvent, and an effective system of prudential supervision is in place."
95,因此，可能需有更合适的管制手段，充分确认宏观经济周期与金融机构承担风险之间的密切关联。,"Here, there may be a need for more appropriate regulatory instruments that fully recognize the close connection between macroeconomic cycles and risk-taking by financial institutions."
96,表 A3.1.1 物理危险的危险说明代码,Table A3.1.1 Hazard statement codes for physical hazards
97,- 我们今晚呆在这.,-We stay here tonight.
98,他特别提请注意序言部分第二、三、四、六和九段以及执行部分第2、3、4、9和10段。,"He drew particular attention to the second, third, fourth, sixth and ninth preambular paragraphs, and to paragraphs 2, 3, 4, 9 and 10."
99,（a）项规定涉及到违反双边关系中的某项义务，例如某一双边条约或建立一系列双边关系的某项多边条约所规定的义务。,"Subparagraph (a) concerned the breach of an obligation in a bilateral relationship, for example under a bilateral treaty or a multilateral treaty creating a bundle of bilateral relations."
100,“声援日是悼念日，是悲痛日。,“This Day of Solidarity is a day of mourning and a day of grief.
101,-尝起来像什么,Red pepper.
102,(d) 冻结在本国境内被第1737（2006）号决议附件指认的人或实体，以及安全理事会或委员会指认的其他从事、直接参加或支持伊朗扩散敏感核活动的人或实体所拥有或控制的资金、其他金融资产和经济资源；,"(d) It freezes the funds, other financial assets and economic resources which are on its territories that are owned or controlled by the persons or entities designated in the annex to resolution 1737 (2006), as well as those of additional persons or entities designated by the Security Council or by the Committee as being engaged in, directly associated with or providing support for Iran's proliferation sensitive nuclear activities;"
103,委员会成员商定，今天会议内容还包括我对各会员国实施第1267（1999）、1333（2000）和1390（2002）号各项决议规定的安理会有关措施的情况的第一次的详细口头评估。,"As agreed by the members of the Committee, today's meeting will also include my first detailed oral assessment of Member States' implementation of the relevant Council measures imposed by resolutions 1267 (1999), 1333 (2000) and 1390 (2002)."
104,它的成功将由其在实地的影响及其能否使联合国与非盟的高效合作成为可能来衡量。,Its success will be measured by its impact on the ground and by its ability to make efficient cooperation possible between the United Nations and the AU.
105,在这方面，必须确保各国政府持续承诺起诉这种罪恶行为的肇事者，而且还要确保当地社区参与规划联合国的活动。,"In this regard, it is critical to ensure the continued commitment of Governments to prosecuting perpetrators of these heinous acts, but also to ensure that local communities are involved in the planning of United Nations activities."
106,'一旦某天意识到无法成功你会怎么做?,What do you do one day when you realise you can't succeed?
107,10 《圣托马斯岛资料来源》，2002年7月20日。,"10 St. Thomas Source, 20 July 2002."
108,- 但是你不能停止寻找，为什么?,- But you couldn't help looking. Why?
109,10.3 各种服务的获取途径,10.3 Access to Services
110,任何重建方案的成功取决于获得资金。,The success of any reconstruction programme depends on getting funds.
111,那我可比自己想的厉害多了 I'm even better than I think I am.,I'm even better than I think I am.
112,在2004年的选举中，在18名候选人中提名了5名妇女。,"For the 2004 election, they nominated 5 women among 18 candidates."
113,作为主要的资料来源，她向我提到了西奥多·罗斯福总统的一组信件：共有七卷，刚刚发表，有许多关于那一问题的有意义的资料。,"It was seven volumes, which had just been published, and there was a lot of interesting material relevant to that subject."
114,回顾其1960年12月14日第1514(XV)号决议，其中载有《给予殖民地国家和人民独立宣言》，并回顾联合国有关这些领土的所有决议和决定，其中特别包括大会第五十四届会议就本决议所涉个别领土通过的决议，,"Recalling its resolution 1514 (XV) of 14 December 1960, containing the Declaration on the Granting of Independence to Colonial Countries and Peoples, and all resolutions and decisions of the United Nations relating to those Territories, including, in particular, the resolutions adopted by the General Assembly at its fifty-fourth session on the individual Territories covered by the present resolution,"
115,放开我，回去吧,Leave me alone! Go home!
116,You don't know what happens.,-May I talk? -You've put my life at the stake my friend's lives as well.
117,有没有猪血糕？,Any blood tofu?
118,Ti Re Mi Re Ti La Ti Re Fa Fa La Ti Do.,Ti Re Mi Re Ti La Ti Re Fa Fa La Ti Do.
119,巴拉圭代表拉丁美洲和加勒比组,Paraguay for the Latin American and
120,2. 安全理事会第1704（2006）号决议第4段批准东帝汶综合团的授权，规定了广泛的任务，包括向政府和有关机构提供支助，以巩固稳定，加强民主施政的文化；协助东帝汶各利益攸关方进行政治对话，在2007年总统选举和议会选举的所有方面向东帝汶提供支助；支持国防军和国防部，支持东帝汶国家警察和内务部，包括恢复和维持东帝汶的公共安全和援助国家警察和内务部的培训、体制发展和加强工作；促进人权、正义与和解（包括针对妇女和儿童），并通过完成对1999年东帝汶严重侵犯人权行为尚未结案案件的调查这样做；支持体制能力建设、治理和发展；人道主义支助；支持促进两性平等和增强妇女能力；与联合国各机构、基金和方案及所有有关合作伙伴，包括国际金融机构和捐助者，对冲突后建设和平与能力建设的双边和多边援助开展合作和协调；向东帝汶人民提供客观和准确的信息，特别是关于即将举行的2007年选举的信息，同时增进他们对东帝汶综合团工作的了解，协助地方媒体建立能力；协同国际安全部队，确保联合国人员和有关人员的安全和行动自由，保护联合国人员、设施、装置和设备和人道主义资产。,"In paragraph 4 of its resolution 1704 (2006), the Security Council approved the mandate of UNMIT, setting out a broad range of tasks related to support for the Government of Timor-Leste and relevant institutions in consolidating stability, enhancing a culture of democratic governance and facilitating political dialogue among Timorese stakeholders; support for Timor-Leste in all aspects of the 2007 presidential and parliamentary electoral process; support to the national armed forces and the Ministry of Defence; support to the Timorese national police (PNLT) and the Ministry of Interior, including in the restoration and maintenance of public security in Timor-Leste and assistance in the training, institutional development and strengthening of PNTL and the Ministry of Interior; the promotion of human rights, justice and reconciliation, including for women and children, and through the completion of investigations into outstanding serious human rights violations committed in the country in 1999; support in institutional capacity-building, governance and development; humanitarian support; support in the promotion of gender equality and the empowerment of women; cooperation and coordination with United Nations agencies, funds and programmes and relevant partners, including the international financial institutions and donors, of bilateral and multilateral assistance to Timor-Leste in post-conflict peacebuilding and capacity-building; the provision of objective and accurate information to the Timorese people, in particular, on the forthcoming 2007 elections, and UNMIT activities, as well as assistance in building local media capacity; ensuring, in coordination with the international security forces, the security and freedom of movement of United Nations and associated personnel, and the protection of United Nations personnel, facilities, installations and equipment and humanitarian assets."
121,尽管彻底取消否决权看来是一个遥远或不现实的目标，我们没有放弃认真考虑临时模式，例如，把否决权的使用限制于第七章事项，并且在这种情况下，排除种族灭绝或危害人类罪行的案例。,"Although the total elimination of the veto seems a far-off or unrealistic goal, we have not given up on seriously considering interim formulas, for example, restricting the use of the veto to Chapter-VII issues and, in such instances, excluding cases of genocide or crimes against humanity."
122,那就是你为什么来这的原因吧？,lsn't that why you came here?
123,看来下面还有更多行动,And it looks like there's some more action now.
124,49. 当然，说起来容易做起来难。,Of course that was easier said than done.
125,(m)1.16 “不可转让运输单证”系指不符合可转让运输单证条件的运输单证。,(m)1.16 “Non-negotiable transport document” means a transport document that does not qualify as a negotiable transport document.
126,1347. 在青少年健康方面，令委员会关注的是，十几岁女孩怀孕率居高不下且仍在上升，从而使得18岁以下女孩堕胎，特别是非法堕胎的比率极高；性病比率上升，艾滋病毒更加扩散。,"The Committee recommends that the State party increase its efforts in promoting adolescent health policies and counselling services, as well as strengthening reproductive health education, including the promotion of male acceptance of the use of contraceptives."
127,该频率管理计划还将确定在406兆赫频带使用的新频道。,The frequency management plan will also identify new channels for use in the 406 MHz band.
128,于2005年11月14日举行会议，,"Meeting on 14 November 2005,"
129,他们才知道谁是老板。,They got to know who's boss.
130,㈤ 《关于防止和惩处侵害应受国际保护人员的罪行的公约》；,"Brazil is party to a number of treaties and conventions against terrorism in the context of the United Nations and of the Organization of American States, such as"
131,防止歧视及保护少数小组委员会根据理事会第1503 (XLVIII)号决议提交委员会处理的特殊情况系于1974年首次向委员会第三十届会议提出。,Particular situations referred to the Commission by the Sub-Commission on Prevention of Discrimination and Protection of Minorities (now the Sub-Commission on the Promotion and Protection of Human Rights) under Council resolution 1503 (XLVIII) were placed before the Commission for the first time at its thirtieth session in 1974.
132,你拿奖学金从奥勒冈来博德,You're on scholarship from Oregon... at Baird.
133,关于并入地区的省份的法律草案，地区委员会正在探讨如何加快该法的三读工作。,"With respect to the draft Law on Governorates not organized into a region, the Regions Committee is exploring steps to expedite the third reading of the legislation."
134,我的朋友上班的时候看到了，我的妹妹也看到了,"My friends at work found it, my sister found it."
135,那就别打破它 随它去吧,Don't break him down. Just let him be.
136,"914. National称它重新履行了结关手续因此要求赔偿1991年1月10日至8月23日由海关当局征收的费用9,875伊拉克第纳尔(31,688美元)。","National stated that it renewed its customs clearances and accordingly seeks compensation for charges levied by the customs authorities for these clearances, in the amount of IQD 9,875 (USD 31,688), for the period between 10 January and 23 August 1991."
137,因此，成员们得出结论，非常应该将该办法同现行的参照点脱钩，并研究其他办法，在不减少工作人员福利的条件下修订各项津贴。,"The members therefore concluded that it would be highly desirable to delink the scheme from the current reference point and to examine other approaches to updating the allowances, without eroding staff benefits in the process."
138,最受欢迎的还是在旭哥啊,The most popular is still Jae Uk oppa.
139,然后将面包带回家,Take the bread. Take it home.
140,C. 人权原则的重要性,C. Relevance of human rights principles
141,与非政府组织的协作将大大促进千年发展目标的落实，尤其是在人道主义领域，在消灭贫穷以及在教育方面——概括地说，就是在为所有人提供基本社会服务方面。,"Partnership with NGOs will considerably facilitate the implementation of the Millennium Development Goals, particularly in the humanitarian areas, in combating poverty and in education — in a nutshell, in providing access for all to basic social services."
142,自2004年5月25日以来，又有8名个人和6个实体列入委员会清单。,Eight new individuals and six new entities have been placed on the Committee's List since 25 May 2004.
143,他可能是肚子饿了 想要吃点东西,Maybe he's hungry and needs something to eat.
144,明日 ， 我只带一把刀 单人匹马宰了他,Tomorrow I'll take a sword with me and kill him myself.
145,巴基斯坦人口为1.5345亿。,Pakistan has a population of 153.45 million.
146,硂琌ㄆ龟ぃ琌иㄠ 常ぃ琌,It's the truth. You're not my son. You never have been.
147,21. 委员会请外层空间事务厅向联合国系统各组织以及在委员会具有观察员地位的政府间组织和非政府组织通报为成立行动小组所完成的工作和所取得的进展。,The Committee requested the Office for Outer Space Affairs to inform the organizations of the United Nations system and intergovernmental and non-governmental organizations with observer status with the Committee of the work accomplished and the progress made in the establishment of action teams.
148,173. 在2007年9月21日第12次会议上，根据理事会2006年6月18日第5/1号决议附件第一部分C节第7段，理事会商定了根据普遍定期审议机制对192个联合国会员国进行第一轮审议的时间表。,"At the 12th meeting, on 21 September 2007, in accordance with part I, section C, paragraph 7, of the annex of Council resolution 5/1 of 18 June 2006, the Council agreed on a timetable for the consideration of the 192 Member States of the United Nations under the universal periodic review mechanism during its first cycle."
149,5. 技术转让与合作,Technology transfer and cooperation
150,什么威士忌?,What whisky?
