src,true_meaning,literal_translation
हाथ थामना,to support someone,to hold the hand
हाथ पसारना,to beg or plead,to spread the hand (for alms)
हाथ काटना,to separate or break relation,to cut the hand
हाथ मोड़ना,to refuse or reject something,to twist the hand
पैर पसारना,to spend or expand beyond means,to spread the feet
पैर जमाना,to settle firmly,to set the feet firm
पैर पकड़ना,to beg for forgiveness,to hold the feet
पैर तले ज़मीन खिसकना,to be shocked or lose ground,for the ground to slip from under the feet
पैर पर कुल्हाड़ी मारना,to harm oneself by one’s own actions,to strike an axe on one’s foot
पैर पीछे खींचना,to withdraw from commitment,to pull the feet back
पैर फैलाना,to extend scope gradually,to spread the feet
पैर रोकना,to restrain or hesitate,to stop the feet
पैर रखना,to begin something new,to place a foot
पैर उठाना,to show disrespect or overconfidence,to lift the foot
मुँह बनाना,to show annoyance or sadness,to make a face
मुँह खोलना,to start speaking up,to open the mouth
मुँह लटकाना,to look disappointed,to hang the face
मुँह की खाना,to suffer humiliation,to eat of the mouth
मुँह मोड़ना,to turn away or refuse help,to turn the face away
मुँह दिखाना,to appear shamelessly after wrongdoing,to show the face
मुँह में राम बगल में छुरी,to be deceitful in nature,"Ram in the mouth, knife in the armpit"
मुँह माँगी मुराद मिलना,to get exactly what one wanted,to get the wish asked by mouth
मुँह बंद रखना,to stay silent,to keep the mouth closed
मुँह खुलवाना,to make someone speak,to make (someone) open the mouth
मुँह चुराना,to avoid facing someone,to hide/steal the face (avoid)
मुँह तोड़ जवाब देना,to give a fitting reply,to give a mouth-breaking reply
मुँह में घी शक्कर,used to bless or hope for good news,ghee and sugar in the mouth
मुँह लगना,to act too familiar with elders,to get attached to the mouth
मुँह में जुबान न होना,to be timid or unable to speak up,to not have a tongue in the mouth
मुँह से बात निकलना,to accidentally reveal something,for the words to come out of the mouth
हिम्मत हारना,to lose courage,to lose courage
हिम्मत रखना,to stay strong and confident,to keep courage
हिम्मत बाँधना,to encourage oneself,to tie/bind courage
हिम्मत जुटाना,to gather courage,to gather courage
हिम्मत टूटना,to become hopeless,for courage to break
हिम्मत दिखाना,to show bravery,to show courage
हिम्मत बढ़ाना,to motivate or encourage someone,to increase courage
जुबान चलाना,to talk disrespectfully,to run the tongue
जुबान फिसलना,to say something by mistake,for the tongue to slip
जुबान देना,to make a promise,to give one’s tongue (word)
जुबान रखना,to keep one’s word,to keep one’s tongue (word)
जुबान काटना,to regret saying something,to cut/bite the tongue
जुबान पकड़ना,to hold someone to their words,to catch/hold the tongue
जुबान पर काबू रखना,to control speech,to keep control on the tongue
जुबान लगना,to get into an argument,to get on the tongue
जुबान बंद रखना,to stay silent intentionally,to keep the tongue shut
दाँत पीसना,to show silent anger,to grind the teeth
दाँत दिखाना,to laugh unnecessarily,to show the teeth
दाँत गिनाना,to mock or insult someone,to count the teeth
दाँत काटी रोटी,to have a close friendship,tooth-bitten bread
दाँत टूट जाना,to be defeated or embarrassed,for the teeth to break
पसीना बहाना,to work hard,to make sweat flow
पसीना छुड़ाना,to frighten or exhaust,to make someone break into sweat
पसीना निकलना,to feel nervous or hot,for sweat to come out
पसीना-पसीना होना,to be drenched in sweat (from work or fear),to become sweat-sweat (drenched)
खून पसीना एक करना,to work tirelessly,to make blood and sweat one
खून खौलना,to feel extreme anger,for the blood to boil
खून जलाना,to waste emotional energy,to burn blood
खून चूसना,to exploit someone harshly,to suck blood
खून में उबाल आना,to be fired up with passion,for the blood to come to a boil
खून पसीने की कमाई,hard-earned money,earnings of blood and sweat
खून सफेद होना,to become heartless or selfish,for the blood to become white
खून चढ़ना,to feel energetic or brave,for the blood to rise
खून उतरना,to lose courage suddenly,for the blood to descend
पसीने छूटना,to panic under pressure,for sweats to break out
खून जम जाना,to be terrified,for the blood to freeze/clot
खून देना,to sacrifice selflessly,to give blood
खून का रिश्ता,blood relation,a relation of blood
खून बहाना,to fight fiercely,to make blood flow
खून खराबा होना,to result in violence or bloodshed,for bloodshed/ruin to happen
दिल थाम लेना,to feel suspense or fear,to hold the heart
दिल लगा लेना,to fall in love deeply,to set/attach the heart
दिल में आग लगना,to feel jealousy or anger,for fire to ignite in the heart
दिल दहल जाना,to be terrified,for the heart to shudder
दिल धकधक करना,to feel nervous or anxious,for the heart to throb ‘dhak-dhak’
दिल में उतरना,to become likable or close to heart,to descend into the heart
दिल में ठंडक पड़ना,to feel relief or satisfaction,for coolness to fall in the heart
दिल को छू जाना,to touch emotionally,to go and touch the heart
दिल जीत लेना,to win affection,to win the heart
दिल में कसक रह जाना,to feel unfulfilled desire or regret,for a pang to remain in the heart
दिल का चैन खोना,to lose peace due to love or worry,to lose the heart’s peace
दिल बहल जाना,to feel consoled,for the heart to be consoled/amused
दिल कड़ा करना,to act firmly despite emotions,to make the heart hard
दिल बैठ जाना,to lose hope or courage,for the heart to sit/sink
दिल बदलना,to change one’s opinion or feelings,to change the heart
"साँप निकल गया, लकीर पीटते रह गए",to act after the damage is already done,the snake went out; (they) kept beating the line
साँप सूँघ जाना,to become completely silent out of fear,for a snake to sniff (one)
साँप और नेवले की लड़ाई,a fight between sworn enemies,a snake-and-mongoose fight
साँप के मुँह में छछूंदर,to be stuck in an impossible situation,a shrew in the snake’s mouth
साँप को दूध पिलाना,to favor someone who will harm you later,to feed milk to a snake
साँप की केंचुली बदलना,to change completely in nature or appearance,for a snake to change its slough/skin
साँप भी मर जाए और लाठी भी न टूटे,to solve a problem smartly without harm to anyone,the snake die too and the stick not break
साँप का बच्चा,a dangerous or deceitful person,a snake’s offspring
साँप के बिल में हाथ डालना,to invite trouble knowingly,to put a hand into a snake’s burrow
साँप निकलते ही लकीर पीटना,to regret after losing the opportunity,to beat the line once the snake has left
शेर की सवारी करना,to take a dangerous or risky decision,to ride a lion
शेर बनना,to act bravely or arrogantly,to become a lion
शेर का दिल रखना,to be very courageous,to keep/have a lion’s heart
शेर के मुँह में हाथ डालना,to challenge danger directly,to put a hand in a lion’s mouth
शेर की तरह गरजना,to speak fearlessly or loudly,to roar like a lion
शेर का शिकार करना,to achieve a big or risky goal,to hunt a lion
लोमड़ी की तरह चालाक,to be extremely cunning,cunning like a fox
कुत्ते की तरह भौंकना,to shout without reason,to bark like a dog
कुत्ते की मौत मरना,to die miserably or without dignity,to die a dog’s death
कुत्ते की पूँछ टेढ़ी की टेढ़ी,bad habits never change,a dog’s tail—crooked remains crooked
कुत्ते के भौंकने से हाथी नहीं रुकता,great people ignore petty criticism,by a dog’s barking the elephant doesn’t stop
कुत्ते की दुम टेढ़ी की टेढ़ी,incorrigible by nature,a dog’s tail—crooked-crooked
कुत्ते की तरह पीछे पड़ना,to chase someone relentlessly,to get after (someone) like a dog
बंदर क्या जाने अदरक का स्वाद,the unworthy cannot appreciate value,what would a monkey know of ginger’s taste
बंदर के हाथ में उस्तरा,a dangerous thing in foolish hands,a razor in a monkey’s hand
बंदर नाच देखना,to enjoy entertainment or drama,to watch a monkey dance
बंदर घुड़की देना,to make empty threats,to give a monkey-like browbeating
बंदर के हाथ नारियल,valuable thing with an undeserving person,a coconut in a monkey’s hand
बिल्ली के गले में घंटी बाँधना,to take initiative in a dangerous task,to tie a bell on the cat’s neck
बिल्ली की तरह मुँह बनाना,to act innocent after wrongdoing,to make a face like a cat
बिल्ली की तरह चुप रहना,to remain silent out of guilt or fear,to stay quiet like a cat
बिल्ली के भाग्य से छींका टूटा,to get something valuable by pure luck,by the cat’s fortune the hanging rack broke
चूहे बिल्ली का खेल,a game of chase and evasion,a cat-and-mouse game
चूहे दौड़ना,to feel hungry,mice to run (about)
गधे के सिर से सींग गायब,something missing without a trace,horns gone from the donkey’s head
गधे पर बैठकर शेर की बात करना,to act proud without reason,to sit on a donkey and talk of a lion
गधे को घोड़ा बनाना,to exaggerate someone’s abilities,to make a donkey into a horse
गधे को फूलों की माला पहनाना,to honor an undeserving person,to put a garland of flowers on a donkey
गधे के कान में बांसुरी,to waste effort on someone ignorant,a flute in a donkey’s ear
गाय का दूध पीना,to live peacefully and simply,to drink the cow’s milk
गाय बनना,to act innocent or submissive,to become a cow
गाय के आगे बीन बजाना,to explain something to someone who won’t understand,to play a reed-pipe before a cow
ऊँट के मुँह में जीरा,too little for a large need,cumin in a camel’s mouth
ऊँट पहाड़ के नीचे,to meet one’s superior or defeat,camel beneath the mountain
ऊँट के मुँह में खजूर,tiny reward for great effort,a date in a camel’s mouth
ऊँट की चाल चलना,to act steadily but slowly,to walk with the camel’s gait
ऊँट रेत में सिर छिपाना,to ignore reality or hide from truth,for the camel to hide its head in sand
घोड़े बेचकर सोना,to sleep peacefully without worry,to sleep having sold the horses
घोड़े पर सवार होना,to be in a hurry or overexcited,to be mounted on a horse
घोड़े का नाल पहनना,to try something superstitious for luck,to wear a horse’s horseshoe
घोड़े की लगाम कसना,to tighten control,to tighten the horse’s reins
घोड़े दौड़ाना,to act hastily without thinking,to run the horses
मछली पानी से बाहर,to feel uncomfortable in a strange place,fish out of water
मछली हाथ से निकलना,to miss an opportunity,for the fish to slip from the hand
मछली पकड़ना,to manipulate a situation for gain,to catch fish
मछली मरना,to face downfall silently,for a fish to die
मगरमच्छ के आँसू,false show of sympathy,crocodile’s tears
मगरमच्छ बनना,to act powerful or arrogant falsely,to become a crocodile
मगरमच्छ का शिकार करना,to take on a huge challenge,to hunt a crocodile
सांड बनना,to act angrily or uncontrollably,to become a bull
सांड को लाल कपड़ा दिखाना,to provoke someone deliberately,to show a red cloth to a bull
सांड की तरह दौड़ना,to rush without thinking,to run like a bull
सांड की तरह जिद्दी,to be very stubborn,stubborn like a bull
सांड की तरह ताकतवर,to be physically strong,strong like a bull
तेल देखो तेल की धार,to wait and watch patiently,look at the oil—the stream of the oil
तेल लगाना,to flatter or please for benefit,to apply oil
तेल निकलना,to get exhausted completely,for oil to come out
तेल पानी एक होना,to be completely incompatible,for oil and water to be one
तेल जलाना,to work hard late into the night,to burn oil
धन पानी की तरह बहाना,to waste money lavishly,to let wealth flow like water
धन दौलत इकट्ठी करना,to accumulate wealth,to gather wealth and riches
धन का घमंड होना,to be arrogant about wealth,to have pride of wealth
धन के पीछे भागना,to be greedy for money,to run after wealth
धन का नशा चढ़ना,to be blinded by riches,for the intoxication of wealth to rise
धन कमाना,to earn wealth,to earn wealth
धन की बरसात होना,to receive great fortune,for a rain of wealth to occur
धन को पानी समझना,to spend carelessly,to consider wealth as water
धन का दुरुपयोग करना,to misuse wealth,to misuse wealth
धन देना,to offer charity or contribution,to give wealth
नजर लगना,to be jinxed or affected by envy,for the (evil) eye to be cast
नजर उतारना,to remove the evil eye,to take off/ward off the eye
नजर बचाना,to avoid eye contact,to save oneself from the eye
नजर डालना,to glance or check,to cast a glance
नजर चुराना,to avoid someone intentionally,to steal/avoid the eye
नजर रखना,to keep watch on something,to keep an eye
नजर मिलाना,to look straight and confidently,to meet the eyes
नजर में आना,to get attention or recognition,to come into sight
नजर से गिरना,to lose respect in someone’s eyes,to fall from (someone’s) eyes
नजरों में बसना,to be deeply admired or loved,to dwell in (someone’s) eyes
मुँह की बात छीनना,to say what someone was about to say,to snatch the words from (someone’s) mouth
रूठा मन मनाना,to reconcile after disagreement,to coax the sulking mind/heart
मन बनना,to decide willingly,for the mind to be made
मन भरना,to lose interest or get satisfied,for the mind to fill/satiate
मन लगाना,to stay focused,to set the mind (on)
मन मारना,to suppress one’s desires,to kill/suppress the mind
मन में बैठना,to be convinced deeply,to sit in the mind
मन में बात रखना,to keep things inside,to keep the matter in the mind
मन बहलाना,to divert oneself pleasantly,to amuse/entertain the mind
मन से उतरना,to lose affection for someone,to come down from the heart/mind (lose favor)
मनमानी करना,to act selfishly or on one’s own terms,to do according to one’s own mind
दो नावों पर सवार होना,to try doing two opposite things at once,to ride on two boats
दूध का जला छाछ भी फूंककर पीता है,"once bitten, twice shy",one burned by milk even blows on buttermilk before drinking
"दूध का दूध, पानी का पानी करना",to reveal the truth or clarify everything,to make milk (be) milk and water (be) water
दूध में मक्खी की तरह,an unwanted person in a good place,like a fly in milk
दूध का कर्ज चुकाना,to repay parents' love and care,to repay the debt of milk
दूध में नीम का पत्ता,something that ruins a good thing,a neem leaf in milk
दूध का दूध अलग करना,to identify right and wrong clearly,to separate milk as milk
दूध की धार बनना,to prosper or flourish,to become a stream/jet of milk
दूध पीता बच्चा नहीं हूँ,I’m not naive anymore,I am not a milk-drinking child
दूध की नदियाँ बहाना,to dream of prosperity,to make rivers of milk flow
घर की मुर्गी दाल बराबर,to undervalue what one has,the chicken of the house equals lentils
घर फूँक तमाशा देखना,to risk everything for curiosity,to burn the house and watch the show
घर का भेदी लंका ढाए,an insider can cause great harm,the insider of the house topples Lanka
घर की बात बाहर निकलना,to leak private matters,the house’s talk to go outside
घर बसाना,to settle down or start a family,to set up/build a home
घर उजड़ना,to lose everything,the home to be ruined
घर में घुसकर मारना,to attack boldly,to enter the house and beat
घर का रास्ता भूल जाना,to wander aimlessly or forget priorities,to forget the way home
घर आँगन में झगड़ा,domestic disputes,a quarrel in the house courtyard
घर की लक्ष्मी,a woman considered the prosperity of a home,the house’s Lakshmi
आम के आम गुठलियों के दाम,double benefit from one effort,"mangoes as mangoes, pits for a price too"
आम रास्ता पकड़ना,to take the easy or common way,to take the common road
आम आदमी,a common man,common man
आमदनी अठन्नी खर्चा रुपैया,expenses exceeding income,"income half a rupee, expense a rupee"
"आम खाने वाले बनो, पेड़ मत गिनो",enjoy benefits without overanalyzing,"be mango-eaters, don’t count the trees"
आमदनी बढ़ाना,to increase income,to increase income
अंधे के हाथ बटेर लगना,to get lucky unexpectedly,a quail falling into a blind person’s hand
अंधा कानून,law that doesn’t see right and wrong,blind law
अंधेरे में तीर चलाना,to try without knowledge,to shoot an arrow in the dark
अंधे को अंधेरे में बहुत दूर की सूझी,to overestimate one’s own understanding,"to a blind person, in darkness, perceiving the far-off"
अंधे के हाथ में आइना,a useless thing in wrong hands,a mirror in a blind person’s hand
अंधों में काना राजा,to shine among the incompetent,"among the blind, the one-eyed is king"
काला अक्षर भैंस बराबर,to be illiterate or uneducated,black letters equal a buffalo
काला धन,black or illegal money,black money
काला मन,evil thoughts or intentions,black heart/mind
काले मन का इंसान,a person with bad heart,a person of a black heart
काली करतूत,bad or shameful deeds,black deeds
काली रात में दिया जलाना,to hope amidst despair,to light a lamp on a black night
काली कमाई,illegal earnings,black earnings
काली मिर्च लगाना,to exaggerate a story,to apply black pepper
काली नीयत,to have bad intentions,black intention
काला सच,an unpleasant hidden truth,black truth / dark truth
बीज बोना,to initiate an idea or event,to sow seed
बीज बोकर फल काटना,to reap what one sows,to sow seed and reap fruit
बीज से पेड़ बनना,to see progress from small beginnings,"from seed, a tree to become"
बीज बोकर काँटे काटना,to face consequences of one’s actions,to sow seeds and cut thorns
बीज बदलना,to change the foundation or cause,to change the seed
बीज नष्ट करना,to end something at its root,to destroy the seed
बीज जमना,to start taking effect,for the seed to set/germinate
बीज बोने वाला,one who starts a trend or cause,one who sows seed
बीज रोपना,to initiate growth or influence,to plant seed
बीज काटना,to destroy the base of something,to cut the seed
थाली का बैंगन,someone who changes sides easily,eggplant of the plate
थाली में नमक खाना,to benefit from someone’s kindness,to eat salt in (someone’s) plate
थाली में छींद लगाना,to betray the one who helped,to make a slit/hole in the plate
थाली बजाना,to protest or express excitement,to bang the plate
थाली का खाना,a share of resources or wealth,food of the plate
थाली में रखना,to serve something easily,to place in the plate
थाली पलटना,to go against one’s own,to flip the plate
थाली की रोटी बनना,to be part of a group or system,to become the plate’s roti
थाली चाटना,to exploit something completely,to lick the plate
थाली में परोसना,to give ready-made success,to serve on a plate
चिराग तले अंधेरा,to overlook what’s right before you,darkness beneath the lamp
चिराग जलना,to bring light or hope,the lamp to light
चिराग बुझना,to lose hope or family support,the lamp to go out
चिराग दिखाना,to guide or help someone,to show a lamp
चिराग लेकर ढूँढना,to search very carefully,to search carrying a lamp
चिराग तले छिपना,to hide in the most obvious place,to hide under the lamp
चिराग की तरह जलना,to sacrifice oneself for others,to burn like a lamp
चिराग घर का बुझना,to lose a loved one,the household’s lamp to go out
चिराग को हवा लगना,to face danger or crisis,for the lamp to catch wind
चिराग हाथ में होना,to have control or guidance,to have a lamp in hand
भेड़ चाल चलना,to follow others blindly,to walk the sheep’s gait
भेड़ बनना,to lack independent thought,to become a sheep
भेड़ की तरह भागना,to run after the crowd,to run like sheep
भेड़िया बनना,to be cruel or selfish,to become a wolf
भेड़ का रूप धारण करना,to appear innocent while being deceitful,to assume the form of a sheep
भेड़ की खाल में भेड़िया,a dangerous person pretending to be gentle,a wolf in sheep’s skin
भेड़ के पीछे भेड़,to imitate without thinking,sheep behind sheep
भेड़ की तरह झुंड में रहना,to depend on others’ lead,to live in a flock like sheep
भेड़ की तरह बोलना,to agree without question,to speak like sheep (bleat)
भेड़िया आया कहकर झूठ बोलना,to lie so often that no one believes you later,to say ‘the wolf has come’ and lie
ईमान बेचना,to sacrifice integrity for gain,to sell honesty/conscience
ईमान पर आँच आना,to face moral challenge,for heat/flame to come upon honesty
ईमानदार बनना,to act honestly,to become honest
ईमान का सौदा करना,to compromise ethics for money,to trade one’s honesty
ईमान की कमाई,honest earnings,earnings of honesty
ईमान दिखाना,to prove one’s honesty,to show honesty
ईमानदारी निभाना,to act truthfully and faithfully,to uphold honesty
ईमान का साथी,a trustworthy companion,companion/partner of honesty
ईमान से उतरना,to become dishonest,to step down from honesty
ईमान की परीक्षा देना,to face a test of character,to give a test of honesty
झूठ बोलना,to tell a lie,to speak a lie
झूठ पकड़ना,to catch a lie or liar,to catch a lie
झूठ की पोल खोलना,to expose deceit,to open the seams of a lie
झूठा बहाना बनाना,to make false excuses,to make a false excuse
झूठ बोलकर बचना,to lie and escape consequences,to escape by telling a lie
झूठ फैलाना,to spread lies,to spread lies
झूठ सच बनाना,to manipulate facts to appear true,to make a lie into truth
झूठ पर झूठ बोलना,to keep lying,to speak lie upon lie
झूठ से मुँह मोड़ना,to stay away from falsehood,to turn one’s face away from lies
झूठ पकड़ा जाना,to get caught lying,to be caught lying
एक तीर से दो निशाने,to achieve two goals with one action,"with one arrow, two targets"
नौ दो ग्यारह होना,to run away quickly,to become nine two eleven
खयाली पुलाव पकाना,to daydream unrealistic plans,to cook imaginary pulao
दाल में कुछ काला है,something is suspicious,there is something black in the lentils
दाल न गलना,a plan not working out,the lentils not cooking
जले पर नमक छिड़कना,to make someone’s pain worse,to sprinkle salt on a burn
सोने पर सुहागा,an added bonus to something good,suhaaga on top of gold
रामबाण उपाय,a sure-shot remedy,Rama’s-arrow remedy
आसमान से तारे तोड़ना,to promise or attempt the impossible,to pluck stars from the sky
सात समुंदर पार,very far away,across seven seas
अब पछताए होत क्या जब चिड़ियाँ चुग गई खेत,repenting after the damage is done,"what use repenting now, when birds have pecked the field"
हाथ कंगन को आरसी क्या,no proof needed for the obvious,what mirror for a bangle on the wrist
तिल का ताड़ बनाना,to exaggerate a small issue,to make a palm tree out of a sesame seed
ठोकर खाना,to stumble and learn from mistakes,to stumble/strike the toe
ठंडा बस्ता डालना,to shelve a matter indefinitely,to put into a cold bag
ठंडी साँस भरना,to sigh in sorrow,to heave a cold sigh
जी का जंजाल,a constant nuisance,a snare of the life/soul
जी जान से लगना,to put one’s heart and soul into it,to apply life and soul
पीठ पीछे वार करना,to backstab someone,to strike behind the back
पीठ थपथपाना,to praise or encourage,to pat the back
पीठ दिखाना,to run away from a challenge,to show the back
पत्ता साफ होना,to be removed or eliminated,for the leaf/card to be cleared
पत्ते खोलना,to reveal one’s plans,to open the cards
