src,true_meaning,literal_translation,predicted
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"पसीने-पसीने होना (Paseene-paseene hona) is an idiom that means to be persistent or determined in one's actions or efforts, while बार-बार उठाना (Baar-baar utana) is a literal translation of ""to be like a stick"" and means to be unchanging, unyielding, or rigid."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"The phrase ""having pain in the eye"" is a natural English idiomatic translation of the Hindi idiom ""सीने में दर्द होना."" It conveys the meaning that someone's words or actions can be so hurtful or offensive that it causes pain or discomfort to the listener."
सीने में जलन होना,to feel envy,to have burning in the chest,To have a fire in the eyes
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To lift up one's head in court
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"The idiom ""सीने पर बोझ होना बहुत अच्छा"" means that it's a good thing to have a sore on the forehead. This idiom is used to describe a situation where someone is experiencing a lot of pain or discomfort, but it's a good thing because it means they are getting the attention they need."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,Getting into trouble
रंग दिखाना,to reveal true colors,to show color,It's not difficult to show color.
रंगीन होना,to enjoy life freely,to become colorful,Change color to interrupt the sequence.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,To fall red.
रंग उड़ना,to fade away,for the color to fly/fade,"The phrase ""to change one's mood or attitude suddenly and dramatically"" is a natural and idiomatic way to express the meaning of ""रंग उड़ना"" in English."
रंग जमना,to gain traction,for color to set,The colors got mixed up.
रंग लगना,to start celebrating,to have color applied,"The idiom ""रंग लगना"" can be translated to ""to put on a show"" or ""to put on a performance"" in Hindi. It means to put on a show or perform a role, often in a theatrical or dramatic sense."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Avoid being everywhere at once.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Keep it terse and faithful to each component.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,"Keep it concise and faithful to each component, no commentary, just the literal gloss."
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are sour, but the disease is not."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,"The idiom ""अपनी डींगे हाँकना"" can be translated to English as ""To bark like a dog,"" which conveys the same meaning of stubbornly obstinate behavior."
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your head above water and stay afloat.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Don't let your anger speak.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To keep one's hand in the dark.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,Do not blame yourself for your mistakes.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Keep your own opinion and don't follow the trend.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,"The literal translation of the idiom ""अक्ल का पैमाना टूट जाना"" is ""To lose one's head."
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,"A native speaker would say: ""He's too proud to ask for help."
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To wear a tilak on the hands of the blind
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,The blindfolded don't get hurt.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,One cannot make a lamp out of darkness.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take advantage of someone's ignorance or lack of knowledge.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the eyes of the blind are not opened.
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,The dark bread has turned white.
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","He heard the name of the blind man, but didn't see with his own eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"अंधा क्या चाहे, दो आँखें बनाते हैं।"
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,"The idiom ""अंधेरे में रखा जाना"" can be translated to English as ""keep it in the dark"" or ""hide it away."
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To give the blind the opportunity to experience something new or exciting.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,"अंधे को रास्ता दिखाना means ""To show the way to the blind."
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark.
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be stuck in a rut or a bad situation.
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,"In the dark, looking for a needle in a haystack."
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,अंधे के हाथ में दीपक देना
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,To ride a blind chicken.
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into darkness
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The blind king's people are blind.
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,अंधे के भाग्य में चमक नहीं आता
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,To keep the blind from seeing the road.
अंधा प्रेम करना,to love without reason,to love blindly,To have blind love.
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,अंधे को हाथ का सहारा देना शब्द शैली के अनुसार अंधेरे को आपकी तलाश के लिए देना या उसे अपने लिए उपयोग करना है। यह शब्द शैली के अनुसार अंधेरे को आपकी तलाश के लिए देना या उसे अपने लिए उपयोग करना है। यह शब्द शैली के अनुसार अंधेरे को आपकी तलाश के लिए देना या उसे अपने लिए उपयोग करना है।
अंधे की लाठी,only source of dependence,a blind man’s staff,"The idiom ""अंधे की लाठी नहीं बारी की लाठी"" translates to ""not a stick for the blind, but a stick for the sighted"" in English. The idiom means that something is not suitable or appropriate for someone who is already knowledgeable or experienced, but rather for someone who is less experienced or less knowledgeable. It suggests that the advice or instruction given is not meant for the person who is already well-informed, but rather for someone who needs guidance or direction."
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,To keep the blind in the dream of light
अंधेरे में रहना,to be ignorant,to live/stay in darkness,To live in the dark
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,Searching for a road in the dark.
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,Hide in the dark
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,They don't leave the dark cave.
अंधे की किस्मत,blind luck / chance success,the blind man’s luck,Not the luck of the blind
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,To give hope to the hopeless.
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face","He heard the name of the blind man, but did not see his face."
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,बंद रहें।
अंधा गुस्सा करना,to get blindly angry,to do blind anger,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness,"The idiom ""अंधेरे में डूब जाना"" (Adhane mein dub jana) means ""to drown oneself in darkness"" or ""to lose oneself in obscurity."" It implies that someone is so immersed in their own thoughts or circumstances that they become completely unaware of their surroundings or the consequences of their actions."
अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate,अंधे के भाग्य में छेद नहीं करना.
अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens,"The idiom ""अंधे का भाग्य जागना"" means ""to suffer from bad luck."" It is an expression used to describe someone who is unlucky or has bad fortune."
अंधेरे में भटकना,to wander without direction,to wander in darkness,To be confused or disoriented in a dark place or situation.
अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result",Blind love leads to a blind result.
अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness,To search for a light in the dark.
अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand,To put a light on the hands of the blind.
अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way,The blind man also found the road.
अंधेरे से डरना,to fear ignorance or truth,to fear darkness,Fear from the darkness
अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person,Show the direct path to the blind.
अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark,To try to do something in a situation where it is not possible or feasible.
अंधेरे में ताकना,to look aimlessly,to gaze into the dark,Don't look for a needle in the dark.
अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person,To keep an eye on the blind.
अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path,To refuse to see the truth or reality is not necessary.
अंधेरे में खोज करना,to explore with uncertainty,to search in the dark,अंधेरे में खोज करना (searching for something in the dark)
अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants,Stealing the dark night's cloak.
अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person,"To show someone their true nature, you can give them a mirror."
अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness,To make use of the darkness.
अंधेरे में झांकना,to peep into the unknown,to peep into the dark,Look around in the dark
अंधेरे से बाहर आना,to come out of ignorance,to come out of darkness,To come out of the dark.
अंधा राजा राज्य चलाना,incompetent leadership,a blind king running the kingdom,The blind king rules the kingdom.
अंधे की झोपड़ी में रोशनी,to find hope where none was expected,light in the blind man’s hut,To bring light to a dark situation.
अंधा काँटा निकालना,to help at personal risk,to remove a thorn blindly,Extract the blind stump.
अंधा कानून चलाना,to enforce law without logic,to run/apply blind law,Keep it terse and faithful to each component.
अंधे को अंधेरे में छोड़ना,to abandon someone helpless,to leave the blind in darkness,Leave the blind in the darkness.
अंधेरे में रहना नहीं चाहिए,one should not stay ignorant,one should not stay in darkness,Don't want to stay in the dark.
अंधे को दिशा देनी चाहिए,to help the clueless find their way,one should give direction to a blind person,It's better to guide the blind in the right direction.
अंधेरे से डरना नहीं चाहिए,one should not fear truth,one should not fear darkness,अंधेरे में भी तुम रहोगे।
अंधेरे में दीप जलाना अच्छा है,to bring light even when alone,it is good to light a lamp in the dark,It's better to light a lamp in the dark than to decide not to light a lamp in the dark.
धरती पर पैर रखना,to stay humble despite success,to place feet on the earth,"The idiom ""धरती पर पैर रखना"" is not commonly used in English. The closest equivalent might be ""to ground oneself"" or ""to be grounded."" However, it doesn't convey the same meaning as the original Chinese idiom."
आसमान से गिरना,to lose everything suddenly,to fall from the sky,To fall from grace
हवा में उड़ना,to daydream or be overconfident,to fly in the air,To fly in the air.
पानी में रहकर मगर से बैर,to pick fights with powerful people,"living in water, enmity with the crocodile","To be in a difficult situation or in a bad position, especially when there is no escape or way out."
खुशियों के झूले झूलना,to live in joy,to swing on swings of happiness,"The idiom ""खुशियों के झूले झूलना"" can be translated to ""to experience the joy of being surrounded by happiness"" in English."
रंगीन मिज़ाज होना,to be flirtatious or fun-loving,to have a colorful temperament,"The idiom ""रंगीन मिज़ाज होना"" can be translated to English as ""to have a lively atmosphere"" or ""to have a cheerful mood."
दिल से खेलना,to toy with someone’s feelings,to play with the heart,Play with the heart
दिल का मामला,a romantic issue,matter of the heart,The matter of the heart is very fast.
दिल बड़ा रखना,to be generous or forgiving,to keep the heart big,Keep it terse and faithful to each component.
दिल छोटा मत करो,don’t lose hope,don’t make the heart small,Don't be too self-centered.
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it,"To be emotionally involved or invested in something, often to the point of being overwhelmed or affected deeply."
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden,Soften one's heart
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship,"The idiom ""दिल से दिल का रिश्ता"" means that there is a deep emotional connection between two people. It is often used to describe a strong bond or attachment between two individuals."
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart,"To cause a person to become emotional or excited, as if a fire has started in their heart."
दिल देना और लेना,to love and reciprocate,to give and take the heart,"The idiom ""दिल देना और लेना"" means that you should give your heart to someone and take care of them. It implies that you should prioritize your emotional and social connections with others."
दिल पर राज करना,to rule someone’s heart,to rule over the heart,Keep it brief and accurate.
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart,"The idiom ""दिल पर बोझ होना"" translates to ""to feel like crying"" or ""to be overwhelmed with emotion."
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind,"He's been thinking about the project all day, it's like he's got a cricket in his head."
दिमाग का दही बनाना,to confuse someone completely,to make the brain into curd,"The literal translation of ""दिमाग का दही बनाना"" is ""to make a brain boil,"" but this doesn't convey the idiomatic meaning. A natural English idiomatic translation would be ""to get a headache from thinking about something."
दिमाग खपाना,to think very hard,to expend/wear out the brain,To think deeply or to ponder over something.
दिमाग लगाना ज़रूरी है,to use common sense,it is necessary to apply the brain,One must use their brain to think and make decisions.
मुँह में ज़ुबान नहीं,to be timid or silent,no tongue in the mouth,मुँह में ज़ुबान नहीं रखना
मुँह पर बोलना,to speak directly,to speak on the face,To talk a lot
मुँह मीठा कराना,to celebrate success with sweets,to make the mouth sweet,To make someone feel comfortable or at ease by being friendly or polite.
नाक कटना,to lose honor,for the nose to be cut,To cut off one's nose to spite one's face.
नाक ऊँची करना,to make someone proud,to raise the nose high,To maintain a high opinion of oneself or to be self-important.
नाक बचाना,to save face,to save the nose,Keep it terse and faithful to each component.
नाक दबाना,to force acceptance,to press the nose,To bite one's nose and eat one's own nose.
नाक चढ़ाना,to act proudly,to raise the nose,"The idiom ""नाक चढ़ाना"" means ""to raise one's eyebrows"" in Hindi."
कान खड़े करना,to become alert,to make the ears stand up,Keep it terse and faithful to each component.
कान में बात डालना,to inform secretly,to put the matter into the ear,Speak to the point
कान में जूँ न रेंगना,to remain unaffected,not even a louse crawls in the ear,Don't let your voice ring in my ears.
पैरों तले ज़मीन खिसकना,to be shocked or panicked,the ground slipping from under the feet,To lose one's footing
पैर उखड़ना,to lose stability,for the feet to get uprooted,"The literal translation doesn't make sense in English, so we need to find a natural English idiomatic translation that conveys the same meaning as the Hindi idiom."
हाथ बाँधकर बैठना,to stay idle or helpless,to sit with hands tied,To sit with hands tied
हाथ उठाना,to hit or bless,to raise the hand,Apologize by raising your hand
हाथ साफ़ करना,to steal cleverly,to clean the hand,"To be thorough and meticulous in one's work or approach, ensuring that every detail is accounted for and nothing is overlooked."
हाथ में खेलना,to control completely,to play in the hand,"Playing with one's hands"" is not a natural English idiom."
सिर पर चढ़ना,to take advantage of leniency,to climb on the head,Don't stick your head in the sand.
सिर पर सवार होना,to be obsessed or enraged,to be mounted on the head,To sit on one's head
सिर ऊँचा रखना,to uphold dignity,to keep the head high,Keep your head up high.
सिर पर तूफ़ान लाना,to invite big trouble,to bring a storm upon the head,Bring a storm on your head
सिर फोड़ना,to fight violently,to smash/break the head,The idiom सिर फोड़ना means to make a big fuss or to create a lot of noise about something that is not really important. It implies that someone is being overly dramatic or making a big deal out of something that is not worth it.
सिर पर कर्ज़ होना,to be in debt,to have debt on the head,"I'm in debt to him, I'll have to pay him back soon."
सिर का दर्द,a troublesome person,pain of the head,The pain of the head
सीने में जलन,to feel envy,burning in the chest,"To be in a state of constant agitation or excitement, as if the audience is on the edge of their seats, waiting for something to happen."
सीने पर बोझ,to feel guilt or burden,burden on the chest,"The idiom ""सीने पर बोझ भरना"" (putting a knife on the table) is not a natural English idiom. A more natural English idiom with the same meaning would be ""to be a knife in the throat."
सीने में हवा भरना,to instill pride or ego,to fill air into the chest,To make a lot of noise or create a disturbance.
सीना ठंडा होना,to feel relieved or avenged,for the chest to become cool,It's better to be cold than to be a friend.
सीने पर हाथ रखना,to make a heartfelt promise,to keep a hand on the chest,To keep one's hand on the reins
सीने में साँस न लेना,to be extremely scared,to not take breath in the chest,"Don't be afraid to speak up, even if it's uncomfortable."
मन बनाना,to make up one’s mind,to make up the mind,"In Hindi, the idiom ""मन बनाना"" means to create or develop a new idea or concept in one's mind, based on their own beliefs and convictions. It implies the need for a person to think critically and come up with innovative ideas or concepts."
मन भर जाना,to lose interest,for the mind to become full,To be filled with thoughts or ideas.
मन खुश करना,to please someone,to make the mind happy,Make the mind happy
मन बदलना,to change opinion suddenly,to change the mind,"Changing one's mind is easy, but changing one's life is very uncommon."
मन लगाकर काम करना,to work sincerely,to work having set the mind,"मन लगाकर काम करना (man lagākara kām karnā) means to work with the mind tied up, which is a natural English idiom that conveys the idea of working with full concentration and dedication."
मन जीत लेना,to win hearts,to win the mind,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
पहला पत्ता गिरने से पहले,by autumn / before the first leaf falls,before the first leaf falls,तो बुरा नहीं है।
जंजीरों में बंधा महसूस करना,to feel chained or trapped,to feel bound in chains,to feel like a prisoner
मेरी बुरी किस्मत,just my bad luck,my bad luck,My bad luck has come to be.
मेरे जीते-जी,over my dead body / as long as I’m alive,while I'm alive,मेरे जीते-जीते तरफ से बात करते हैं
दुम दबाकर निकल लेना,to run away in fear (tail between legs),to slip away with tail tucked,"The idiom ""दुम दबाकर निकल लेना"" means to give a dull and uninteresting answer."
घुटने टेक देना,to surrender / kneel in defeat,to kneel down,"To take a break"" or ""To rest"
कौड़ियों के भाव,for a pittance / dirt cheap,at the price of cowries (shells),I can't stand it when people talk about the feelings of the rich without considering their own emotions.
हाथ गंदे करना,to get one’s hands dirty (do something unsavory),to make one's hands dirty,To smear one's hands.
लाड़-प्यार करना,to pamper / spoil,to dote and pamper,To be affectionate and tender
हर तरफ से घेर लेना,to box in / surround on all sides,to surround from all sides,To encircle on all sides
दिमाग पर छा जाना,to get stuck in one’s head,to spread over the mind,I need to take a break and let my brain rest.
"धंधा पहले, मज़ा बाद में",business before pleasure,"business first, fun later","The idiom ""धंधा पहले, मज़ा बाद में"" means that success or achievement comes after hard work and effort. In other words, it takes time and dedication to achieve something significant."
आसमान छूना (भाव/कीमतें),"to be sky-high (prices, rates)",to touch the sky (prices/rates),"आसमान छूना (किसी वस्तु को अपनी आसमान वाली दृष्टि से देखना, जो उसके मानसिक आंकड़ों को बढ़ाता है)"
औरत के पल्लू में छिपना,to hide behind a woman’s pallu (show cowardice),to hide behind a woman's pallu,Hiding in a woman's bra
बच्चों को भूखा मारना,to let the kids go hungry / starve,to starve the children,To starve children
