src,true_meaning,literal_translation,predicted
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"सीने पर बोझ होना (sīnē par bojh honā) means ""to be in a pickle"" or ""to be in a difficult situation."" It is used to describe someone who is in a bad or awkward situation and needs help to get out of it."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The idiom ""सीने में आग लगना"" means ""to get into trouble"" or ""to have a problem"" in Hindi. It is derived from the idea that when a fire starts in a building, it can quickly spread and cause a lot of damage. Similarly, when someone gets into trouble, it can quickly escalate and lead to negative consequences."
रंग दिखाना,to reveal true colors,to show color,NO_MATCH
रंगीन होना,to enjoy life freely,to become colorful,To be in a good mood
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,"A native English speaker would say ""to lose one's composure"" or ""to break down"" in this context."
रंग उड़ना,to fade away,for the color to fly/fade,"The idiom ""रंग उड़ना"" can be translated to ""to change one's attitude or behavior suddenly and dramatically"" in English."
रंग जमना,to gain traction,for color to set,रंग रहना
रंग लगना,to start celebrating,to have color applied,To be influenced by something.
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"The idiom ""रंग में रँग जाना"" can be translated to English as ""to know the color of the color."" This phrase is used to describe a state of complete immersion or absorption in an activity or experience, where one becomes so engrossed that they lose track of time or reality."
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it terse and faithful to each component.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Keep your sweet faithful.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,Keep it terse and faithful to each component.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are sour, but they are very good for eating."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,Keep it terse and faithful to each component.
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your nose up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Don't talk about your anger like it's a conversation.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,Keep it terse and faithful to each component.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To accept one's mistake.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Don't hold back your anger.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,"The idiom ""अक्ल का पैमाना टूट जाना"" can be translated to ""to lose one's mind"" or ""to go crazy."
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,"The idiom ""अक्ल घास चरना"" can be translated into English as ""to be obsessed with something,"" while the literal translation is ""to scratch one's head."
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,"The idiom ""अंधे के हाथ तिलक लगना"" can be translated to English as ""to have a blindfold on one's hands,"" which means to be unable to see or understand something clearly due to ignorance or prejudice."
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,"The idiom ""अंधा बांटे रेवड़ी नहीं बैठते"" means that someone who is not well-versed in a particular subject or topic cannot sit still or be comfortable in that area. It is often used to describe someone who is not knowledgeable or experienced in a certain field."
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,"The idiom ""अंधे की लकड़ी"" means ""dark-skinned"" and is used to describe someone with a very dark skin tone."
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take a blind man's stick.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,"The idiom ""अंधे की भी आँख खुल गई है"" means that even someone who is blind can see something. It is used to describe a situation where someone who is not capable of seeing something can still perceive it."
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,"An old, rotten bread is not a fresh, new bread."
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","He heard the name of the blind man, but he didn't see with his own eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"अंधा क्या चाहे, दो आँखें नहीं देते।"
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Keep it in the dark.
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To show the sun to the blind.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,अंधे को रास्ता दिखाना (To show a road to the blind)
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark and walk in the dark.
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be stuck in a dark song
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,"The idiom ""अंधेरे में सुई खोजना"" can be translated to English as ""searching for an answer in the dark."" This phrase is used to describe someone who is trying to find a solution to a problem without any clear guidance or direction."
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,अंधे के हाथ में दीपक लेना
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,Riding an elephant blindfolded.
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To shed light on a dark situation.
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The blind king is blind to his subjects' experiences.
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,To shine in the darkness of misfortune.
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,अंधे को रास्ता न सूझना (Andh ko rasta na sujhan)
अंधा प्रेम करना,to love without reason,to love blindly,To fall in love with someone who is not worthy of your affection.
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,To give a hand to the blind
अंधे की लाठी,only source of dependence,a blind man’s staff,The stick of the blind man was stuck in the ground.
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,"The idiom ""अंधे को सपने में रोशनी दिखना"" means ""to give hope to the hopeless."" In Hindi, it is used to describe the act of providing someone with a glimmer of hope or a chance to believe in a better future, even when they are in a dark and hopeless situation."
अंधेरे में रहना,to be ignorant,to live/stay in darkness,अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेरे में रहना अर्थात् अंधेर
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,Searching for a path in the dark.
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,Hide in the dark
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,अंधा रेवड़ी बाँटे
अंधे की किस्मत,blind luck / chance success,the blind man’s luck,The fate of the blind.
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,To paint the blind with color
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face","He heard the name of the blind, but he never saw his face."
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,"If you see an owl, both eyes will be lost."
अंधा गुस्सा करना,to get blindly angry,to do blind anger,Keep it terse and faithful to each component.
अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness,To drown in darkness.
अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate,"In the misfortune of the blind, there is no cut."
अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens,"To be unlucky or unfortunate, to have bad luck."
अंधेरे में भटकना,to wander without direction,to wander in darkness,To stumble in the dark
अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result",अंधा प्रेम अंधा परिणाम
अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness,Hiding in darkness and searching for light
अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand,To put a lamp on the hands of the blind.
अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way,The blind man also found the path.
अंधेरे से डरना,to fear ignorance or truth,to fear darkness,To fear the dark
अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person,To show the blind the straight path
अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark,To light a lamp in the dark
अंधेरे में ताकना,to look aimlessly,to gaze into the dark,Look at the dark.
अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person,अंधे को नजर आना (Andh ko nazar aana) means to show someone who is blind or in the dark the way.
अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path,"To turn a blind eye to a situation or problem, even though it may be evident or important."
अंधेरे में खोज करना,to explore with uncertainty,to search in the dark,Searching in the dark
अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants,Steal the blindfold of the blind.
अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person,Give a mirror to the blind
अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness,To get benefit from darkness
अंधेरे में झांकना,to peep into the unknown,to peep into the dark,अंधेरे में झांकना नहीं करना
अंधेरे से बाहर आना,to come out of ignorance,to come out of darkness,"The idiom ""अंधेरे से बाहर आना"" can be translated to ""coming out of the dark"" in English. This means to gain knowledge, understanding, or enlightenment by emerging from a state of ignorance or confusion."
अंधा राजा राज्य चलाना,incompetent leadership,a blind king running the kingdom,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अंधे की झोपड़ी में रोशनी,to find hope where none was expected,light in the blind man’s hut,The blindfolded man cannot see the truth.
अंधा काँटा निकालना,to help at personal risk,to remove a thorn blindly,Pulling out the blind stump
अंधा कानून चलाना,to enforce law without logic,to run/apply blind law,Keep it terse and faithful to each component.
अंधे को अंधेरे में छोड़ना,to abandon someone helpless,to leave the blind in darkness,Leave the blind in the dark and become dark yourself.
अंधेरे में रहना नहीं चाहिए,one should not stay ignorant,one should not stay in darkness,Don't stay in the dark.
अंधे को दिशा देनी चाहिए,to help the clueless find their way,one should give direction to a blind person,The blind should be guided.
अंधेरे से डरना नहीं चाहिए,one should not fear truth,one should not fear darkness,Do not fear the darkness when you must go into the darkness.
अंधेरे में दीप जलाना अच्छा है,to bring light even when alone,it is good to light a lamp in the dark,"In the dark, to light a lamp is good."
धरती पर पैर रखना,to stay humble despite success,to place feet on the earth,"The idiom ""धरती पर पैर रखना"" can be translated to ""to take a stand"" or ""to take a position"" in English."
आसमान से गिरना,to lose everything suddenly,to fall from the sky,"The idiom ""आसमान से गिरना"" translates to ""Fall from the sky"" in English."
हवा में उड़ना,to daydream or be overconfident,to fly in the air,Fly in the air
पानी में रहकर मगर से बैर,to pick fights with powerful people,"living in water, enmity with the crocodile","To keep one's head above water"" or ""To stay afloat"
खुशियों के झूले झूलना,to live in joy,to swing on swings of happiness,"The idiom ""khushiyoon ke jhoolne jhoolana"" can be translated to ""to flutter with joy"" in English."
रंगीन मिज़ाज होना,to be flirtatious or fun-loving,to have a colorful temperament,"The idiom ""रंगीन मिज़ाज होना"" translates to ""To have a colorful atmosphere"" in English."
दिल से खेलना,to toy with someone’s feelings,to play with the heart,Play with the heart (dil)
दिल का मामला,a romantic issue,matter of the heart,The situation of the heart.
दिल बड़ा रखना,to be generous or forgiving,to keep the heart big,Keep it brief and faithful to each component.
दिल छोटा मत करो,don’t lose hope,don’t make the heart small,Don't be greedy when you eat food.
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it,Put your heart into something and then take it out.
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden,"To make someone feel uncomfortable or uneasy, often by making them realize the truth or consequences of their actions."
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship,"From the heart, the connection of hearts."
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart,To ignite a fire in one's heart
दिल देना और लेना,to love and reciprocate,to give and take the heart,Give and Take
दिल पर राज करना,to rule someone’s heart,to rule over the heart,To rule one's heart
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart,"The idiom ""दिल पर बोझ होना"" translates to ""To have a lump in one's throat"" in English."
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind,To have a headache in the mind
दिमाग का दही बनाना,to confuse someone completely,to make the brain into curd,"The idiom ""make the brain into butter"" does not have a clear meaning in English, and it is not commonly used. It may be a translation error or a misinterpretation of the original Chinese idiom."
दिमाग खपाना,to think very hard,to expend/wear out the brain,"A native speaker would say: ""I need to think about this problem for a while, I'm going to have to eat my brain."
दिमाग लगाना ज़रूरी है,to use common sense,it is necessary to apply the brain,It's essential to stay focused.
मुँह में ज़ुबान नहीं,to be timid or silent,no tongue in the mouth,"To not say anything, to remain silent or to not express one's opinion or feelings."
मुँह पर बोलना,to speak directly,to speak on the face,"मुँह पर बोलना (muh par bolna) is an idiomatic expression in Hindi that means to speak without thinking, to blurt out what comes to mind without considering the consequences. The literal translation of the phrase is ""Speak with your mouth,"" but the idiomatic meaning is different from the literal meaning."
मुँह मीठा कराना,to celebrate success with sweets,to make the mouth sweet,To be tongue-tied
नाक कटना,to lose honor,for the nose to be cut,"To cut corners or take shortcuts, often implying a lack of effort or commitment to doing something properly."
नाक ऊँची करना,to make someone proud,to raise the nose high,"The phrase ""to keep one's nose up"" captures the essence of the idiom ""नाक ऊँची करना"" by conveying the idea of someone boasting or talking grandly about themselves."
नाक बचाना,to save face,to save the nose,Keep it terse and faithful to each component.
नाक दबाना,to force acceptance,to press the nose,To hold back one's emotions or feelings.
नाक चढ़ाना,to act proudly,to raise the nose,To stick out one's tongue
कान खड़े करना,to become alert,to make the ears stand up,To listen carefully
कान में बात डालना,to inform secretly,to put the matter into the ear,"The idiom ""कान में बात डालना"" is used to describe the act of speaking to someone who already knows the information being shared. It is often used to express frustration or annoyance at having to repeat information that has already been communicated."
कान में जूँ न रेंगना,to remain unaffected,not even a louse crawls in the ear,"Don't let your ears ring, don't let your ears ring."
पैरों तले ज़मीन खिसकना,to be shocked or panicked,the ground slipping from under the feet,To shake the ground with your feet
पैर उखड़ना,to lose stability,for the feet to get uprooted,"To be in a state of confusion or disarray, often due to being overwhelmed by too much information or complexity."
हाथ बाँधकर बैठना,to stay idle or helpless,to sit with hands tied,Keep it terse and faithful to each component.
हाथ उठाना,to hit or bless,to raise the hand,Raise hands
हाथ साफ़ करना,to steal cleverly,to clean the hand,To keep it concise and faithful to each component.
हाथ में खेलना,to control completely,to play in the hand,"Playing with one's hands"" or ""Not taking action"
सिर पर चढ़ना,to take advantage of leniency,to climb on the head,"He's a real headcase, always climbing on his head."
सिर पर सवार होना,to be obsessed or enraged,to be mounted on the head,"The idiom ""सिर पर सवार होना"" can be translated to English as ""to sit on the head,"" which is not a natural or idiomatic expression. However, a more natural and idiomatic translation would be ""to have the reins of control."
सिर ऊँचा रखना,to uphold dignity,to keep the head high,Keep it terse and faithful to each component.
सिर पर तूफ़ान लाना,to invite big trouble,to bring a storm upon the head,"The idiom ""सिर पर तूफ़ान लाना"" means ""to bring a storm to one's head"" or ""to cause someone to have a sudden realization or epiphany."" It suggests that someone has suddenly understood something or had a sudden realization about a situation."
सिर फोड़ना,to fight violently,to smash/break the head,To stick one's head out of the window
सिर पर कर्ज़ होना,to be in debt,to have debt on the head,"The phrase ""to have a headache on one's head"" is a natural English idiomatic translation of the Hindi idiom ""सिर पर कर्ज़ होना."
सिर का दर्द,a troublesome person,pain of the head,"The literal translation ""The pain of the head is good taste"" does not convey the idiomatic meaning of feeling overwhelmed or burdened. Instead, it suggests that the pain is enjoyable or pleasant, which is not the intended meaning of the idiom."
सीने में जलन,to feel envy,burning in the chest,There is no information on the burning in the well.
सीने पर बोझ,to feel guilt or burden,burden on the chest,To cover up a problem
सीने में हवा भरना,to instill pride or ego,to fill air into the chest,Fill the sky with air without any wind
सीना ठंडा होना,to feel relieved or avenged,for the chest to become cool,"The idiom सीना ठंडा होना means ""to feel cold"" or ""to be cold"". It is often used to describe a situation where someone feels uncomfortable or unwell due to the cold weather or environment."
सीने पर हाथ रखना,to make a heartfelt promise,to keep a hand on the chest,To surrender or admit defeat.
सीने में साँस न लेना,to be extremely scared,to not take breath in the chest,Don't let your thoughts get stuck in the grave.
मन बनाना,to make up one’s mind,to make up the mind,To make a man
मन भर जाना,to lose interest,for the mind to become full,"The idiom ""मन भर जाना"" can be translated to English as ""to fill one's mind."
मन खुश करना,to please someone,to make the mind happy,Make the mind happy
मन बदलना,to change opinion suddenly,to change the mind,"The literal translation is ""The change of mind is very true."" However, the natural English idiomatic translation would be ""It's a change of heart."
मन लगाकर काम करना,to work sincerely,to work having set the mind,"Work under pressure"" or ""Work with a lot of stress"
मन जीत लेना,to win hearts,to win the mind,To win over someone's mind or persuade them to agree with you.
पहला पत्ता गिरने से पहले,by autumn / before the first leaf falls,before the first leaf falls,The first leaf falls before the second is formed.
जंजीरों में बंधा महसूस करना,to feel chained or trapped,to feel bound in chains,Feeling like a prisoner
मेरी बुरी किस्मत,just my bad luck,my bad luck,My bad luck has given my friends bad luck as well.
मेरे जीते-जी,over my dead body / as long as I’m alive,while I'm alive,मेरे जीते-जी ते तो आपको भी जीतना होगा।
दुम दबाकर निकल लेना,to run away in fear (tail between legs),to slip away with tail tucked,To leave quietly and without making a sound.
घुटने टेक देना,to surrender / kneel in defeat,to kneel down,To give a small gift or favor
कौड़ियों के भाव,for a pittance / dirt cheap,at the price of cowries (shells),To keep the feelings of the poor people.
हाथ गंदे करना,to get one’s hands dirty (do something unsavory),to make one's hands dirty,To make one's hands stink
लाड़-प्यार करना,to pamper / spoil,to dote and pamper,"To be overly friendly or overly polite, often to the point of being insincere or insufferable."
हर तरफ से घेर लेना,to box in / surround on all sides,to surround from all sides,To surround from all sides
दिमाग पर छा जाना,to get stuck in one’s head,to spread over the mind,To have the brain fall off.
"धंधा पहले, मज़ा बाद में",business before pleasure,"business first, fun later","Money comes first, fun comes later."
आसमान छूना (भाव/कीमतें),"to be sky-high (prices, rates)",to touch the sky (prices/rates),आसमान छूना (भाव/कीमतें) नहीं करना
औरत के पल्लू में छिपना,to hide behind a woman’s pallu (show cowardice),to hide behind a woman's pallu,"The idiom ""Aurat ke palle mein chhinnana"" means to hide oneself or to hide one's true identity or intentions. It is often used to describe someone who is trying to conceal their true feelings or motives."
बच्चों को भूखा मारना,to let the kids go hungry / starve,to starve the children,To starve children
