src,true_meaning,literal_translation,predicted
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,To be everywhere avoided.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Keep it terse and faithful to each component.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,Keep it terse and faithful to each component.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The literal translation of the idiom ""अंगूर खट्टे हैं"" is ""The grapes are sour."" However, the idiomatic sense of the phrase is that while something may appear to be a problem or issue, it may not be as severe or significant as it seems. It implies that there is a difference between the surface appearance and the actual reality."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,नहीं करना
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,To express one's feelings
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,"To try to do something that is impossible or impractical, often with the intention of making a fool of oneself."
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it under wraps.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To take one's own mistake as bigger than it is.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",He doesn't give his own opinion.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,Lose one's head
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,He was so focused on his work that he forgot to eat or drink. He was keeping his head down and moving forward.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,"The idiom ""अंधे के हाथ तिलक लगना"" means ""to deceive someone"" or ""to give a false impression."" It is often used to describe someone who tries to make others believe something that is not true."
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Keep it terse and faithful to each component.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,The one who eats the ear of the blind is not the one who wears the ear of the blind.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,"The idiom ""अंधे की लाठी छीनना"" (Adhne ki laṭhi chīnana) means ""to take the blind man's stick,"" which is used to describe someone who takes advantage of someone else's ignorance or lack of knowledge."
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,"Even if someone is blind, they will still be able to see something."
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,To make a light cake out of dark bread.
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","The literal English translation of the idiom ""अंधे का नाम सुना, आँखों से नहीं देखा"" is ""He heard the name of the blind man, but didn't see his eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"Whatever the darkness wants, make two eyes."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Keep it in the dark
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To show the sun to the blind
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the blind the way.
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,You can't go to the dark without sitting in the dark first.
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be lost in a dark melody (idiom)
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for a needle in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,अंधे के हाथ में दीपक
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,Steering a blindfolded horse
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into darkness
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",A blind king makes his subjects blind.
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,"In the darkness of misfortune, there is a flash of light."
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Don't show the way to the blind.
अंधा प्रेम करना,to love without reason,to love blindly,"The idiom ""अंधा प्रेम करना"" translates to ""To have a dim love"" in English."
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,Keep it terse and faithful to each component.
अंधे की लाठी,only source of dependence,a blind man’s staff,अंधे की लाठी धोने की अस्तुति
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,To see light in dreams for the blind is not darkness.
अंधेरे में रहना,to be ignorant,to live/stay in darkness,To live in the dark.
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,"The English idiom ""searching for a road in the dark"" is a natural English translation of the Hindi idiom ""अंधेरे में रास्ता ढूँढना."" It is a phrase that a native English speaker would use to describe someone who is trying to find a way to solve a problem when it is difficult or unclear."
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,"A native speaker would say ""Hide in the dark"" to convey the meaning of the idiom."
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,"The idiom ""अंधा रेवड़ी बाँटे"" means to spread false or damaging information about someone or something without any basis or evidence, often with the intention of causing harm or damaging someone's reputation."
अंधे की किस्मत,blind luck / chance success,the blind man’s luck,"The idiom ""अंधे की किस्मत"" (Andhke Kismat) can be translated to ""not the luck of the blind"" in English."
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,To try to make something complicated or confusing by adding unnecessary details or complexity.
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face","He heard the name of the blind man, but did not see his face."
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,"If you are blind, you will lose your two eyes."
अंधा गुस्सा करना,to get blindly angry,to do blind anger,To keep it terse and faithful to each component.
अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness,To be lost in darkness (aNDhērē mēn dūb jānā)
अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate,A misfortune in the darkness.
अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens,The blind's misfortune doesn't awaken.
अंधेरे में भटकना,to wander without direction,to wander in darkness,To stumble in the dark
अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result",Blind love leads to blind consequences.
अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness,To search for light in the dark.
अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand,"The idiom ""putting a light on the hands of the blind"" means trying to help someone who is unable to help themselves."
अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way,"The idiom ""अंधा भी रास्ता पहचान गया था"" means ""Even the blind could find the path."" This phrase is used to describe someone who is able to find their way or succeed despite having limited or no knowledge or ability. It suggests that even in difficult situations, one can still navigate and achieve their goals. The literal translation of the idiom is ""The blind man also found the road."
अंधेरे से डरना,to fear ignorance or truth,to fear darkness,"The idiomatic sense of ""अंधेरे से डरना"" is to be terrified or frightened by something that is unknown or mysterious."
अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person,To show the direct road to the blind
अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark,To light a lamp in the dark.
अंधेरे में ताकना,to look aimlessly,to gaze into the dark,Look at the dark.
अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person,Keep it terse and faithful to each component.
अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path,Keep it terse and faithful to each component.
अंधेरे में खोज करना,to explore with uncertainty,to search in the dark,Searching in the dark for wisdom.
अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants,Steal the blindfold of the blind.
अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person,To give a mirror to the blind.
अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness,"अंधेरे का फायदा उठाना means to make use of a situation or opportunity when it is dark or unclear, to take advantage of a situation that is not fully understood or appreciated."
अंधेरे में झांकना,to peep into the unknown,to peep into the dark,To look into the dark.
अंधेरे से बाहर आना,to come out of ignorance,to come out of darkness,To emerge from the darkness.
अंधा राजा राज्य चलाना,incompetent leadership,a blind king running the kingdom,The blind king rules the country.
अंधे की झोपड़ी में रोशनी,to find hope where none was expected,light in the blind man’s hut,To shed light on a blind spot
अंधा काँटा निकालना,to help at personal risk,to remove a thorn blindly,To extract the essence or the main point from a complex or lengthy text or conversation.
अंधा कानून चलाना,to enforce law without logic,to run/apply blind law,Keep it concise and accurate to each element.
अंधे को अंधेरे में छोड़ना,to abandon someone helpless,to leave the blind in darkness,Leave the blind in the dark
अंधेरे में रहना नहीं चाहिए,one should not stay ignorant,one should not stay in darkness,Do not want to live in darkness.
अंधे को दिशा देनी चाहिए,to help the clueless find their way,one should give direction to a blind person,"In the dark, direction must be given."
अंधेरे से डरना नहीं चाहिए,one should not fear truth,one should not fear darkness,Do not fear the unknown.
अंधेरे में दीप जलाना अच्छा है,to bring light even when alone,it is good to light a lamp in the dark,It's better to have some light in a dark place than to have no light at all.
धरती पर पैर रखना,to stay humble despite success,to place feet on the earth,"The idiom ""धरती पर पैर रखना"" means to be independent and self-sufficient, not relying on others for support or assistance."
आसमान से गिरना,to lose everything suddenly,to fall from the sky,Fall from the sky.
हवा में उड़ना,to daydream or be overconfident,to fly in the air,"The idiom ""हवा में उड़ना"" can be translated to ""fly in the air"" in English, which conveys the idea of being free and unencumbered."
पानी में रहकर मगर से बैर,to pick fights with powerful people,"living in water, enmity with the crocodile","The idiom ""पानी में रहकर मगर से बैर नहीं लगता"" means ""one cannot be drowned in water"" in Hindi. It is an idiom that suggests that one cannot be overwhelmed or drowned by something, even if it seems like it would be a difficult or overwhelming experience."
खुशियों के झूले झूलना,to live in joy,to swing on swings of happiness,To be happy like a child.
रंगीन मिज़ाज होना,to be flirtatious or fun-loving,to have a colorful temperament,To have a colorful mood
दिल से खेलना,to toy with someone’s feelings,to play with the heart,Play with your heart
दिल का मामला,a romantic issue,matter of the heart,The matter of the heart
दिल बड़ा रखना,to be generous or forgiving,to keep the heart big,"Keep it brief and true to each element. No commentary, just the literal translation."
दिल छोटा मत करो,don’t lose hope,don’t make the heart small,Don't be too hard on yourself.
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it,"The literal translation of the idiom ""दिल लगाना और तोड़ना"" is ""Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden,To keep someone happy or content.
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship,"The idiom ""दिल से दिल का रिश्ता"" means ""a connection between hearts"" or ""a bond of affection."" It suggests a deep emotional connection or a shared understanding between two people, often implying a strong emotional or spiritual connection."
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart,"The idiom ""दिल में आग लगाना"" can be translated as ""to set fire to one's heart"" or ""to ignite one's emotions."" This means to arouse strong feelings or passions within oneself or others."
दिल देना और लेना,to love and reciprocate,to give and take the heart,Give and Take
दिल पर राज करना,to rule someone’s heart,to rule over the heart,To take control of someone's emotions or feelings.
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart,To have a heart attack
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind,To put a lump in one's head
दिमाग का दही बनाना,to confuse someone completely,to make the brain into curd,To make a fool of oneself or act foolishly
दिमाग खपाना,to think very hard,to expend/wear out the brain,To think deeply or extensively about something.
दिमाग लगाना ज़रूरी है,to use common sense,it is necessary to apply the brain,।
मुँह में ज़ुबान नहीं,to be timid or silent,no tongue in the mouth,Do not put a tooth in your mouth.
मुँह पर बोलना,to speak directly,to speak on the face,मुँह पर बोलना
मुँह मीठा कराना,to celebrate success with sweets,to make the mouth sweet,"To make someone feel comfortable or at ease, often by being polite, friendly, or kind."
नाक कटना,to lose honor,for the nose to be cut,To cut off the nose to spite the face
नाक ऊँची करना,to make someone proud,to raise the nose high,"He raised his nose at the news, showing his haughtiness."
नाक बचाना,to save face,to save the nose,"To keep it terse and faithful to each component, and no commentary, just the literal gloss."
नाक दबाना,to force acceptance,to press the nose,नाक दबाना नहीं करना चाहिए
नाक चढ़ाना,to act proudly,to raise the nose,To stick out one's nose
कान खड़े करना,to become alert,to make the ears stand up,To be on the tip of one's tongue or ready to speak.
कान में बात डालना,to inform secretly,to put the matter into the ear,Give someone a piece of advice or a warning in a concise and direct manner.
कान में जूँ न रेंगना,to remain unaffected,not even a louse crawls in the ear,Don't let the ear ring.
पैरों तले ज़मीन खिसकना,to be shocked or panicked,the ground slipping from under the feet,To keep one's feet on the ground
पैर उखड़ना,to lose stability,for the feet to get uprooted,"The idiom ""पैर उखड़ना"" can be translated to ""to kick the bucket"" in English."
हाथ बाँधकर बैठना,to stay idle or helpless,to sit with hands tied,To sit with hands tied
हाथ उठाना,to hit or bless,to raise the hand,"To raise one's hand or to speak up, often in a formal or public setting, to express one's opinion or raise a point."
हाथ साफ़ करना,to steal cleverly,to clean the hand,Keep it brief and accurate in each part.
हाथ में खेलना,to control completely,to play in the hand,Playing around
सिर पर चढ़ना,to take advantage of leniency,to climb on the head,To be in a difficult situation or in a tight spot.
सिर पर सवार होना,to be obsessed or enraged,to be mounted on the head,Sit on the head
सिर ऊँचा रखना,to uphold dignity,to keep the head high,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
सिर पर तूफ़ान लाना,to invite big trouble,to bring a storm upon the head,To bring a storm to one's head
सिर फोड़ना,to fight violently,to smash/break the head,"The idiom ""सिर फोड़ना"" (Sir Fodna) is used to describe a situation where someone is confused or unsure about something, often indicating they are trying to think of a solution or answer."
सिर पर कर्ज़ होना,to be in debt,to have debt on the head,सिर पर कर्ज़ होना
सिर का दर्द,a troublesome person,pain of the head,The pain of the head
सीने में जलन,to feel envy,burning in the chest,The idea of burning in the well.
सीने पर बोझ,to feel guilt or burden,burden on the chest,"To put the cart before the horse"" or ""to do things in the wrong order."
सीने में हवा भरना,to instill pride or ego,to fill air into the chest,Fill the air with noise
सीना ठंडा होना,to feel relieved or avenged,for the chest to become cool,The water is cold.
सीने पर हाथ रखना,to make a heartfelt promise,to keep a hand on the chest,To keep one's hand on the reins
सीने में साँस न लेना,to be extremely scared,to not take breath in the chest,Not to breathe in the audience.
मन बनाना,to make up one’s mind,to make up the mind,"To make a man"" (literally, ""to make a man"")"
मन भर जाना,to lose interest,for the mind to become full,"Make the mind full"" or ""Fill the mind"" (Natural English idiom translation)"
मन खुश करना,to please someone,to make the mind happy,Make someone happy or content.
मन बदलना,to change opinion suddenly,to change the mind,मन बदलना
मन लगाकर काम करना,to work sincerely,to work having set the mind,मन लगाकर काम करना
मन जीत लेना,to win hearts,to win the mind,To win the mind
पहला पत्ता गिरने से पहले,by autumn / before the first leaf falls,before the first leaf falls,The second leaf falls before the first one.
जंजीरों में बंधा महसूस करना,to feel chained or trapped,to feel bound in chains,Feeling like a prisoner or being trapped.
मेरी बुरी किस्मत,just my bad luck,my bad luck,My Bad Luck
मेरे जीते-जी,over my dead body / as long as I’m alive,while I'm alive,मेरे जीते-जी ते दुनिया भर में एक बड़ी बात है।
दुम दबाकर निकल लेना,to run away in fear (tail between legs),to slip away with tail tucked,To keep it terse and faithful to each component.
घुटने टेक देना,to surrender / kneel in defeat,to kneel down,"The idiom ""घुटने टेक देना"" means ""to be careful and cautious"" in Hindi. It is used to describe someone who is being careful and not taking unnecessary risks."
कौड़ियों के भाव,for a pittance / dirt cheap,at the price of cowries (shells),To make the feelings of the poor people barbaric
हाथ गंदे करना,to get one’s hands dirty (do something unsavory),to make one's hands dirty,To rub one's hands together.
लाड़-प्यार करना,to pamper / spoil,to dote and pamper,To be on good terms with someone.
हर तरफ से घेर लेना,to box in / surround on all sides,to surround from all sides,To encircle from all sides
दिमाग पर छा जाना,to get stuck in one’s head,to spread over the mind,"The idiom ""दिमाग पर छा जाना"" can be translated to ""to have one's mind scattered"" in English."
"धंधा पहले, मज़ा बाद में",business before pleasure,"business first, fun later","The idiom ""धंधा पहले, मज़ा बाद में आता है"" means ""hard work comes before enjoyment."" In Hindi, it is often used to emphasize that success or achievement requires hard work and dedication before one can enjoy the fruits of their labor."
आसमान छूना (भाव/कीमतें),"to be sky-high (prices, rates)",to touch the sky (prices/rates),Don't panic!
औरत के पल्लू में छिपना,to hide behind a woman’s pallu (show cowardice),to hide behind a woman's pallu,To hide in the folds of a woman's clothing.
बच्चों को भूखा मारना,to let the kids go hungry / starve,to starve the children,To make someone feel hungry or deprived.
