src,true_meaning,literal_translation,predicted
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""to break the jug"" is a literal translation of ""to be in a difficult situation"" or ""to be in a tight spot."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,तारे बनाना
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To give a lecture or talk to someone.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,जब आपको जुबान फिसल जाती है तो आपको अपने जीवन की बातें नहीं सुनाने और अपने जीवन की बातें नहीं सुनाने की अनुमति नहीं दी जाती है।
जुबान सरक जाना,to misspeak,for the tongue to slide,To be in a tight spot.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To keep the bloodline intact.
पसीना रोकना,to relieve effort,to stop sweat,Keep it brief and accurate in each part.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"The idiom ""पसीने-पसीने होना"" means to be in a state of being very nervous or anxious, as if one's heart is beating fast and one's palms are sweaty."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To have a headache
सीने में जलन होना,to feel envy,to have burning in the chest,वाटर एक बेटे में जलन होना
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The idiom सीने में लावा उठना means to become famous or well-known in a particular place or among a particular group, while the literal translation of ""to lift up the head from the grave"" is not related to the idiom's meaning."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To have a headache on the forehead.
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,A person gets into trouble or a difficult situation.
रंग दिखाना,to reveal true colors,to show color,Show color and talk
रंगीन होना,to enjoy life freely,to become colorful,To be truly red means to be truly red.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,The color of the cloth is lost.
रंग उड़ना,to fade away,for the color to fly/fade,"The idiom ""रंग उड़ना"" means to change one's behavior or attitude suddenly and dramatically, often for the worse. It implies a sudden shift in someone's demeanor or actions, often for the worse."
रंग जमना,to gain traction,for color to set,"The phrase ""to change colors"" or ""to mix colors and make a new color"" can be used to describe a sudden or dramatic change in appearance or behavior, often in response to a particular situation or event."
रंग लगना,to start celebrating,to have color applied,To experience something
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"In color, know color."
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it concise and faithful to each part.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To keep it terse and faithful to each component.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,"The phrase ""to keep one's head in the clouds"" is a natural English idiomatic translation of ""to be in a state of confusion or disarray, unable to make a decision or take action due to conflicting thoughts or emotions."
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The literal translation of the Chinese idiom ""बाल बिल्ले हैं"" is ""The leaves are withered."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,To keep their own voice
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your nose up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Do not speak about your anger
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,The hand of the dark sticks to butter.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,"The idiom ""अंधेरे में रखना"" can be translated to English as ""to keep something secret or hidden."
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To consider one's own mistake as making it bigger
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",नहीं रखना
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,The measure of one's mind collapses.
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,"To be overly critical or nitpicky about something, often to the point of being annoying or frustrating."
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To give a false impression or deceive someone.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,The blind cut the rice and it goes away.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,The iron of the blind does not become.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,Take the blindfolded's stick.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the eye of the blind is open.
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,की रोटी
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","The idiom ""अंधे का नाम सुना, आँखों से नहीं देखा"" can be translated to English as ""hearing the name of an enemy but never seeing him."" This phrase is used to describe someone who is aware of the existence of a person or thing but has never actually encountered them. It implies that the person is well-informed about the person or thing but lacks firsthand knowledge or experience with them."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"The literal translation doesn't make sense in English, so I'll provide a natural English idiomatic translation instead."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Keep it in the dark.
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To enlighten someone who is unaware or ignorant about something.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the blind the way.
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,"To be in a state of confusion or bewilderment, as if in the dark with no clear direction."
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for a needle in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,अंधे के हाथ में दीपक लगाना
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,Riding a blind hen.
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into darkness.
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The king's subjects are blind.
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,"To be lucky in a dark situation"" or ""to have good fortune in a difficult situation."
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Don't give the blind a path to follow.
अंधा प्रेम करना,to love without reason,to love blindly,To fall in love with the dark.
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,Give a blind man a cane to help him see.
अंधे की लाठी,only source of dependence,a blind man’s staff,The stick of the blind man
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,"To make someone else happy or successful, even if it's not true or realistic."
अंधेरे में रहना,to be ignorant,to live/stay in darkness,अंधेरे में रहना नहीं (Andhre mein rahna teezī se bhaṛnā)
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,Searching for a road in the dark.
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,Hide in the dark.
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,Spread rumors or misinformation.
अंधे की किस्मत,blind luck / chance success,the blind man’s luck,The fate of the blind.
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,To enlighten someone who is ignorant or uneducated.
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face","He heard the name of the blind man, but did not see his face."
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,"अंधा क्या देखे, दो आँखें खो जाती हैं."
अंधा गुस्सा करना,to get blindly angry,to do blind anger,"To be overly sensitive or overreact to a situation, feeling hurt or offended even when there is no real cause for it."
अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness,"The idiom ""अंधेरे में डूब जाना"" can be translated to English as ""to drown in the dark."" This phrase is used to describe someone who is overwhelmed by their own problems or difficulties, and is unable to find a way out."
अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate,Not to be blind to the truth.
अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens,To wake up the luck of the blind
अंधेरे में भटकना,to wander without direction,to wander in darkness,"अंधेरे में भटकना means ""to fall in the dark"" in English."
अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result","Dark love, dark result"
अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness,"To seek light in the dark by staying in the dark"" is a natural English idiomatic translation of the Hindi idiom ""अंधेरे में रहकर उजाला ढूँढना."
अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand,To put a lamp on the hands of the blind
अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way,अंधा भी रास्ता पहचान गया
अंधेरे से डरना,to fear ignorance or truth,to fear darkness,"The idiom ""अंधेरे से डरना"" means to be scared of the dark, which is a common phrase used in Hindi to describe a person who is afraid of the unknown or uncertain situations."
अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person,Show the direct path to the blind.
अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark,To light a lamp in the dark
अंधेरे में ताकना,to look aimlessly,to gaze into the dark,To look for something in the dark.
अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person,To keep an eye on someone.
अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path,To take a detour or go around a difficult or dangerous situation.
अंधेरे में खोज करना,to explore with uncertainty,to search in the dark,Searching in the dark for something.
अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants,Stealing the dark night's umbrella
अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person,"The idiom ""अंधे को दर्पण देना"" means to shine a light on someone or something, in this case, to expose or make known something that was previously hidden or unknown. It is often used to describe the act of bringing attention to a person or situation that was previously not acknowledged or recognized."
अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness,To make use of darkness
अंधेरे में झांकना,to peep into the unknown,to peep into the dark,"To look around in the dark"" or ""To look around in the dark."
अंधेरे से बाहर आना,to come out of ignorance,to come out of darkness,To come out of darkness
अंधा राजा राज्य चलाना,incompetent leadership,a blind king running the kingdom,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अंधे की झोपड़ी में रोशनी,to find hope where none was expected,light in the blind man’s hut,There is no light in the dark room.
अंधा काँटा निकालना,to help at personal risk,to remove a thorn blindly,To remove the blindfold from someone.
अंधा कानून चलाना,to enforce law without logic,to run/apply blind law,Keep it terse and faithful to each component.
अंधे को अंधेरे में छोड़ना,to abandon someone helpless,to leave the blind in darkness,अंधे को अंधेरे में छोड़ना
अंधेरे में रहना नहीं चाहिए,one should not stay ignorant,one should not stay in darkness,अंधेरे में रहना नहीं चाहिए
अंधे को दिशा देनी चाहिए,to help the clueless find their way,one should give direction to a blind person,The blind should be guided.
अंधेरे से डरना नहीं चाहिए,one should not fear truth,one should not fear darkness,Do not fear the darkness.
अंधेरे में दीप जलाना अच्छा है,to bring light even when alone,it is good to light a lamp in the dark,"It's good to light a lamp in the dark, but the lamp doesn't stay lit in the dark."
धरती पर पैर रखना,to stay humble despite success,to place feet on the earth,To stand firm on one's feet.
आसमान से गिरना,to lose everything suddenly,to fall from the sky,Fall from the sky
हवा में उड़ना,to daydream or be overconfident,to fly in the air,Fly the coop.
पानी में रहकर मगर से बैर,to pick fights with powerful people,"living in water, enmity with the crocodile","The idiom ""पानी में रहकर मगर से बैरी नहीं बनता"" means ""to be unable to make a difference in the face of overwhelming odds."" In simpler terms, it suggests that someone is powerless or ineffective when faced with a situation that is too difficult or impossible to overcome."
खुशियों के झूले झूलना,to live in joy,to swing on swings of happiness,To be carefree and happy.
रंगीन मिज़ाज होना,to be flirtatious or fun-loving,to have a colorful temperament,To have a colorful mood with one's friends is very easy.
दिल से खेलना,to toy with someone’s feelings,to play with the heart,Playing with one's heart
दिल का मामला,a romantic issue,matter of the heart,The matter of the heart
दिल बड़ा रखना,to be generous or forgiving,to keep the heart big,Keep it terse and faithful to each component.
दिल छोटा मत करो,don’t lose hope,don’t make the heart small,Don't be too narrow-minded.
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it,To put one's heart in and take it out
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden,To keep the heart's marrow thin.
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship,Heart to heart connection
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart,"The idiom ""दिल में आग लगाना"" can be translated to ""to ignite the heart"" in English."
दिल देना और लेना,to love and reciprocate,to give and take the heart,Give and take.
दिल पर राज करना,to rule someone’s heart,to rule over the heart,Rule your heart
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart,"The idiom ""दिल पर बोझ होना"" means that something is so intense or overwhelming that it causes emotional distress or distress. It is a Hindi idiom that is often used to describe a situation where someone feels overwhelmed or emotionally affected by something."
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind,"The idiom ""दिमाग में खिचड़ी पकना"" means ""to think of something in a roundabout way"" or ""to think of something indirectly."" In other words, it refers to coming up with an idea or solution through a circuitous route or by going around the subject."
दिमाग का दही बनाना,to confuse someone completely,to make the brain into curd,"The idiom ""दिमाग का दही बनाना"" can be translated as ""to make one's brain boil"" in English."
दिमाग खपाना,to think very hard,to expend/wear out the brain,To use one's brain to think deeply and critically about something.
दिमाग लगाना ज़रूरी है,to use common sense,it is necessary to apply the brain,It's crucial to think carefully before making a decision or taking action.
मुँह में ज़ुबान नहीं,to be timid or silent,no tongue in the mouth,Don't keep your teeth in your mouth.
मुँह पर बोलना,to speak directly,to speak on the face,"To talk too much, without thinking about the consequences."
मुँह मीठा कराना,to celebrate success with sweets,to make the mouth sweet,"Don't just make your mouth sweet, but also your body needs to be taken care of."
नाक कटना,to lose honor,for the nose to be cut,"Cutting the nose"" is not a natural English idiom, but it can be used to describe someone who is taking extreme measures to get back at someone else."
नाक ऊँची करना,to make someone proud,to raise the nose high,To make a big deal out of something.
नाक बचाना,to save face,to save the nose,To keep the nose in place.
नाक दबाना,to force acceptance,to press the nose,नाक दबाना नहीं करना
नाक चढ़ाना,to act proudly,to raise the nose,"The literal translation of ""नाक चढ़ाना"" is ""to stick one's nose in,"" but this doesn't convey the idiomatic meaning of being nervous or anxious. A natural English idiomatic translation would be ""to be on edge"" or ""to be anxious."
कान खड़े करना,to become alert,to make the ears stand up,To listen carefully or to concentrate on hearing something.
कान में बात डालना,to inform secretly,to put the matter into the ear,To ignore something
कान में जूँ न रेंगना,to remain unaffected,not even a louse crawls in the ear,Don't let your ears ring.
पैरों तले ज़मीन खिसकना,to be shocked or panicked,the ground slipping from under the feet,"The idiom ""पैरों तले ज़मीन खिसकना"" is used to describe a situation where someone loses balance and falls, often due to unexpected circumstances or a lack of stability."
पैर उखड़ना,to lose stability,for the feet to get uprooted,"The idiom ""पैर उखड़ना"" is translated as ""to kick the bucket"" in English."
हाथ बाँधकर बैठना,to stay idle or helpless,to sit with hands tied,(Hāth baṅkhār bāṭhānā)
हाथ उठाना,to hit or bless,to raise the hand,To raise one's hand is not better
हाथ साफ़ करना,to steal cleverly,to clean the hand,(to make something clear or understandable)
हाथ में खेलना,to control completely,to play in the hand,Playing with one's hands
सिर पर चढ़ना,to take advantage of leniency,to climb on the head,"The literal English translation of ""सिर पर चढ़ना"" (Sir par chhaddana) is ""to climb on one's head."" This idiom is used to describe someone who is extremely stubborn or refuses to accept any advice or criticism."
सिर पर सवार होना,to be obsessed or enraged,to be mounted on the head,"सिर पर सवार होना means to be in a position of authority or control over someone or something, as if riding on their head. It is often used to describe someone who is in a dominant or commanding position."
सिर ऊँचा रखना,to uphold dignity,to keep the head high,Keep it high and proud.
सिर पर तूफ़ान लाना,to invite big trouble,to bring a storm upon the head,"The idiom ""सिर पर तूफ़ान लाना"" can be translated to ""To cause a storm or disturbance in someone's life"" in natural English."
सिर फोड़ना,to fight violently,to smash/break the head,"To poke fun at someone"" or ""To make fun of someone"
सिर पर कर्ज़ होना,to be in debt,to have debt on the head,"A natural English idiomatic translation: ""To have a headache"
सिर का दर्द,a troublesome person,pain of the head,I have a headache.
सीने में जलन,to feel envy,burning in the chest,To be in a state of boiling
सीने पर बोझ,to feel guilt or burden,burden on the chest,"The literal translation doesn't make sense in English, so I'll provide a natural English idiomatic translation instead."
सीने में हवा भरना,to instill pride or ego,to fill air into the chest,"The idiom सीने में हवा भरना means ""to fill the air with noise or excitement,"" while the literal translation ""Fill the air with wind"" refers to spreading information widely and quickly."
सीना ठंडा होना,to feel relieved or avenged,for the chest to become cool,The audience is cold.
सीने पर हाथ रखना,to make a heartfelt promise,to keep a hand on the chest,"The idiom सीने पर हाथ रखना is used to describe a person who is not willing to accept or deal with something unpleasant or disagreeable. It is often used to describe a person who is trying to control or influence something, often in a negative way."
सीने में साँस न लेना,to be extremely scared,to not take breath in the chest,या बाहर न छूना
मन बनाना,to make up one’s mind,to make up the mind,The mind is sold out.
मन भर जाना,to lose interest,for the mind to become full,"The phrase ""Fill the mind with knowledge"" captures the essence of the idiom, conveying the idea of someone being very knowledgeable or having a lot of information in their mind."
मन खुश करना,to please someone,to make the mind happy,"The idiom ""मन खुश करना"" can be translated to English as ""to make one's mind happy."
मन बदलना,to change opinion suddenly,to change the mind,"I was going to do it, but then I changed my mind."
मन लगाकर काम करना,to work sincerely,to work having set the mind,To work with the mind.
मन जीत लेना,to win hearts,to win the mind,To win someone's heart or affection.
पहला पत्ता गिरने से पहले,by autumn / before the first leaf falls,before the first leaf falls,The second thing won't happen until the first thing is done.
जंजीरों में बंधा महसूस करना,to feel chained or trapped,to feel bound in chains,To feel like a prisoner in chains
मेरी बुरी किस्मत,just my bad luck,my bad luck,मेरी बुरी किस्मत को बाहर नहीं छोड़ना
मेरे जीते-जी,over my dead body / as long as I’m alive,while I'm alive,The little girl escaped from the clutches of the tiger.
दुम दबाकर निकल लेना,to run away in fear (tail between legs),to slip away with tail tucked,To leave with a blank stare.
घुटने टेक देना,to surrender / kneel in defeat,to kneel down,"The idiom ""घुटने टेक देना"" is translated into English as ""to give a little gift or favor."
कौड़ियों के भाव,for a pittance / dirt cheap,at the price of cowries (shells),To keep in mind the feelings of the poor
हाथ गंदे करना,to get one’s hands dirty (do something unsavory),to make one's hands dirty,"To be very careful or cautious, as if one's hands are covered in dirt."
लाड़-प्यार करना,to pamper / spoil,to dote and pamper,"The idiom ""लाड़-प्यार करना"" translates to ""Keep it terse and faithful to each component."
हर तरफ से घेर लेना,to box in / surround on all sides,to surround from all sides,"A natural English idiomatic translation: ""To surround everyone from all sides."
दिमाग पर छा जाना,to get stuck in one’s head,to spread over the mind,"The idiom ""दिमाग पर छा जाना"" translates to ""to have one's brain washed"" in English."
"धंधा पहले, मज़ा बाद में",business before pleasure,"business first, fun later",आता है।
आसमान छूना (भाव/कीमतें),"to be sky-high (prices, rates)",to touch the sky (prices/rates),"I won't put myself in a difficult situation"" or ""I won't take on unnecessary burdens."
औरत के पल्लू में छिपना,to hide behind a woman’s pallu (show cowardice),to hide behind a woman's pallu,A woman should not hide in her husband's clothing.
बच्चों को भूखा मारना,to let the kids go hungry / starve,to starve the children,"The idiom ""to starve children"" is a natural English translation of ""बच्चों को भूखा मारना"". It conveys the same meaning of causing discomfort or trouble to someone, but in a more direct and literal way."
