|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
24|कमर टूटना|"""To break one's back"""|to feel exhausted or discouraged|0.3607679307460785|0.617319643497467|0.0|0.6563388705253601|5
25|कमर कसना|"The idiom ""कमर कसना"" in Hindi translates to ""tightening the belt"" in English."|to prepare oneself for a challenge|0.4563440680503845|0.4866369366645813|0.0|0.3275420367717743|3
26|कलेजा पत्थर का होना|To have a heart of stone.|to be mentally or emotionally very strong|0.44165030121803284|0.8176297545433044|0.0|0.6372328996658325|1
27|दाँत खट्टे करना|To make someone's teeth sour or bitter.|to defeat someone badly|0.5216094851493835|0.7601919174194336|0.21874999999999997|0.615283727645874|2
28|ईंट से ईंट बजाना|To strike one brick against another|to completely destroy or demolish someone|0.4536106288433075|0.6070363521575928|0.0|0.6879478096961975|3
29|नाक में दम करना|To exert pressure or exertion, often figuratively, in order to achieve a goal or complete a task.|to annoy someone constantly|0.5051007270812988|0.4534812569618225|0.015037593984962405|0.42784249782562256|1
30|नाक पर मक्खी न बैठने देना|"""Not allowing even a fly to land on one's nose"""|to be strict or disciplined|0.4171198010444641|0.7923840284347534|0.0|0.5499170422554016|3
31|नाक कट जाना|"""To have one's nose cut off"""|to lose one's honor or respect|0.5805238485336304|0.8012338280677795|0.2580645161290323|0.6645357608795166|3
32|नाक में तेल डालकर सोना|To sleep with oil in the nose.|to sleep carefreely without worries|0.4160509407520294|0.8085328340530396|0.26865671641791045|0.6900554895401001|1
33|नाक का सवाल होना|"""It's a matter of pride."""|to be a matter of pride or ego|0.686442494392395|0.49146768450737|0.6779661016949152|0.7410153150558472|5
34|नाक भौं सिकोड़ना|To wrinkle one's nose and forehead|to show disapproval|0.3696132004261017|0.8033294081687927|0.0|0.5783637762069702|2
35|नाक नीची करना|To lower one's pride or dignity|to humiliate publicly|0.535295844078064|0.691758394241333|0.0|0.739876389503479|5
36|कान खड़े होना|"The idiom ""कान खड़े होना"" in Hindi translates to ""ears standing up"" in English. It is an idiomatic expression used to describe a situation where someone's attention is suddenly drawn to something, often due to a surprising or intriguing event or statement."|to become alert or suspicious|0.5728497505187988|0.4790838062763214|0.02666666666666667|0.3742017149925232|3
37|कान पर जूँ न रेंगना|"The idiom ""कान पर जूँ न रेंगना"" translates to ""not even a louse crawling on the ear."""|to remain unaffected or unmoved|0.3320666253566742|0.4798314571380615|0.0|0.38560250401496887|3
38|कान में तेल डालना|To pour oil in the ear|to ignore someone's words|0.44190290570259094|0.8411623239517212|0.0|0.4937831163406372|2
39|कान में फूंक मारना|"""To blow in the ear"""|to influence or manipulate someone secretly|0.3873918354511261|0.7497831583023071|0.0|0.5471456050872803|2
40|कान पकड़ना|To grab someone by the ear is an idiom that signifies a form of punishment or scolding. It is often used to indicate a situation where someone is being reprimanded or disciplined for their actions. The act of grabbing the ear is symbolic and serves as a physical representation of authority or control over the individual being disciplined.|to vow never to repeat a mistake|0.4142478406429291|0.40864309668540955|0.028235294117647056|0.22956408560276031|2
41|कान भरना|To fill someone's ears with misinformation or lies, often with the intention of misleading or manipulating them.|to manipulate someone against another|0.5786892771720886|0.5231168866157532|0.17391304347826086|0.6621964573860168|5
42|कान काटना|To cut someone's ear off.|to outsmart completely|0.513982355594635|0.8193193674087524|0.0|0.5520005226135254|2
43|आसमान सिर पर उठाना|To lift the sky above one's head.|to create a big commotion or panic|0.4497198760509491|0.8142402768135071|0.0|0.6276781558990479|2
44|आसमान से बातें करना|To talk to the sky|to reach great heights or success|0.5051979422569275|0.8266717195510864|0.0|0.5556622743606567|1
45|आसमान से गिरे खजूर में अटके|"""The date palm that fell from the sky got stuck in the tree."""|to fall from one trouble into another|0.49112340807914734|0.7613551020622253|0.12962962962962962|0.5618719458580017|2
46|आग बबूला होना|"""To become furious or extremely angry"""|to become extremely angry|0.8740227222442627|0.7793594598770142|0.6984126984126983|0.8986607789993286|5
47|आग में घी डालना|"""To pour oil into the fire"""|to worsen an already bad situation|0.5234830975532532|0.8321707248687744|0.0|0.5142823457717896|2
48|आग में कूदना|"""To jump into the fire"""|to take a dangerous risk|0.5519622564315796|0.8115649223327637|0.0425531914893617|0.6753168106079102|3
49|आग लगना|"The idiom ""आग लगना"" in Hindi translates to ""to catch fire"" in English. It describes a situation where something, often a problem or a situation, escalates rapidly and becomes uncontrollable, much like a fire spreading."|to become furious or jealous|0.4693716764450073|0.46477019786834717|0.046511627906976744|0.3633206784725189|3
50|आग ठंडी होना|"""For the fire to cool down"""|to calm down after anger|0.6700089573860168|0.7350689172744751|0.15384615384615383|0.6844271421432495|3
51|आग उगलना|"""To spit fire"""|to speak harshly or aggressively|0.4730718433856964|0.7955064177513123|0.09090909090909091|0.6027979850769043|1
52|आग से खेलना|Playing with fire.|to invite danger knowingly|0.6098952889442444|0.8643386363983154|0.0|0.5390088558197021|3
53|आग लगाना|To set fire to something|to instigate or provoke trouble|0.5004394054412842|0.8202632069587708|0.0|0.6413955688476562|3
54|आग दिखाना|"""To show fire"""|to show anger or power|0.5965112447738647|0.8042853474617004|0.3529411764705882|0.7220355868339539|2
55|आग लग जाना|"""To set something on fire"" or ""to ignite"""|to feel jealous or restless|0.43993157148361206|0.7077116966247559|0.057971014492753624|0.5057619214057922|2
56|आग बन जाना|"""To become a fire"""|to become furious|0.5946891903877258|0.7889678478240967|0.5|0.7606807947158813|2
57|आग पर तेल डालना|Pouring oil on fire|to intensify an argument or situation|0.42824456095695496|0.8567661046981812|0.0|0.5573523640632629|5
58|धूल चाटना|"""To lick the dust"""|to face defeat or humiliation|0.4663953483104706|0.7510483264923096|0.0|0.625041663646698|1
59|धूल फाँकना|To throw dust into someone's eyes, to deceive, to mislead, to hoodwink, to trick, to dupe, to fool, to bamboozle, to hoodoo, to lead astray, to misguide, to misdirect, to misinform, to mislead, to misrepresent, to misstate, to misguide, to mislead, to misinform, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead, to mislead|to struggle in poverty or hardship|0.2860604524612427|0.26813215017318726|0.0011621150493898896|0.3415506184101105|1
60|धूल झाड़ना|To shake off the dust|to scold or reprimand strongly|0.44429415464401245|0.8219130039215088|0.0392156862745098|0.5490542054176331|2
61|धूल में मिलाना|To mix or blend something into the dust, to the point of it becoming indistinguishable from the dust itself.|to destroy completely|0.488078773021698|0.7272453308105469|0.0|0.4520059823989868|4
62|धूल उड़ाना|To kick up a storm|to make a scene unnecessarily|0.531243622303009|0.686694324016571|0.0851063829787234|0.5448871850967407|4
63|धूल झोंकना|To throw dust in someone's eyes|to deceive or mislead someone|0.43666642904281616|0.7365108132362366|0.16129032258064518|0.6454116106033325|3
64|हवा निकल जाना|"The idiom ""हवा निकल जाना"" in Hindi translates to ""to lose steam"" in English. This idiom is used to describe a situation where something that was once energetic, enthusiastic, or promising loses its momentum and becomes less effective or impactful."|to lose courage suddenly|0.5020937323570251|0.5825187563896179|0.042704626334519574|0.34775927662849426|4
65|हवा खा जाना|To be left high and dry, or to be left in a difficult or vulnerable situation without any support or assistance.|to run away secretly|0.46583282947540283|0.47618284821510315|0.0|0.4883505403995514|1
66|हवा में उड़ाना|"""To blow something away"" or ""to make something disappear into thin air"""|to waste money carelessly|0.4261021912097931|0.7554945945739746|0.0|0.49180495738983154|4
67|हवा बन जाना|To become a force to be reckoned with; to gain momentum and influence.|to disappear quickly|0.4928726255893707|0.48513063788414|0.0|0.48632413148880005|2
68|हवा में बात करना|To talk about something that is not real or has no substance, like the wind.|to speak without proof or sense|0.6225109696388245|0.48431655764579773|0.05128205128205129|0.6917507648468018|4
69|हवा लगना|"""To catch a cold"" or ""to get a chill"""|to be influenced by others|0.32976704835891724|0.5791484117507935|0.0|0.4780975580215454|2
70|हवा देना|To give someone a break or a chance.|to encourage or instigate something|0.5541532039642334|0.6869379878044128|0.13513513513513511|0.6721587181091309|1
71|हवा बदलना|"""To change the wind"""|to change situation or environment|0.6045783758163452|0.7914038896560669|0.3018867924528302|0.6984080672264099|4
72|हवा चखना|"""To taste the air"""|to get a taste of something new (usually trouble)|0.5206006765365601|0.8006213903427124|0.14492753623188406|0.7004051208496094|4
73|हवा बंद होना|"""The wind has stopped blowing."""|to lose confidence completely|0.4607924222946167|0.8166503310203552|0.0|0.5198726654052734|3
74|आँख में धूल झोंकना|To deceive someone by making them believe something that is not true, or to mislead them by providing false information.|to deceive or fool someone|0.7472132444381714|0.5946106314659119|0.2125|0.8299950957298279|5
75|आँखें फटी की फटी रह जाना|"""To be left with one's eyes wide open in amazement or disbelief"""|to be shocked or amazed|0.6613965630531311|0.709932804107666|0.18947368421052635|0.7876806259155273|5
76|आँखों में धूल झोंकना|To deceive someone by creating a false impression or misleading them.|to cheat someone cleverly|0.5919436812400818|0.6779054403305054|0.1414141414141414|0.6456050276756287|5
77|आँखों में बस जाना|To be etched into the eyes|to win someone’s heart|0.5083729028701782|0.7167319059371948|0.0|0.6394866704940796|2
78|आँखों से ओझल होना|To be out of sight, to disappear from view, to be unseen, to vanish from sight, to be no longer visible.|to disappear from sight|0.7188586592674255|0.5964176654815674|0.3188405797101449|0.7306352853775024|4
79|आँख दिखाना|"""To show someone their place"" or ""to put someone in their place"""|to threaten or scold harshly|0.4067251980304718|0.38523754477500916|0.04123711340206185|0.5561947226524353|4
80|आँख तरेरना|"""To glare with eyes"" or ""to give someone a hard stare"""|to glare angrily|0.6107580065727234|0.5789591073989868|0.19444444444444445|0.7590595483779907|4
81|आँखें फाड़ना|"To ""आँखें फाड़ना"" (āṅkheṅ fāṛnā) in Hindi can be translated as ""to stare wide-eyed"" or ""to gape in amazement"" in English. This idiom conveys the idea of someone being so surprised or amazed by something that their eyes widen in disbelief or awe."|to stare in surprise|0.5457637310028076|0.45076754689216614|0.11636363636363636|0.46697381138801575|5
82|आँखें मूँदना|To shut one's eyes|to ignore intentionally|0.5551618337631226|0.8319816589355469|0.0|0.5383698344230652|3
83|आँखों में आँसू आना|"In English, the idiom ""आँखों में आँसू आना"" can be translated as ""to have tears in one's eyes."" This phrase conveys the emotional state of a person who is overcome with sadness, grief, or strong emotions, resulting in the presence of tears in their eyes."|to become emotional or sad|0.5788844227790833|0.5588048696517944|0.1111111111111111|0.2819514870643616|4
84|दिल लगाना|To put one's heart into something|to fall in love|0.5428344011306763|0.7962204217910767|0.0|0.6611155867576599|4
85|दिल तोड़ना|Breaking someone's heart is an idiom that conveys the idea of causing emotional pain or distress to another person, often as a result of a romantic relationship ending or a betrayal of trust. It implies that the person's feelings have been deeply hurt and their emotional state has been significantly affected.|to break someone's heart|0.638462245464325|0.42533233761787415|0.08421052631578947|0.5466159582138062|4
86|दिल जीतना|To win someone's heart|to win someone's affection|0.9271638989448547|0.8392593860626221|0.7083333333333333|0.8757129907608032|5
87|दिल पर लेना|To take something to heart, to be deeply affected by something, to feel the weight of a situation or words.|to take something personally|0.6231828331947327|0.429231196641922|0.2312925170068027|0.5953454375267029|5
88|दिल लगाकर काम करना|To work with dedication and commitment.|to work wholeheartedly|0.8300020098686218|0.780901312828064|0.23333333333333334|0.786210834980011|4
89|दिल में बात रखना|To keep something in one's heart|to hide one’s feelings|0.6516433358192444|0.7799519300460815|0.21428571428571427|0.7660473585128784|4
90|दिल पर पत्थर रखना|To have a heart of stone|to act bravely despite pain|0.5524927377700806|0.7420992255210876|0.0|0.6530765295028687|4
91|दिल जलना|"""To burn with jealousy"""|to feel jealous or envious|0.5636061429977417|0.6101682782173157|0.20833333333333331|0.7985637784004211|5
92|दिल बहलाना|To console or comfort one's heart.|to distract from sadness|0.6255451440811157|0.7771919965744019|0.0|0.7001120448112488|4
93|दिल धड़कना|"""The heart beats"""|to feel nervous or excited|0.4093128740787506|0.6646523475646973|0.0|0.6484111547470093|1
94|दिल खोलकर देना|"""To give with an open heart"""|to be generous|0.6873654723167419|0.792231023311615|0.0|0.7111924290657043|5
95|दिल में चोर होना|To have a thief in one's heart|to have guilt or bad intentions|0.48827680945396423|0.8252896070480347|0.1846153846153846|0.6548750996589661|3
96|दिल में बसना|To reside in the heart.|to be deeply loved or remembered|0.5082428455352783|0.831947922706604|0.0|0.6987798810005188|3
97|दिल का हाल बताना|"""To express one's heart's condition or feelings."""|to express inner feelings|0.719703733921051|0.7698308825492859|0.41558441558441556|0.7435336112976074|5
98|दिल टूट जाना|"""To break one's heart"""|to feel heartbroken|0.6237875819206238|0.6705266237258911|0.15384615384615383|0.8187174797058105|4
99|दिल खुश हो जाना|"""To be delighted"" or ""to be overjoyed"""|to become happy|0.5433477163314819|0.6553534269332886|0.0784313725490196|0.7159348726272583|2
100|दिल में बात आना|"""To have a thought or feeling come to one's heart"""|to get an idea or feeling|0.6292682886123657|0.7375121712684631|0.21951219512195125|0.7305183410644531|4
101|दिल से उतर जाना|"""To lose heart"" or ""to become disheartened"""|to lose affection or trust|0.5700718760490417|0.6575519442558289|0.2608695652173913|0.6749897599220276|4
102|दिल से लगाना|To embrace with one's heart|to love or treat affectionately|0.5066090822219849|0.7997703552246094|0.0|0.6472657918930054|3
103|दिल लगा रहना|"""To have one's heart in it"""|to stay interested or focused|0.45688334107398987|0.693800151348114|0.0|0.6583230495452881|5
104|दिमाग चलना|"""The mind is functioning."""|to think cleverly|0.6001708507537842|0.6175731420516968|0.0|0.6495963931083679|3
105|दिमाग खराब होना|"""To have a faulty mind"" or ""to have a malfunctioning brain"""|to lose temper or sanity|0.5680835247039795|0.6840287446975708|0.04597701149425287|0.6290542483329773|2
106|दिमाग लगाना|To put one's mind to something, to concentrate, to focus one's attention, to apply oneself, to give something one's full attention, to use one's brain, to think hard, to ponder, to contemplate, to consider carefully, to give something serious thought, to rack one's brain, to use one's intellect, to engage one's cognitive abilities, to apply one's mental faculties.|to use intelligence or creativity|0.5668567419052124|0.3927558958530426|0.04035874439461883|0.508250892162323|2
107|दिमाग ठिकाने लगाना|To put one's mind in order|to discipline or bring to senses|0.6622501611709595|0.7751718759536743|0.0|0.6586445569992065|5
108|दिमाग का दही होना|"""To have curdled brain"""|to get mentally exhausted|0.5316614508628845|0.5051885843276978|0.0|0.66078120470047|2
109|दिमाग घुमाना|"""To twist one's mind"""|to confuse or manipulate someone|0.46375423669815063|0.7170752882957458|0.0|0.694230854511261|3
110|दिमाग का ताला खोलना|"""Unlocking the mind's lock"""|to start thinking or understanding|0.5579205751419067|0.8182776570320129|0.06557377049180327|0.6924302577972412|5
111|दिमाग खाना|"""To eat one's mind"""|to irritate by constant nagging|0.4207957088947296|0.6586607694625854|0.0|0.5221513509750366|2
112|दिमाग लग जाना|To engage one's mind or intellect fully in a task or situation.|to focus attention on something|0.678953230381012|0.6603899002075195|0.0196078431372549|0.6903764605522156|4
113|दिमाग में बात आना|"The idiom ""दिमाग में बात आना"" translates to ""to understand something"" or ""to get the idea"" in English. It implies that a person has grasped the concept or the meaning of something, and it has registered in their mind."|to get a sudden idea|0.4969309866428375|0.4649043381214142|0.07468879668049792|0.4259389042854309|2
114|पानी-पानी होना|"The idiom ""पानी-पानी होना"" (paani-paani hona) in Hindi translates to ""to be drenched"" or ""to be soaked"" in English. It describes a situation where someone or something is completely wet, as if they have been immersed in water."|to feel embarrassed or ashamed|0.42700621485710144|0.5391693115234375|0.038022813688212934|0.2610487937927246|3
115|पानी फिर जाना|"The idiom ""पानी फिर जाना"" in Hindi translates to ""to go back to square one"" in English. This idiom is used to describe a situation where one has to start over from the beginning, as if they have lost all progress and are back at the initial stage. It conveys the idea of returning to a previous point or state, often due to unforeseen circumstances or setbacks."|to have plans fail suddenly|0.5032960772514343|0.4544605314731598|0.018823529411764708|0.2804965078830719|1
116|पानी मांगना|"""To ask for water"""|to beg for mercy|0.646274745464325|0.8229978084564209|0.18750000000000003|0.6290469169616699|3
117|पानी उतारना|To calm someone down, to soothe their anger or frustration, to bring them back to a state of composure and tranquility.|to humiliate someone publicly|0.508089542388916|0.6018025279045105|0.09937888198757765|0.474629282951355|2
118|पानी सिर से गुजरना|"The idiom ""पानी सिर से गुजरना"" translates to ""water passing over the head"" in English."|to reach the limit of patience|0.38987448811531067|0.5524082183837891|0.06|0.3534814417362213|3
119|पानी में आग लगाना|To set fire to water|to attempt the impossible|0.515350878238678|0.8512437343597412|0.0|0.6288126111030579|3
120|पानी पर लिखा|"The phrase ""पानी पर लिखा"" translates to ""writing on water"" in English."|to be temporary or futile|0.4130890667438507|0.5259769558906555|0.0|0.31948161125183105|3
121|पानी बराबर होना|To be on equal footing or to be at par with someone or something.|to be equal in strength or skill|0.6988958120346069|0.6788520812988281|0.22222222222222227|0.6936152577400208|4
122|पानी पीना|To drink water|to feel comfortable after fear|0.522627055644989|0.8522322773933411|0.0|0.5103371143341064|2
123|पानी मांगना पड़ना|"""To have to beg for water"""|to be defeated badly|0.46549850702285767|0.8062136769294739|0.08695652173913043|0.6803956031799316|2
124|पानी लाना|To bring water.|to bring respect or reputation|0.588261604309082|0.8259991407394409|0.32558139534883723|0.5095002055168152|3
125|हाथ बँटाना|"""To lend a helping hand"""|to help or assist someone|0.5683637261390686|0.7693019509315491|0.08163265306122448|0.8306159973144531|5
126|हाथ धोकर पीछे पड़ना|To pursue someone with great determination and persistence, as if one were washing their hands and then immediately turning around to chase after them.|to chase or target relentlessly|0.6040130257606506|0.4381956160068512|0.07|0.6698707342147827|4
127|हाथ खड़े कर देना|To render someone helpless or powerless.|to give up completely|0.5106779336929321|0.6144306063652039|0.0|0.6395748853683472|4
128|हाथ पाँव फूल जाना|"""To have one's hands and feet swell up"""|to panic or get nervous|0.46098071336746216|0.7805025577545166|0.0|0.6177281141281128|1
129|हाथ मलना|"""To rub one's hands"""|to regret something deeply|0.35354599356651306|0.7502502202987671|0.044444444444444446|0.5867242217063904|1
130|हाथ साफ़ होना|To be clean-handed.|to be skilled or experienced|0.5767769813537598|0.7959825992584229|0.17391304347826086|0.5764564871788025|2
131|हाथ पर हाथ धरे रहना|To keep one's hands folded, to remain idle, to do nothing, to be inactive, to be passive, to be unproductive, to be unmotivated, to be lazy, to be sluggish, to be lethargic, to be uninvolved, to be indifferent, to be apathetic, to be disinterested, to be unconcerned, to be uncommitted, to be unenthusiastic, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be detached, to be aloof, to be dispassionate, to be uninvolved, to be uncommitted, to be unmotivated, to be uninspired, to be unengaged, to be disengaged, to be|to do nothing|0.4127861261367798|0.2943311333656311|0.010826771653543305|0.5339695811271667|2
132|हाथ की सफाई दिखाना|To show a clean hand|to show cleverness or skill|0.5585389733314514|0.8351268768310547|0.29787234042553196|0.5835219621658325|3
133|हाथ में लेना|To take control or responsibility over something.|to take responsibility for something|0.8228517174720764|0.7939065098762512|0.6436781609195402|0.8052220344543457|5
134|हाथ से निकल जाना|"""To slip out of one's hands"""|to miss an opportunity|0.4788980185985565|0.7586542367935181|0.0|0.6747124195098877|4
135|हाथ लगना|"The idiom ""हाथ लगना"" translates to ""to get one's hands on"" or ""to come across"" in English. It is used to describe the act of obtaining or acquiring something, often by chance or unexpectedly. The literal translation of ""हाथ लगना"" is ""to touch with one's hands,"" but the idiom conveys a broader meaning of acquiring or obtaining something, especially when it is unexpected or fortunate."|to get caught or succeed|0.5086982846260071|0.36039867997169495|0.03225806451612903|0.25969231128692627|5
136|हाथ धोना|To wash one's hands|to lose something completely|0.3390360176563263|0.8301297426223755|0.0|0.6003516316413879|1
137|हाथ मिलाना|To shake hands|to collaborate or agree|0.4627801477909088|0.8440524339675903|0.0|0.5892081260681152|3
138|हाथ बाँधना|To tie someone's hands|to restrict or tie someone’s ability|0.663734495639801|0.7709553241729736|0.5|0.767524242401123|3
139|हाथ ऊँचा होना|"""To have one's hand raised"" or ""to be in a position of power or authority"""|to be more powerful or dominant|0.5901350378990173|0.5240541696548462|0.1565217391304348|0.6836771368980408|4
140|हाथ जलना|"""To burn one's hand"""|to learn by mistake|0.4704742431640625|0.7128671407699585|0.0|0.6520195603370667|1
141|हाथ थामना|"""To hold someone's hand"""|to support someone|0.5722377896308899|0.7990596294403076|0.25|0.6882916688919067|3
142|हाथ पसारना|To stretch out one's hand|to beg or plead|0.45820045471191406|0.7988396883010864|0.0|0.5230386257171631|1
143|हाथ काटना|To cut off one's own hand.|to separate or break relation|0.42853501439094543|0.7402754426002502|0.0|0.5326681733131409|1
144|हाथ मोड़ना|To fold one's hands|to refuse or reject something|0.3855111598968506|0.7799583673477173|0.0|0.5293826460838318|1
145|पैर पसारना|To spread one's legs.|to spend or expand beyond means|0.41747352480888367|0.7623496055603027|0.07547169811320754|0.606299638748169|2
146|पैर जमाना|To establish oneself firmly in a particular field or position.|to settle firmly|0.6876918077468872|0.5892329216003418|0.09876543209876543|0.6781980395317078|4
147|पैर पकड़ना|To grasp or hold onto someone's foot as a sign of respect or submission.|to beg for forgiveness|0.43154945969581604|0.7242684364318848|0.0|0.487623393535614|2
148|पैर तले ज़मीन खिसकना|"The idiom ""पैर तले ज़मीन खिसकना"" in Hindi translates to ""to have the ground slip from under one's feet"" in English."|to be shocked or lose ground|0.42540690302848816|0.5564094185829163|0.07575757575757576|0.38209158182144165|3
149|पैर पर कुल्हाड़ी मारना|To cut off one's own legs|to harm oneself by one’s own actions|0.546697735786438|0.6043360233306885|0.33333333333333337|0.6426005363464355|2
150|पैर पीछे खींचना|"""To withdraw one's foot"""|to withdraw from commitment|0.49093589186668396|0.7515594363212585|0.4|0.6756331920623779|1
151|पैर फैलाना|To stretch one's legs|to extend scope gradually|0.5252001285552979|0.814604640007019|0.0|0.46543437242507935|1
152|पैर रोकना|"""To stop the feet"""|to restrain or hesitate|0.4696708023548126|0.692734956741333|0.0|0.6953283548355103|1
153|पैर रखना|To put one's foot down|to begin something new|0.4351445138454437|0.6812425255775452|0.0|0.5982111692428589|3
