src,explanation_used,literal_used,final_translation,QE_final,QE_literal,QE_explanation,DA_final,DA_literal,DA_explanation,QE_final_gt_literal,DA_final_gt_literal
下不为例,Not to be repeated,Not an example,This is a one-time exception.,-0.43864205479621887,-0.7327655553817749,-0.650681734085083,0.5432827472686768,0.570101797580719,0.9779853224754333,1.0,0.0
笑里藏刀,An iron hand in a velvet glove,Hidden knife in laughter,a dagger behind a smile,-0.9498692154884338,-0.5485989451408386,-1.136720895767212,0.5630972981452942,0.507783055305481,0.9522997140884399,0.0,1.0
不明不白,Inexplicable,Do not understand,It makes no sense.,-0.15646317601203918,-0.699638307094574,0.13947419822216034,0.6819266676902771,0.6820986270904541,0.9880074858665466,1.0,0.0
人欢马叫,"A busy, prosperous country scene",People cheering horses,bustling with people and horses,-1.0123320817947388,-0.5795266628265381,-0.878976047039032,0.485693097114563,0.4171670973300934,0.9765320420265198,0.0,1.0
响彻云霄,Resound (or reverberate) through the skies,Resounding through the sky,Ring out across the sky.,-0.39829668402671814,-0.26995113492012024,-0.2060794234275818,0.5997532606124878,0.757387638092041,0.9667083621025085,0.0,0.0
笨鸟先飞,The need to start early (used as a modest expression of one's need for caution),Stupid bird fly first,I need to get an early start.,-0.7451492547988892,-0.427288681268692,-0.7696948051452637,0.46954911947250366,0.3465997874736786,0.935880720615387,0.0,1.0
响遏行云,(of singing) reverberate through the skies,Sound stop cloud,Her voice echoed through the heavens.,-0.42054009437561035,-0.8821007609367371,-0.832794725894928,0.6613644957542419,0.44143912196159363,0.935424268245697,1.0,1.0
乘虚而入,Act when somebody is off guard,Take advantage of,Strike while they're off guard.,-0.8738718628883362,-0.964363157749176,-1.1256139278411865,0.6402074694633484,0.4087071716785431,0.9590387940406799,1.0,1.0
不违农时,Do farm work in the right time,Does not violate the agricultural time,Work the land in season.,-0.8957210183143616,-0.5777210593223572,-0.35150688886642456,0.6794516444206238,0.5690296292304993,0.9697899222373962,0.0,1.0
不到黄河心不死,Not give up till coming to a dead end,"If you don't reach the Yellow River, your heart will not die",Won't give up until the bitter end.,-0.6053571701049805,-1.07631516456604,-0.7741746306419373,0.6930626034736633,0.43534523248672485,0.9564528465270996,1.0,1.0
箭在弦上,A point of no return,Arrow on the string,There's no turning back now.,-0.5178779363632202,-0.7492513060569763,-0.5050684809684753,0.7597001791000366,0.4576759934425354,0.980182945728302,1.0,1.0
人弃我取,I will take whatever others don't want,People abandon me,I'll take what others leave behind.,-0.7201128005981445,-0.6013423204421997,-1.0022069215774536,0.6754368543624878,0.46887877583503723,0.9602499604225159,0.0,1.0
一板三眼,Following a prescribed pattern in speech or action,One board and three eyes,By the book.,-1.4336639642715454,-0.46444427967071533,-0.7355282306671143,0.4146970212459564,0.42609599232673645,0.9529700875282288,0.0,0.0
项背相望,(walk) one after another in close succession,Facing each other,one right after another,-0.9369613528251648,-0.9221339225769043,-0.9753421545028687,0.5991584658622742,0.4274559020996094,0.9502982497215271,0.0,1.0
项庄舞剑，意在沛公,Act with a hidden motive,"Xiang Zhuang dances the sword, aiming at Pei Gong",a show with an ulterior motive,-0.889985978603363,-0.6630884408950806,-0.6607447862625122,0.7324420809745789,0.3801160752773285,0.9733231067657471,0.0,1.0
管中窥豹，可见一斑,Conjure the whole thing through seeing a part of it,"Peeping the leopard in the tube, it can be seen",You can judge the whole by a single glimpse.,-0.6438282132148743,-1.074581503868103,-0.8025820255279541,0.617983341217041,0.45548495650291443,0.9433054327964783,1.0,1.0
筚路蓝缕,The pioneering spirit,Bilu blue thread,pioneering spirit,-0.4073674976825714,-0.8903495669364929,-0.06216278299689293,0.9392758011817932,0.46049487590789795,0.9719954133033752,1.0,1.0
不易之论,Unalterable truth,Not easy theory,immutable truth,-0.7509250044822693,-0.2686825692653656,-0.5822210907936096,0.8427847027778625,0.5775570273399353,0.9820567965507507,0.0,1.0
三五成群,In threes and fours,Groups of three or five,in small groups,-0.573718249797821,-0.4838871657848358,-1.0634821653366089,0.4965585768222809,0.610004186630249,0.9557759761810303,0.0,0.0
人琴俱亡,Mourn (or grieve) over the dead at sight of his things left,Everyone is dead,Seeing his things breaks my heart.,-0.7575139999389648,-0.5776059031486511,-0.9214603900909424,0.4420059621334076,0.44760990142822266,0.8987528085708618,0.0,0.0
不打不成相识,"No discord, no concord",Do not know each other,Quarrels can lead to friendship.,-0.706569254398346,-0.7008947730064392,-1.0097018480300903,0.5262718200683594,0.5247630476951599,0.973737359046936,0.0,1.0
箪食壶浆,Welcome (an army) with food and drink,Tanshi pot pulp,Welcome them with food and drink.,-0.5615878701210022,-0.8607311844825745,-1.0338413715362549,0.7551155686378479,0.4269151985645294,0.9566842913627625,1.0,1.0
顺藤摸瓜,Track down somebody or something by following clues,Follow the vine,Follow the clues.,-0.5821239352226257,-0.9493067860603333,-0.6713340878486633,0.6948768496513367,0.4698014259338379,0.9634281992912292,1.0,1.0
米珠薪桂,Exorbitantly high cost of living,Mi Zhu Xin Gui,Prices are sky-high.,-0.5470460057258606,-0.5076792240142822,-0.4633679986000061,0.6815835237503052,0.3081984519958496,0.9717921614646912,0.0,1.0
顺理成章,Speak (or write) logically,It's a matter of course,It stands to reason.,-0.4795420467853546,-0.4609326422214508,-0.5592477321624756,0.4499765932559967,0.4750722646713257,0.9787339568138123,0.0,0.0
不一而足,It is by no means an isolated case,And so on,It's far from an isolated case.,-0.2731073796749115,-0.28566357493400574,-0.05589982494711876,0.9213038682937622,0.48616042733192444,0.9788469672203064,1.0,1.0
一步登天,Have a meteoric rise,One step to the sky,shoot to the top,-0.8518170118331909,-0.6656150221824646,-0.6979568600654602,0.5822316408157349,0.5247036814689636,0.967070996761322,0.0,1.0
上无片瓦，下无插针之地,As poor as a church mouse,"No tiles on top, no pins on the bottom",As poor as a church mouse.,-1.3476858139038086,-0.46660107374191284,-1.2176328897476196,0.9332693219184875,0.37308943271636963,0.9721840023994446,0.0,1.0
下马看花,On-the-spot investigation,Dismount to see flowers,Go see for yourself.,-0.8974589705467224,-0.9274633526802063,-1.2769356966018677,0.46740126609802246,0.47641971707344055,0.9785763621330261,1.0,0.0
不厌其烦,Take great pains,Take the trouble,go to great lengths,-0.5875258445739746,-0.6506112217903137,-0.5040912628173828,0.6947001814842224,0.655271053314209,0.9762851595878601,1.0,1.0
顺手牵羊,Take something that doesn't belong to oneself,Take the sheep by the hand,To pocket something,-1.1671518087387085,-0.42931485176086426,-0.9616010785102844,0.4045010209083557,0.3393494486808777,0.9349480271339417,0.0,1.0
顺水推舟,Do something without extra effort,Push the boat,Go with the flow.,-0.31315353512763977,-1.043955683708191,-0.7913282513618469,0.47000300884246826,0.3931485712528229,0.9683920741081238,1.0,1.0
一拍即合,Fit in readily,Hit it off,They hit it off.,-0.8570964336395264,-0.9569205641746521,-0.6632761359214783,0.45509591698646545,0.4783937633037567,0.9843893051147461,1.0,0.0
粥少僧多,Not enough to go around,"Less porridge, more monks",There's not enough to go around.,-1.1404513120651245,-0.98180091381073,-1.0351160764694214,0.8519656658172607,0.42992326617240906,0.9695125222206116,0.0,1.0
一鼻孔出气,Be in tune with,Exhale through one nostril,Be on the same page.,-0.8804516196250916,-0.3560245931148529,-1.1940213441848755,0.578840434551239,0.5095560550689697,0.9575669765472412,0.0,1.0
事不关己，高高挂起,Let things drift if they do not affect one personally,"It's none of your business, hang up",Not my problem.,-0.8485726714134216,-0.880262553691864,-0.8877002596855164,0.5127678513526917,0.492849737405777,0.9612686634063721,1.0,1.0
事不宜迟,We must attend to the matter immediately,Without further ado,There's no time to lose.,-0.4435160458087921,-0.24284350872039795,-0.5404858589172363,0.4995933473110199,0.4704829156398773,0.9778005480766296,0.0,1.0
粗枝大叶,In a slipshod manner,Thick branches and large leaves,slapdash,-1.123144268989563,-0.0441063828766346,-0.7434199452400208,0.4455709457397461,0.4389450252056122,0.9539951682090759,0.0,1.0
顺水人情,A favor done at little cost to oneself,Shun Shui Favor,A favor done while you're at it.,-1.1204118728637695,-1.3033865690231323,-0.9865480065345764,0.5235899090766907,0.3531227707862854,0.9428060054779053,1.0,1.0
一抔黃土,Mere dust heaps,A handful of loess,just a handful of dust,-0.16475164890289307,-0.6088384985923767,-0.7665504813194275,0.5698882341384888,0.4557587206363678,0.9626306295394897,1.0,1.0
颂古非今,Eulogize the past at the expense of the present,Praise the past,Glorify the past at the expense of the present.,-0.5950331091880798,-0.607405960559845,-0.5791918039321899,0.8650371432304382,0.6710205078125,0.9460868835449219,1.0,1.0
不打自招,A self-confession,Don't make a fool of yourself,He gave himself away.,-0.8851860165596008,-0.7895225286483765,-0.9140576720237732,0.5429753065109253,0.45575830340385437,0.9769786596298218,0.0,1.0
下车伊始,The moment one takes up one's official post,Get off at the beginning,Upon taking office.,-0.6329302191734314,-0.6065394282341003,-0.5135800242424011,0.5702308416366577,0.42444124817848206,0.9599522948265076,0.0,1.0
约法三章,Make a few simple rules to be observed by all concerned,Three chapters of the covenant,Set a few basic ground rules.,-0.3180438280105591,-0.2564355731010437,-0.17304092645645142,0.6896414160728455,0.4715822637081146,0.9556871652603149,0.0,1.0
一模一样,Exactly alike,Exactly the same,Exactly the same.,0.33871832489967346,0.29526689648628235,0.07377971708774567,0.8803668022155762,0.9097732901573181,0.9870185256004333,1.0,0.0
乞哀告怜,Piteously beg for help,Beg for pity,plead for pity,-0.11397981643676758,-0.25673529505729675,-0.2687898278236389,0.7329466938972473,0.6976900696754456,0.9794065356254578,1.0,1.0
顽石点头,(be so persuasive as to make) the insensate stones nod in agreement,Stubborn stone nod,move even the hardest heart,-0.7130745649337769,-0.895505428314209,-0.45958414673805237,0.4557177722454071,0.38288041949272156,0.9378517270088196,1.0,1.0
不遗余力,Do one's utmost,Spare no effort,Spare no effort.,0.121596559882164,0.15133588016033173,-0.4665508568286896,0.5296992659568787,0.5189950466156006,0.968410313129425,0.0,1.0
头痛医头，脚痛医脚,Treat symptoms but not the disease,"Headache doctor head, foot pain doctor foot","Treating the symptoms, not the cause.",-0.975697934627533,-0.8138194680213928,-1.0435686111450195,0.876693069934845,0.4112292528152466,0.9733330607414246,0.0,1.0
纷至沓来,Come in a continuous stream,One after another,They came pouring in.,-0.90412837266922,-0.501177966594696,-0.7469974160194397,0.6128010749816895,0.49710920453071594,0.9697444438934326,0.0,1.0
一盘散沙,Lacking a spirit of cooperation,A plate of loose sand,a loose coalition,-0.629328727722168,-0.25363579392433167,-0.4338341951370239,0.5540949702262878,0.48169776797294617,0.9767150282859802,0.0,1.0
不进则退,"Move forward, or you'll fall behind",Not advance or retreat,"If you don't move forward, you'll fall behind.",-0.33852460980415344,-0.931427001953125,-0.41802674531936646,0.8431471586227417,0.47072476148605347,0.968265175819397,1.0,1.0
事倍功半,Do twice the work with half of results,Do more with less,"Twice the effort, half the results.",-0.5530886650085449,-0.7261713743209839,-0.5313349962234497,0.7839928269386292,0.672490656375885,0.9573933482170105,1.0,1.0
精兵简政,Streamlined administration,Efficient and streamlined administration,Downsize and streamline the bureaucracy.,0.01649639382958412,-0.07110239565372467,-0.4897017180919647,0.7636832594871521,0.8865901827812195,0.9814473390579224,1.0,0.0
绝处逢生,Escape by the skin of one's teeth,Life in desperation,A narrow escape.,-0.9987087845802307,-0.6512179970741272,-1.2501938343048096,0.45258739590644836,0.45822522044181824,0.906600832939148,0.0,0.0
不管三七二十一,Come what may,No matter what,No matter what.,-0.5896232724189758,-0.5898439288139343,-1.4090807437896729,0.6005075573921204,0.6506184339523315,0.9754215478897095,1.0,0.0
一马当先,Take the lead,Lead the way,Take the lead.,-0.4298723638057709,-0.45481234788894653,-0.33153995871543884,0.9608833193778992,0.8400313854217529,0.9799355864524841,1.0,1.0
顾名思义,As the term suggests,As the name suggests,As the name suggests.,0.12464363873004913,0.1324326992034912,0.0010003894567489624,0.9296247959136963,0.9347884058952332,0.9753934741020203,0.0,0.0
绞尽脑汁,Rack one's brains,Racking my brains,I'm racking my brain.,-0.3983125388622284,-0.5981808304786682,-0.7636585831642151,0.7451325058937073,0.8412500619888306,0.9559680819511414,1.0,0.0
颠倒黑白,Prove that black is white and white black,Upside down black and white,to turn the facts on their head,-0.6267756819725037,-0.2584097385406494,-0.33157792687416077,0.45947736501693726,0.6090466380119324,0.9755088090896606,0.0,0.0
事半功倍,Get twice the result with half the effort,Do more with less,Achieve twice the results with half the effort.,-0.262408584356308,-0.5824490189552307,-0.4201712906360626,0.8884455561637878,0.6411306262016296,0.9599140286445618,1.0,1.0
不亢不卑,Neither overbearing nor servile,Neither haughty nor humble,Neither overbearing nor servile.,-0.6333851218223572,-0.491644948720932,-0.4533517360687256,0.9520875215530396,0.6877585053443909,0.9797460436820984,0.0,1.0
一面之交,Have met only once,Side by side,We only met once.,-0.4262648820877075,-0.7094733119010925,-0.7562373876571655,0.8771427273750305,0.3912729322910309,0.9832079410552979,1.0,1.0
人无廉耻，百事可为,"If a man is dead to shame, he can do all sorts of evils","People are shameless, Pepsi can be","Without shame, anything goes.",-0.727216899394989,-1.0156538486480713,-0.8535727858543396,0.5414065718650818,0.44657328724861145,0.9143015146255493,1.0,1.0
顾前不顾后,Act rashly,Regardless of the future,Act without regard for the consequences.,-0.578210175037384,-1.3804928064346313,-1.317434310913086,0.6783268451690674,0.4060785472393036,0.9731950163841248,1.0,1.0
一马平川,A wide expanse of flat land,One Horse Pingchuan,"a wide, flat plain",-0.6167548894882202,-0.5881580710411072,-0.5122869610786438,0.8308520913124084,0.3075096309185028,0.9758205413818359,0.0,1.0
顾全大局,Take the interests of the whole into account,Take the overall situation into consideration,Keep the big picture in mind.,0.10602989792823792,0.05716769024729729,0.06609365344047546,0.6662344932556152,0.8079957365989685,0.9651187658309937,1.0,0.0
经年累月,For years,Over the years,For years.,-0.5001392960548401,0.01988002471625805,-0.33354055881500244,0.949590802192688,0.8117010593414307,0.9803778529167175,0.0,1.0
一目了然,Understand fully at a glance,At a glance,It's clear at a glance.,0.1296488344669342,-0.16691827774047852,-0.13202938437461853,0.7726892828941345,0.7040736675262451,0.9713079929351807,1.0,1.0
络绎不绝,Unending,An endless stream,a constant stream,-0.7030317187309265,-0.4299282133579254,-0.6027511358261108,0.4329051375389099,0.4885614514350891,0.9840461611747742,0.0,0.0
人为刀俎，我为鱼肉,Be meat on somebody's chopping block - be at somebody's mercy,"People are knives, I am fish",I'm at their mercy.,-0.820284903049469,-1.0485187768936157,-0.6523829698562622,0.5805062651634216,0.45525649189949036,0.9397301077842712,1.0,1.0
乘人之危,Take advantage of other's calamity,Take advantage of danger,Take advantage of someone when they're down.,-0.6744852066040039,-0.4165065586566925,-0.3879752457141876,0.6035017371177673,0.695342481136322,0.9599174857139587,0.0,0.0
绿林好汉,A band of bandits entrenched in a mountain stronghold,Green forest hero,outlaws holed up in the hills,-0.45461180806159973,-0.6134094595909119,-0.21924322843551636,0.6127191185951233,0.3817158341407776,0.9554046392440796,1.0,1.0
一目十行,Take in ten lines at one glance (said of a rapid reader),Ten lines at a glance,Read ten lines at a glance.,-0.790907084941864,-0.7584372162818909,-0.9542527794837952,0.6804066300392151,0.5946480631828308,0.932923436164856,0.0,1.0
九牛二虎之力,A tremendous amount of labor,The power of nine bulls and two tigers,With Herculean effort.,-0.8715747594833374,-0.473042756319046,-0.7771586775779724,0.5338690876960754,0.40681174397468567,0.9667111039161682,0.0,1.0
绰绰有余,More than sufficient,More than enough,More than enough.,-0.5361719131469727,-0.6193195581436157,-0.3570944368839264,0.9306504130363464,0.9278827905654907,0.9830222129821777,1.0,1.0
不知好歹,Not to know good from bad,I don't know,He doesn't know what's good for him.,-0.8439317345619202,-0.9626972675323486,-0.6575103998184204,0.5095046758651733,0.43190139532089233,0.9666458964347839,1.0,1.0
顾此失彼,Be put in a double squeeze,Take care of one thing and lose another,"Try to do both, and you end up with neither.",-1.051392674446106,-0.998870313167572,-1.3554179668426514,0.47074732184410095,0.4883948266506195,0.9305615425109863,0.0,0.0
一得之功,"Just an occasional, minor success",One hits at a time,a small victory,-0.6401364803314209,-1.0020731687545776,-0.8357913494110107,0.7216482758522034,0.4274549186229706,0.9717890620231628,1.0,1.0
顾影自怜,Look at one's reflection and admire oneself,Gu Ying feels sorry for herself,to stare at one's reflection and feel sorry for oneself.,-0.6699910759925842,-0.3334822952747345,-0.5648549199104309,0.7802810072898865,0.45152583718299866,0.9487281441688538,0.0,1.0
不甘后人,Hate to be outdone,Unwilling to descendants,Won't be outdone.,-0.8130419850349426,-0.7928817272186279,-0.5032531023025513,0.547407329082489,0.437286376953125,0.9790442585945129,0.0,1.0
不由分说,Without giving one the opportunity (or chance) to explain,Can not help but say,without giving anyone a chance to explain,-0.3663271367549896,-0.7274145483970642,-0.5152924060821533,0.8638435006141663,0.4265122711658478,0.9507907629013062,1.0,1.0
风靡一时,Be popular for a time,All the rage,All the rage.,-0.6835926175117493,-0.6646773219108582,-0.6354432702064514,0.5177202820777893,0.5300434827804565,0.9836096167564392,0.0,0.0
绵里藏针,A ruthless character behind a gentle appearance,Tibetan needles in cotton,a wolf in sheep's clothing,-0.6543599367141724,-0.5308153629302979,-0.6148074269294739,0.4507322609424591,0.35369059443473816,0.9551096558570862,0.0,1.0
一刀两断,Make a clean break,Cut in two,Make a clean break.,-0.9944735169410706,-1.0158460140228271,-0.9822314381599426,0.968583881855011,0.401538223028183,0.9861441254615784,1.0,1.0
不念旧恶,Forget old grudges (or grievances),Do not forget the old evil,Let bygones be bygones.,-0.8871639370918274,-0.847561776638031,-0.3524690568447113,0.44864100217819214,0.5769909024238586,0.9738975167274475,0.0,0.0
不厌其详,Not feel annoyed (or bored) to tell (or narrate) in full detail,Never tire of detail,happy to go into detail,-0.4444901645183563,-0.3786037266254425,-0.2155618816614151,0.4762592315673828,0.4830819368362427,0.9346439838409424,0.0,0.0
紧锣密鼓,Wildly beating gongs and drums,In full swing,In full swing,-0.4882728159427643,-0.4882728159427643,-0.6453326344490051,0.4112173914909363,0.4112173914909363,0.9419721364974976,0.0,0.0
事非经过不知难,You never know how hard a task is until you have done it yourself,No matter what happens,You don't know how hard it is until you try it.,-0.719428539276123,-0.912887692451477,-0.4936198890209198,0.7763583660125732,0.4274398982524872,0.9418407678604126,1.0,1.0
风烛残年,Old and ailing like a candle guttering in the candlestick,Wind candle waning years,In the twilight of one's life,-0.6930209398269653,-1.023334264755249,-0.835789144039154,0.40497371554374695,0.5015949010848999,0.9278327822685242,1.0,0.0
不绝如缕,Very precarious,Hanging by a thread,Hanging by a thread.,-0.663564145565033,-0.6550074219703674,-0.8192842602729797,0.435202419757843,0.4366399943828583,0.9820258021354675,0.0,0.0
风声鹤唳,In a state of fear and turmoil,The sound of the wind,On edge and jumpy,-0.4322763979434967,-0.6529531478881836,-0.4479711949825287,0.587398111820221,0.4388395845890045,0.9665341973304749,1.0,1.0
一诺千金,A solemn promise,A promise of gold,a promise worth its weight in gold,-0.6126875281333923,-0.7724565863609314,-0.5184341073036194,0.5704218149185181,0.7389114499092102,0.9855819344520569,1.0,0.0
一潭死水,"A stagnated, dull atmosphere",A pool of stagnant water,a stagnant atmosphere,-0.2330487072467804,0.185520201921463,-0.15571342408657074,0.8666731715202332,0.568921685218811,0.9754275679588318,0.0,1.0
不言而喻,Self-evident,It goes without saying,It goes without saying.,0.28986814618110657,0.28464221954345703,-0.5045993328094482,0.6542181372642517,0.6242073178291321,0.9853692650794983,1.0,1.0
缘木求鱼,A useless search,Edge wood for fish,Trying to catch fish by climbing a tree.,-0.3060552179813385,-0.747367799282074,-0.7985795140266418,0.3419569432735443,0.3750257194042206,0.9848650097846985,1.0,0.0
不知天高地厚,Have an exaggerated opinion of one's abilities,I don't know how tall the sky is,They overestimate themselves.,-0.7632582783699036,-0.5461269021034241,-0.7028627991676331,0.644172191619873,0.4541659951210022,0.9497069120407104,0.0,1.0
缓不济急,Slow action cannot save a critical situation,In no hurry,"Too little, too late.",-0.6778345704078674,-0.7863102555274963,-0.3064231276512146,0.4732671082019806,0.46395260095596313,0.9708426594734192,1.0,1.0
风餐露宿,Brave wind and dew,Wind meal camping,brave the elements.,-1.217270016670227,-0.8774678707122803,-1.1882998943328857,0.6113360524177551,0.5248183608055115,0.9635404348373413,0.0,1.0
风雨同舟,Stand together through thick and thin,Through thick and thin,Stick together through thick and thin.,-0.7789025902748108,-0.8812691569328308,-0.6546765565872192,0.8685911893844604,0.8383601903915405,0.9681692719459534,1.0,1.0
一劳永逸,Put things right once and for ail,Once and for all,Once and for all.,-0.4076489508152008,-0.45514023303985596,-0.5383185148239136,0.7372478246688843,0.7280710935592651,0.9568204283714294,1.0,1.0
一鳞半爪,Odd bits / fragments,One Scale Half Claw,bits and pieces,-0.7503311038017273,-0.9174572825431824,-0.5462340712547302,0.6837763786315918,0.3680332601070404,0.9781554341316223,1.0,1.0
缩头缩脑,Shrink from responsibility,Shrink your head,shy away from responsibility,-0.7282808423042297,-0.8357381820678711,-0.9655538201332092,0.8435525298118591,0.5067175030708313,0.9743437170982361,1.0,1.0
人心向背,The will of the people,Heart to back,the will of the people,-0.7358666062355042,-1.0462630987167358,-0.6641346216201782,0.9415360689163208,0.318291574716568,0.9668909907341003,1.0,1.0
人心所向,The direction of popular sentiment (or feeling),What people want,what the people want,-0.9265303611755371,-0.7296485304832458,-0.5229423642158508,0.4871055781841278,0.4825710952281952,0.9637435078620911,0.0,1.0
一改故辙,Rid oneself of an old habit,Change the way,Change one's ways,-0.4033867120742798,-0.451803058385849,-0.7819836735725403,0.5894891619682312,0.5545027852058411,0.972234845161438,1.0,1.0
风云人物,A celebrity,Man of the Year,a prominent figure,-0.2738404870033264,-0.587488055229187,-0.8984200358390808,0.6334625482559204,0.4987371861934662,0.9784941673278809,1.0,1.0
总而言之,To make a long story short,All in all,To make a long story short.,0.08192670345306396,-0.47646984457969666,0.045543864369392395,0.9361918568611145,0.4138528108596802,0.9645368456840515,1.0,1.0
飞针走线,Do needlework very skilfully,Flying needle routing,sew like a pro,-0.5684168934822083,-0.8386830687522888,-0.5384666323661804,0.4904153048992157,0.46030184626579285,0.9678671956062317,1.0,1.0
事过境迁,The incident is over and the circumstances are different,Things have changed,That's water under the bridge.,-0.8103732466697693,-0.23692116141319275,-0.17955851554870605,0.4638628661632538,0.6434888243675232,0.9672715067863464,0.0,0.0
总角之交,Childhood friend,Turn of the total angle,childhood friends,-0.8568986654281616,-1.0182198286056519,-0.8468648791313171,0.8964474201202393,0.3899718225002289,0.9795140624046326,1.0,1.0
人而无信，不知其可,"If a man does not keep his word, what is he good for","People don't believe, don't know what to do",A person who doesn't keep their word is good for nothing.,-0.5639614462852478,-0.8049442768096924,-0.5725096464157104,0.8140138983726501,0.44980761408805847,0.9502089619636536,1.0,1.0
一概而论,Put in the same category,In general terms,Don't lump them all together.,-0.768714964389801,-0.23969316482543945,-0.7419193387031555,0.515791654586792,0.4968104064464569,0.961462140083313,0.0,1.0
飞沙走石,A sandstorm,Flying sand and stone,a sandstorm,-0.5340479016304016,-0.25463712215423584,-0.3969808518886566,0.8745166063308716,0.49078282713890076,0.9802021980285645,0.0,1.0
不知进退,Have no sense of propriety,I don't know where to go,doesn't know when to back off,-0.7731153964996338,-0.7000524401664734,-0.6168927550315857,0.5492100715637207,0.5869184732437134,0.978813111782074,0.0,0.0
罄竹难书,(of a man's sins) too numerous to record,Too many books to read,His sins are too numerous to count.,-0.2817293107509613,-0.4385664165019989,-0.810947835445404,0.8282391428947449,0.4741936922073364,0.9493037462234497,1.0,1.0
一鼓作气,Get something done in one vigorous effort,All in one go,Get it done in one go.,-0.6990025043487549,-0.6375861763954163,-0.4660213887691498,0.7453670501708984,0.6120564341545105,0.9653854370117188,0.0,1.0
绘声绘影,Vivid description,Picture sound and picture,painted a vivid picture,-0.4375239610671997,-0.9597546458244324,-0.7048930525779724,0.5927072763442993,0.4317196011543274,0.9755513072013855,1.0,1.0
